training_setting,source_dataset,target_dataset,model,horizon,training_examples,prediction_start_index,evaluated_windows,MAE,stable_interval_MAE,transition_interval_MAE,evaluation_region,relative_improvement_vs_Persistence
Exp1_pretrain_to_Exp2,Exp1,Exp2,TCN,100,1024,128,2589,0.03434662098245997,0.03424634339970641,0.03532808782366043,complete_predeclared_suffix,-0.00046540583217265913
Exp1_pretrain_to_Exp2,Exp1,Exp2,TCN,300,1024,128,2389,0.04663286001353925,0.0462973975039831,0.049636647234523275,complete_predeclared_suffix,-0.0023038500946030074
within_Exp1,Exp1,Exp1,GRU,20,1024,3646,5449,0.002176295335177058,0.0018560220688596538,0.008726766274227901,complete_predeclared_suffix,-0.23207359636326008
within_Exp1,Exp1,Exp1,GRU,100,1024,3646,5369,0.005516848195914945,0.004925299422975453,0.01742933628089724,complete_predeclared_suffix,-0.05509884259622149
within_Exp1,Exp1,Exp1,GRU,300,1024,3646,5169,0.011426770058609394,0.011092034888889235,0.017904027378194357,complete_predeclared_suffix,-0.01735674364321543
within_Exp1,Exp1,Exp1,Persistence,20,1024,3646,5449,0.0017663679682779331,0.0014276311048885475,0.008694470351379742,complete_predeclared_suffix,0.0
within_Exp1,Exp1,Exp1,Persistence,100,1024,3646,5369,0.005228750116282899,0.004597679892543492,0.017937113086468212,complete_predeclared_suffix,0.0
within_Exp1,Exp1,Exp1,Persistence,300,1024,3646,5169,0.011231822200037173,0.010863424138583395,0.018360469727774668,complete_predeclared_suffix,0.0
within_Exp1,Exp1,Exp1,RBF_Ridge,20,1024,3646,5449,0.0019821075283847807,0.0016468221286983491,0.008839617966853333,complete_predeclared_suffix,-0.12213738246010898
within_Exp1,Exp1,Exp1,RBF_Ridge,100,1024,3646,5369,0.006201987042745285,0.005616946736562527,0.017983408956622447,complete_predeclared_suffix,-0.1861318488775395
within_Exp1,Exp1,Exp1,RBF_Ridge,300,1024,3646,5169,0.012545424133257332,0.012227327325632652,0.018700722595758567,complete_predeclared_suffix,-0.11695359041703944
within_Exp1,Exp1,Exp1,Ridge,20,1024,3646,5449,0.004259148203114787,0.003902544613566296,0.011552674375179407,complete_predeclared_suffix,-1.4112462859407005
within_Exp1,Exp1,Exp1,Ridge,100,1024,3646,5369,0.013353554587500939,0.013049381615843274,0.01947892761911097,complete_predeclared_suffix,-1.553871248487571
within_Exp1,Exp1,Exp1,Ridge,300,1024,3646,5169,0.03005006529771958,0.029921697644194136,0.032534029931883174,complete_predeclared_suffix,-1.6754399030301712
within_Exp1,Exp1,Exp1,TCN,20,1024,3646,5449,0.002092785579854181,0.0017616265721903356,0.008865899929514321,complete_predeclared_suffix,-0.18479593008838288
within_Exp1,Exp1,Exp1,TCN,100,1024,3646,5369,0.005377467585492865,0.004759175916937947,0.017828498627455076,complete_predeclared_suffix,-0.028442259794906468
within_Exp1,Exp1,Exp1,TCN,300,1024,3646,5169,0.011241278541366136,0.010898634445084801,0.017871576703660443,complete_predeclared_suffix,-0.0008419240583181384
within_Exp2,Exp2,Exp2,GRU,20,699,1126,1671,0.021835514546077402,0.02196070423767293,0.02079852660069447,complete_predeclared_suffix,-0.18040388468232083
within_Exp2,Exp2,Exp2,GRU,100,699,1126,1591,0.037726023724558334,0.03843030555443914,0.032205236713659366,complete_predeclared_suffix,0.01063143213410029
within_Exp2,Exp2,Exp2,GRU,300,699,1126,1391,0.05664021043793242,0.056546675493224965,0.05726949276038097,complete_predeclared_suffix,-0.05202768013984745
within_Exp2,Exp2,Exp2,Persistence,20,699,1126,1671,0.018498341821328333,0.01850847498280243,0.018414405467117884,complete_predeclared_suffix,0.0
within_Exp2,Exp2,Exp2,Persistence,100,699,1126,1591,0.03813141527826642,0.03909599892213975,0.030570151269903797,complete_predeclared_suffix,0.0
within_Exp2,Exp2,Exp2,Persistence,300,699,1126,1391,0.053839087608800525,0.05395719607191968,0.05304448011525991,complete_predeclared_suffix,0.0
within_Exp2,Exp2,Exp2,RBF_Ridge,20,699,1126,1671,0.020609944965736617,0.0206275078389095,0.020464465832954574,complete_predeclared_suffix,-0.11415094200354946
within_Exp2,Exp2,Exp2,RBF_Ridge,100,699,1126,1591,0.0399408017639081,0.04080647974467224,0.03315484825914033,complete_predeclared_suffix,-0.04745133303963596
within_Exp2,Exp2,Exp2,RBF_Ridge,300,699,1126,1391,0.057317792252109444,0.05734153411535796,0.057158062272143026,complete_predeclared_suffix,-0.06461299397540851
within_Exp2,Exp2,Exp2,Ridge,20,699,1126,1671,0.13851676584479897,0.14383515718100834,0.09446275760986461,complete_predeclared_suffix,-6.488063913117393
within_Exp2,Exp2,Exp2,Ridge,100,699,1126,1591,0.28589629184259174,0.295454914911721,0.21096730767291752,complete_predeclared_suffix,-6.4976575025145396
within_Exp2,Exp2,Exp2,Ridge,300,699,1126,1391,0.37032891063752815,0.38285697097753807,0.28604290468335036,complete_predeclared_suffix,-5.878439570305688
within_Exp2,Exp2,Exp2,TCN,20,699,1126,1671,0.021082153790018408,0.021111185492075083,0.020841674524648933,complete_predeclared_suffix,-0.13967803134175924
within_Exp2,Exp2,Exp2,TCN,100,699,1126,1591,0.037855862885145704,0.03892169767650627,0.029500902381758155,complete_predeclared_suffix,0.00722638777265029
within_Exp2,Exp2,Exp2,TCN,300,699,1126,1391,0.05696925527385316,0.05649560777843743,0.06015585036801119,complete_predeclared_suffix,-0.05813931483751552
