dataset,model,setting,ordered_mapping_accuracy,macro_f1,ARI,NMI
Exp1,V331,v331_frozen,0.6862314865606144,0.5202964546168748,0.40084203309768635,0.646181603233454
Exp2,V331,v331_frozen,0.835285764998225,0.8327702055197651,0.587034961307957,0.7135031342393832
