protocol_id,dataset,window_id,window_index,start_cycle_effective,end_cycle_effective,center_cycle_effective,start_cycle_actual,end_cycle_actual,center_cycle_actual,cycle_effective,cycle_actual,effective_configuration_count,directed_configuration_support,rate_divergence_configuration_support,abrupt_configuration_support,combined_change_score_q50,change_configuration_support,guard_configuration_fraction,stop_boundary_configuration_fraction,change_trigger
A_Exp1_to_Exp2,Exp2,222,222,1111.0,1130.0,1120.5,2348.1671105193077,2379.785286284953,2363.9761984021306,1120.5,2363.9761984021306,16,0.0,0.125,0.125,1.1752431708677706,0.1875,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,223,223,1116.0,1135.0,1125.5,2356.4876830892144,2388.1058588548603,2372.2967709720374,1125.5,2372.2967709720374,16,0.0,0.0,0.1875,0.5081608350989434,0.1875,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,224,224,1121.0,1140.0,1130.5,2364.808255659121,2396.426431424767,2380.617343541944,1130.5,2380.617343541944,16,0.0,0.0,0.1875,0.4334614090096619,0.1875,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,225,225,1126.0,1145.0,1135.5,2373.128828229028,2404.747003994674,2388.937916111851,1135.5,2388.937916111851,16,0.0,0.0,0.0625,0.38999829150721554,0.0625,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,226,226,1131.0,1150.0,1140.5,2381.449400798935,2413.0675765645806,2397.2584886817576,1140.5,2397.2584886817576,16,0.0,0.1875,0.0,1.2960092034176585,0.1875,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,227,227,1136.0,1155.0,1145.5,2389.7699733688414,2421.3881491344873,2405.579061251665,1145.5,2405.579061251665,16,0.0,0.25,0.0,1.604875196279107,0.25,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,228,228,1141.0,1160.0,1150.5,2398.090545938748,2429.708721704394,2413.899633821571,1150.5,2413.899633821571,16,0.0,0.0,0.0625,0.4688853003258805,0.0625,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,229,229,1146.0,1165.0,1155.5,2406.411118508655,2438.029294274301,2422.220206391478,1155.5,2422.220206391478,16,0.0,0.0,0.0625,0.32249441649673627,0.0625,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,230,230,1151.0,1170.0,1160.5,2414.731691078562,2446.3498668442076,2430.5407789613846,1160.5,2430.5407789613846,16,0.0,0.0,0.125,0.5220302794471565,0.125,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,231,231,1156.0,1175.0,1165.5,2423.0522636484684,2454.6704394141143,2438.861351531292,1165.5,2438.861351531292,16,0.0,0.0,0.1875,0.5442846238312213,0.1875,0.0,0.0,0
