protocol_id,dataset,window_index,center_cycle_effective,center_cycle_actual,V100_norm_q50_effective_time,V500_norm_q50_effective_time,V1000_norm_q50_effective_time,multi_scale_rate_divergence_q50_effective_time,change_configuration_support_effective_time,change_trigger_effective_time,V100_norm_q50_actual_time,V500_norm_q50_actual_time,V1000_norm_q50_actual_time,multi_scale_rate_divergence_q50_actual_time,change_configuration_support_actual_time,change_trigger_actual_time,row_type,metric,spearman,median_absolute_difference,agreement
A_Exp1_to_Exp2,Exp2,200.0,1010.5,2180.9236018641814,1.048179330858009,0.35148657236763425,0.2223994317196551,1.0121257164189694,0.4375,0.0,0.3461292412092134,0.3546762093001794,0.18505397692286088,0.5182268435043685,0.0,0.0,window,,,,
A_Exp1_to_Exp2,Exp2,201.0,1015.5,2189.244174434088,0.9125084185493184,0.33757197803057215,0.22555525986575004,0.8573509150439627,0.375,0.0,0.4194679179508423,0.3424586991631234,0.17832924284504606,0.5828459997875275,0.0,0.0,window,,,,
A_Exp1_to_Exp2,Exp2,202.0,1020.5,2197.564747003995,0.814354504006491,0.3538221044672592,0.2310712353261976,0.7602697026316931,0.25,0.0,0.4350951181725338,0.36394306023567524,0.1938191073359217,0.5957156714576666,0.0,0.0,window,,,,
A_Exp1_to_Exp2,Exp2,203.0,1025.5,2205.885319573901,0.343339002387248,0.3066745104560544,0.2177075418694874,0.3373394078846001,0.25,0.0,0.8330073261062401,0.3163741951867575,0.1632247666294032,0.9712616773626513,1.0,1.0,window,,,,
A_Exp1_to_Exp2,Exp2,204.0,1030.5,2214.2058921438083,0.2152146538756806,0.30525833218553267,0.21758735249278482,0.2249246813057803,0.25,0.0,0.6492392089495216,0.3186013362799625,0.16888654164381586,0.798442049166377,1.0,1.0,window,,,,
A_Exp1_to_Exp2,Exp2,205.0,1035.5,2222.526464713715,0.2162094942699784,0.30452589735902647,0.21539249325086635,0.2982141373351118,0.25,0.0,0.6552323935535198,0.3264437607394025,0.18365741367214236,0.8214627850843796,1.0,1.0,window,,,,
A_Exp1_to_Exp2,Exp2,206.0,1040.5,2230.847037283622,0.28086914473652547,0.306953592073091,0.21827308975307627,0.39988188928882534,0.25,0.0,0.4428622383080314,0.34578789472074584,0.18924073553159063,0.6143138384451959,0.0,0.0,window,,,,
A_Exp1_to_Exp2,Exp2,207.0,1045.5,2239.1676098535286,0.3549335989459597,0.31776987783480226,0.22084056122709655,0.49283036332191266,0.25,0.0,0.1293011563555785,0.34924378710475645,0.19064703956317217,0.17680863720367757,0.0,0.0,window,,,,
A_Exp1_to_Exp2,Exp2,208.0,1050.5,2247.4881824234353,0.5370432699153396,0.3036145170604245,0.21505628249586964,0.6671695615427825,0.25,0.0,0.25029738902700727,0.24631128565880514,0.17268145109060964,0.3934978628205455,0.0,0.0,window,,,,
A_Exp1_to_Exp2,Exp2,209.0,1055.5,2255.8087549933425,0.6424781073582162,0.29454047754261775,0.20898659010546536,0.7578115437373267,0.25,0.0,0.27748156504188504,0.17518638123808125,0.14645669621737048,0.386897729245953,0.0,0.0,window,,,,
A_Exp1_to_Exp2,Exp2,210.0,1060.5,2264.129327563249,0.8176647231580076,0.29725318781101095,0.20584120440423836,0.9270550177147302,0.4375,0.0,0.18467774740607912,0.12435895157821146,0.131882889296803,0.2618590934742282,0.0,0.0,window,,,,
A_Exp1_to_Exp2,Exp2,211.0,1065.5,2272.449900133156,0.7894681808383878,0.30303168058304364,0.2113911896779831,0.9034461249953165,0.375,0.0,0.43415603583622314,0.17292566375444177,0.14383271516654433,0.5474341550026197,0.0,0.0,window,,,,
A_Exp1_to_Exp2,Exp2,212.0,1070.5,2280.7704727030628,0.6227481388643129,0.31708135404908644,0.2110180853576184,0.7221799016280845,0.25,0.0,0.298374616662428,0.2691183557947292,0.15093594992366846,0.4129023425132636,0.0,0.0,window,,,,
A_Exp1_to_Exp2,Exp2,213.0,1075.5,2289.0910452729695,0.7109321419807586,0.3085501361987547,0.20846039090689222,0.8093874430139661,0.3125,0.0,0.3004635893523218,0.2717270643180203,0.1571574770367409,0.42812820133058566,0.0,0.0,window,,,,
A_Exp1_to_Exp2,Exp2,214.0,1080.5,2297.4116178428762,0.6990825336472704,0.2837888770389264,0.20641232731186054,0.7865481295849048,0.25,0.0,0.48270351341914014,0.25645264474657664,0.1496778884798163,0.6082296456687263,0.0,0.0,window,,,,
A_Exp1_to_Exp2,Exp2,215.0,1085.5,2305.732190412783,0.6419827596290267,0.2471799303211808,0.19267949717733077,0.7051090683150409,0.25,0.0,0.40592245191058907,0.1886999107136,0.11833503579323947,0.49143593815033765,0.0,0.0,window,,,,
A_Exp1_to_Exp2,Exp2,216.0,1090.5,2314.0527629826897,0.8992034526656372,0.23713953149596123,0.18409337861245312,0.9620456632964944,0.4375,0.0,0.7169722917146136,0.12868719652253788,0.10005336138256034,0.7738890085181461,1.0,1.0,window,,,,
A_Exp1_to_Exp2,Exp2,217.0,1095.5,2322.3733355525965,0.8251127488202401,0.18554539421187885,0.18652668275001166,0.8877294201811801,0.375,0.0,0.7325895183411043,0.14939187687631283,0.10159243665736699,0.7888918752962769,1.0,1.0,window,,,,
A_Exp1_to_Exp2,Exp2,218.0,1100.5,2330.693908122503,0.560135630678587,0.2217071242660594,0.19194257004753984,0.6206191182468823,0.25,0.0,0.7186221416734605,0.20179649187808213,0.10392651336845725,0.7828734805055277,1.0,1.0,window,,,,
A_Exp1_to_Exp2,Exp2,219.0,1105.5,2339.01448069241,0.7261170426822898,0.26602515246961145,0.1970486449103493,0.8012664644471033,0.25,0.0,0.6556700374757837,0.24103878961360392,0.11735964086092515,0.7439435959559124,1.0,1.0,window,,,,
A_Exp1_to_Exp2,Exp2,220.0,1110.5,2347.335053262317,0.594297085967214,0.3243265502229998,0.20460870523138192,0.6729370556983917,0.25,0.0,0.3684850362067495,0.272592005019985,0.12590713557727165,0.4682515131623645,0.0,0.0,window,,,,
A_Exp1_to_Exp2,Exp2,221.0,1115.5,2355.6556258322234,0.41303734401879666,0.3275453500542449,0.21541560340505764,0.524132068253863,0.0625,0.0,0.10680637755110144,0.3041603099025024,0.13363132254689183,0.2156486973120724,0.0,0.0,window,,,,
A_Exp1_to_Exp2,Exp2,222.0,1120.5,2363.9761984021306,0.4409297529428706,0.32878199086256554,0.21536286070940663,0.5582590839344961,0.1875,0.0,0.13659625201489364,0.3176852489610306,0.14151078356642224,0.12220947616295001,0.0,0.0,window,,,,
A_Exp1_to_Exp2,Exp2,223.0,1125.5,2372.2967709720374,0.26396179492100746,0.33461261665127306,0.22498722418595588,0.25644835931020343,0.1875,0.0,0.1542953230458483,0.2973318983807575,0.14689850014316078,0.12914381594908672,0.0,0.0,window,,,,
A_Exp1_to_Exp2,Exp2,224.0,1130.5,2380.617343541944,0.16757735074005117,0.3253710502937557,0.2247221259771876,0.23363520699977858,0.1875,0.0,0.059337803494240275,0.31275932433618603,0.14137115217338525,0.16186499883859196,0.0,0.0,window,,,,
A_Exp1_to_Exp2,Exp2,225.0,1135.5,2388.937916111851,0.22703952068037142,0.3002835966581454,0.21335518763893455,0.351262527290833,0.0625,0.0,0.07440065985319648,0.29464081048939406,0.1331262268270146,0.18683626845182646,0.0,0.0,window,,,,
A_Exp1_to_Exp2,Exp2,226.0,1140.5,2397.2584886817576,0.48976183924063865,0.27068081058658344,0.20432662141272817,0.5545402434451443,0.1875,0.0,0.18577306022699203,0.24540122009958684,0.11393347264579591,0.2830445939567769,0.0,0.0,window,,,,
A_Exp1_to_Exp2,Exp2,227.0,1145.5,2405.579061251665,0.5264049577799491,0.2692149408311115,0.20571201533993277,0.608012635155987,0.25,0.0,0.14338665703709327,0.27334577654277364,0.11576582925361949,0.14777718045832353,0.0,0.0,window,,,,
A_Exp1_to_Exp2,Exp2,228.0,1150.5,2413.899633821571,0.3231056496279773,0.2691753004193702,0.21155313887723534,0.4052899100468189,0.0625,0.0,0.5103398764609637,0.27907917923723297,0.1323122457214351,0.46797838689643684,0.0,0.0,window,,,,
A_Exp1_to_Exp2,Exp2,229.0,1155.5,2422.220206391478,0.20414559497130377,0.2799754185771628,0.21326093064116972,0.3055026776459007,0.0625,0.0,0.5296849377443332,0.2945767322732557,0.1326130368085059,0.48340000137809075,0.0,0.0,window,,,,
