cycle_actual,Sa,Sq,Sz,Sku,row_type,ry_p2p,ry_anchor_cycle_actual,ry_subspace_dominance,full_D_state,no_ry_D_state,full_support,no_ry_support,state_anchor_observed,morphology_metric,analysis,n,ry_p2p_spearman,full_D_spearman,no_ry_D_spearman,ry_improves_absolute_D_correspondence
0.0,5.32,6.768,95.504,3.305,anchor,-0.1924028778367383,11.033073673092158,0.5633078066657915,,,,,False,,,,,,,
8000.0,5.875,7.282,84.294,3.032,anchor,1.2006911647822818,8000.5904059040595,0.2890496794996321,5.403161742812152,6.799780622828804,1.0,1.0,True,,,,,,,
16000.0,5.04,6.389,99.029,6.06,anchor,4.415039637439739,16000.590405904059,0.5678562674488267,6.637507033450228,6.289320843081914,0.0,0.0,True,,,,,,,
24000.0,4.231,5.597,114.806,8.216,anchor,5.656072767236857,24000.5956813105,0.61285437020696,7.457452499300463,6.6194059200087825,0.16666666666666666,0.5,True,,,,,,,
32000.0,5.486,7.188,94.649,6.217,anchor,9.804451700410237,32000.59171597633,0.7332931931500651,9.402019322129231,6.514477705852481,0.6666666666666666,0.5,True,,,,,,,
40000.0,3.944,5.31,103.178,10.786,anchor,8.451305857846037,40000.59144676979,0.6975030623565583,8.221525029001441,5.872871514311524,0.6666666666666666,0.6666666666666666,True,,,,,,,
48000.0,4.343,5.75,90.551,6.781,anchor,8.243764151213925,48002.86624203822,0.6932959146109977,8.631345681759711,6.48321003684653,0.5,0.16666666666666666,True,,,,,,,
,,,,,summary,,,,,,,,,Sa,ry_p2p_sparse_spearman,6.0,-0.3714285714285715,-0.2571428571428572,0.6,False
,,,,,summary,,,,,,,,,Sq,ry_p2p_sparse_spearman,6.0,-0.3714285714285715,-0.2571428571428572,0.6,False
,,,,,summary,,,,,,,,,Sz,ry_p2p_sparse_spearman,6.0,0.2571428571428572,0.08571428571428573,-0.3714285714285715,False
,,,,,summary,,,,,,,,,Sku,ry_p2p_sparse_spearman,6.0,0.6,0.48571428571428577,-0.48571428571428577,False
