protocol_id,output_name,horizon_cycles,best_static_model,best_static_MAE,Online_RLS_MAE,Safe_Gate_MAE,online_to_best_static_mae_ratio,online_truly_better,safe_gate_no_worse_than_best_static_5pct
A_Exp1_to_Exp2,A_state,100,Frozen_Ridge,0.9363210348752089,1.2215340581251057,0.9790515893817,1.3046102913707471,False,True
A_Exp1_to_Exp2,A_state,500,Zero_Delta,0.9130484295514859,2.193502302749482,0.9476296643221995,2.4023942561589964,False,True
A_Exp1_to_Exp2,A_state,1000,Zero_Delta,1.0270969459730497,3.338462348350928,1.0269605248712583,3.2503867930287145,False,True
A_Exp1_to_Exp2,D_state,100,Zero_Delta,0.8275342415056152,1.1583536198207147,0.8383168998313947,1.3997651839919119,False,True
A_Exp1_to_Exp2,D_state,500,Zero_Delta,1.5953886156624209,2.7901243805253895,1.5649750908195044,1.748868177404477,False,True
A_Exp1_to_Exp2,D_state,1000,Zero_Delta,2.1309536282034873,7.329974881418963,2.666853714782995,3.4397627355216267,False,False
A_Exp1_to_Exp2,V500_norm,100,Frozen_Ridge,0.23732591538956554,0.2760933312384718,0.2535976870568934,1.1633509588924174,False,False
A_Exp1_to_Exp2,V500_norm,500,Zero_Delta,0.30636124014537414,0.39287019028823944,0.31775539585973833,1.2823756363625347,False,True
A_Exp1_to_Exp2,V500_norm,1000,Zero_Delta,0.3402331004144757,0.6773872874060919,0.3402331004144757,1.990950576475044,False,True
A_Exp1_to_Exp2,residual_change_score,100,Zero_Delta,0.769654276140798,1.108481284579524,0.8389076230333308,1.4402327368824261,False,False
A_Exp1_to_Exp2,residual_change_score,500,Zero_Delta,1.099659662818277,2.062494471182799,1.1243614662406942,1.8755752719863419,False,True
A_Exp1_to_Exp2,residual_change_score,1000,Zero_Delta,1.1300421943760768,4.224261254245545,1.1337491147791032,3.73814471288646,False,True
B_Exp2_to_Exp1,A_state,100,Zero_Delta,0.23193512201504982,0.27927250082501565,0.23340859137391018,1.2040975010541706,False,True
B_Exp2_to_Exp1,A_state,500,Zero_Delta,0.2591540539403244,0.35937488489631186,0.26705979493060367,1.3867229913334305,False,True
B_Exp2_to_Exp1,A_state,1000,Zero_Delta,0.2818845110448669,0.32738164024009714,0.28268537632600543,1.1614034379774367,False,True
B_Exp2_to_Exp1,D_state,100,Zero_Delta,0.2488727428533307,0.30327287163982797,0.25162415596114807,1.2185861262378466,False,True
B_Exp2_to_Exp1,D_state,500,Zero_Delta,0.5481556078656238,0.7496275610773757,0.554006022058449,1.3675451830115022,False,True
B_Exp2_to_Exp1,D_state,1000,Zero_Delta,0.7669728599029205,1.0905187129626939,0.7669728599029205,1.4218478514360027,False,True
B_Exp2_to_Exp1,V500_norm,100,Zero_Delta,0.06760283392452522,0.07292233780688799,0.06876253484285191,1.078687587095856,False,True
B_Exp2_to_Exp1,V500_norm,500,Zero_Delta,0.12422415104620062,0.12691886388216694,0.11831928535592509,1.0216923425378381,False,True
B_Exp2_to_Exp1,V500_norm,1000,Zero_Delta,0.14539356123984662,0.13976278550814783,0.15222701822745854,0.9612721795677729,True,True
B_Exp2_to_Exp1,residual_change_score,100,Zero_Delta,0.22779411421185797,0.2533949051774453,0.23490211694448132,1.1123856560305045,False,True
B_Exp2_to_Exp1,residual_change_score,500,Zero_Delta,0.3432122841876888,0.39601138955314924,0.34456729872544667,1.1538380407636772,False,True
B_Exp2_to_Exp1,residual_change_score,1000,Zero_Delta,0.3858153151819575,0.4987842524241561,0.3852049737478156,1.292805735793356,False,True
