protocol_id,dataset,window_id,window_index,start_cycle_effective,end_cycle_effective,center_cycle_effective,start_cycle_actual,end_cycle_actual,center_cycle_actual,cycle_effective,cycle_actual,effective_configuration_count,D_state_q50,D_state_q25,D_state_q75,D_state_mad,V100_norm_q50,V100_norm_q25,V100_norm_q75,V100_norm_mad,V500_norm_q50,V500_norm_q25,V500_norm_q75,V500_norm_mad,V1000_norm_q50,V1000_norm_q25,V1000_norm_q75,V1000_norm_mad,direction_consistency_q50,direction_consistency_q25,direction_consistency_q75,direction_consistency_mad,multi_scale_rate_divergence_q50,multi_scale_rate_divergence_q25,multi_scale_rate_divergence_q75,multi_scale_rate_divergence_mad,state_volatility_q50,state_volatility_q25,state_volatility_q75,state_volatility_mad,baseline_outlier_fraction_q50,baseline_outlier_fraction_q25,baseline_outlier_fraction_q75,baseline_outlier_fraction_mad,source_support_oos_q50,source_support_oos_q25,source_support_oos_q75,source_support_oos_mad,residual_change_score_q50,residual_change_score_q25,residual_change_score_q75,residual_change_score_mad,abrupt_cusum_q50,abrupt_cusum_q25,abrupt_cusum_q75,abrupt_cusum_mad,directed_change_score_q50,directed_change_score_q25,directed_change_score_q75,directed_change_score_mad,acceleration_score_q50,acceleration_score_q25,acceleration_score_q75,acceleration_score_mad,abrupt_change_score_q50,abrupt_change_score_q25,abrupt_change_score_q75,abrupt_change_score_mad,directed_configuration_support,rate_divergence_configuration_support,abrupt_configuration_support,combined_change_score_q50,change_configuration_support,guard_configuration_fraction,stop_boundary_configuration_fraction,change_trigger
A_Exp1_to_Exp2,Exp2,200,200,1001.0,1020.0,1010.5,2165.1145139813584,2196.732689747004,2180.9236018641814,1010.5,2180.9236018641814,16,2.3397926282690764,1.62356048631885,3.61511311707077,0.8389466047523663,1.048179330858009,0.8687937444276187,1.7209725521716006,0.28936285212344637,0.35148657236763425,0.3034290967880412,0.5442960197450147,0.10079959631034116,0.2223994317196551,0.1701531002656237,0.37502712864451315,0.0865464721163419,0.28438376317484193,0.20084165458186123,0.41805409220634426,0.11580930809537901,1.0121257164189694,0.9162389549618162,1.7041356527560967,0.193904448497822,1.3062362402101044,0.8608983505163192,2.425453501359768,0.6545708074833847,0.2,0.0,0.5138888888888888,0.2,0.15555555555555556,0.08333333333333333,0.2,0.04444444444444445,1.128025901738285,0.8482763766116347,2.043952456386129,0.3105072924265414,24.842226695574094,0.5535511869635646,100.0,24.824890872598964,0.25722776214146414,0.20654724311956027,0.3741756274027155,0.11694786526125134,5.494863433588797,3.136856057705843,9.102250293188948,2.7815246736512362,0.6991119336230252,0.11071023739271293,1.0733285235624601,0.6028246899324468,0.0,0.4375,0.25,5.494863433588797,0.4375,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,201,201,1006.0,1025.0,1015.5,2173.435086551265,2205.053262316911,2189.244174434088,1015.5,2189.244174434088,16,2.2879618261968657,1.5772631307234848,3.6089051189632433,0.8773756878639569,0.9125084185493184,0.7278604440921501,1.494352594952094,0.2815455785596558,0.33757197803057215,0.2840509475113969,0.525964119227412,0.1040128581018828,0.22555525986575004,0.16787123540344856,0.37589034585115644,0.08533538006435844,0.27235285038230467,0.18604071330745992,0.40845865246359553,0.11574299467848015,0.8573509150439627,0.7902437713171349,1.4750322878972693,0.18893921157660587,1.2861460350114973,0.8554283079349214,2.4270181931487884,0.6313770203758473,0.2,0.0,0.5138888888888888,0.2,0.15555555555555556,0.08333333333333333,0.2,0.04444444444444445,1.053217892902952,0.8127406875259617,1.903595884486795,0.2839832387444971,27.56837147510425,0.8302863925011703,100.0,27.56837147510425,0.25361507788999377,0.18849231529632715,0.3637180415706641,0.11214083863879848,3.980286812081439,2.3491385002794383,6.765755779779484,2.2062491602501657,0.6906040839511718,0.16605727850023408,1.0099779821382586,0.5515751995329452,0.0,0.375,0.25,3.980286812081439,0.375,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,202,202,1011.0,1030.0,1020.5,2181.7556591211714,2213.373834886818,2197.564747003995,1020.5,2197.564747003995,16,2.3913105353748727,1.6562338059218429,3.6714750520010266,0.8529745259650667,0.814354504006491,0.6412224043619064,1.3121309237398404,0.2458814853305638,0.3538221044672592,0.3021325720804574,0.5424026339863213,0.09897970082839719,0.2310712353261976,0.1717489793961711,0.40120145716618527,0.07863917066158342,0.29623209618080526,0.19895758708428368,0.4513309327562659,0.11466752255100748,0.7602697026316931,0.7014170906724158,1.2676269527527981,0.16551811782846998,1.2668673684670595,0.8510432200526146,2.4280876716373774,0.6080243496550612,0.2,0.0,0.5138888888888888,0.2,0.15555555555555556,0.08333333333333333,0.2,0.04444444444444445,1.10803740787942,0.8524628255998943,2.004008850403877,0.30174553538135573,30.635613606584037,1.32061315422343,100.0,30.629618624807165,0.2653244152748332,0.20241935354912452,0.3982009043650258,0.10571229932848888,3.048847265185889,1.931348779343933,5.095568531473894,1.6375362110427587,0.7232709295660571,0.264122630844686,1.0608086930330263,0.5017083034898682,0.0,0.25,0.25,3.048847265185889,0.25,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,203,203,1016.0,1035.0,1025.5,2190.0762316910786,2221.6944074567245,2205.885319573901,1025.5,2205.885319573901,16,2.039803308256925,1.3867695272996765,3.4939514279398796,0.8431982835637284,0.343339002387248,0.2510759495524988,0.48121493347660255,0.10678771675919826,0.3066745104560544,0.2455049271962741,0.49905391357653656,0.11266051841414379,0.2177075418694874,0.1551803091317434,0.339721307886642,0.07693629947011829,0.308410569707471,0.21742122188533775,0.39432669931701786,0.1594056246560419,0.3373394078846001,0.20277169167595943,0.5355230958930929,0.15245830763983087,1.2457892958277161,0.84289558910016,2.424107051525366,0.5868328799491543,0.1,0.0,0.2708333333333333,0.1,0.15555555555555556,0.08333333333333333,0.2,0.04444444444444445,0.78541715746834,0.6765393660571485,1.4179880789643409,0.1973959946945658,31.874138887674427,0.6421357373075562,100.0,31.874138887674427,0.30203729707095783,0.18744923496625257,0.3229863592178081,0.0428910061903387,0.5260744921060856,0.31877652492759356,0.7330090980000254,0.2093116049581858,0.5508235969045043,0.12842714746151124,0.7822599638355261,0.45683017221022815,0.0,0.0,0.25,0.5979369174183674,0.25,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,204,204,1021.0,1040.0,1030.5,2198.3968042609854,2230.014980026631,2214.2058921438083,1030.5,2214.2058921438083,16,2.1267275863957265,1.4367780587860028,3.4875469553022307,0.8774658243910579,0.2152146538756806,0.18396523588353492,0.43873499831761753,0.07699140184106858,0.30525833218553267,0.24615007458910437,0.48046058051031404,0.10711602617738498,0.21758735249278482,0.1568158422578778,0.3594485085694906,0.07172212472809554,0.20260609518079617,-0.015350066551687871,0.31561505386633887,0.11305084236482477,0.2249246813057803,0.13797425939602992,0.4091610023343041,0.09327247823898059,1.2254100550775369,0.834999510726364,2.419869256162825,0.5663731783408392,0.1,0.0,0.3923611111111111,0.1,0.15555555555555556,0.08333333333333333,0.2,0.04444444444444445,0.8201734657677163,0.6666551319197819,1.4932769852627268,0.2321060991535887,33.42443315759385,0.2439961020288749,100.0,33.42443315759385,0.17362489494024852,-0.010465110760758817,0.32391497659116075,0.15151281301977576,0.250660937239252,0.17670995596155206,0.4195539090667158,0.09409636869453421,0.5724906362064919,0.04879922040577497,0.812106570627994,0.5121569969799588,0.0,0.0,0.25,0.5724906362064919,0.25,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,205,205,1026.0,1045.0,1035.5,2206.717376830892,2238.335552596538,2222.526464713715,1035.5,2222.526464713715,16,2.146435577079748,1.454925362333161,3.4576845768121083,0.8803456397537921,0.2162094942699784,0.1496702448454237,0.36116974643546873,0.07722819240788494,0.30452589735902647,0.2520325454406561,0.4785316753744471,0.1017588566544903,0.21539249325086635,0.1576617300962466,0.3704991909734364,0.0689045846622844,0.13189857086690016,-0.07701134593541421,0.2528195102265506,0.12246990778471734,0.2982141373351118,0.21173046131146964,0.46361952984913607,0.11692338801615128,1.2058761042426653,0.8275375833468469,2.4155650792894874,0.5631008856816734,0.1,0.0,0.3923611111111111,0.1,0.15555555555555556,0.08333333333333333,0.2,0.04444444444444445,0.826433809463502,0.6396369104819173,1.5068903136114986,0.2498008477087586,35.037111925337825,0.0,100.0,35.037111925337825,0.1494965890470183,-0.07495108111570103,0.2585963189131296,0.11676441692625425,0.292511702146215,0.20760278597749868,0.39950845641363475,0.09427047306021029,0.5669205055747237,0.0,0.8055067675052803,0.536334765106291,0.0,0.0,0.25,0.5669205055747237,0.25,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,206,206,1031.0,1050.0,1040.5,2215.037949400799,2246.656125166445,2230.847037283622,1040.5,2230.847037283622,16,2.224431299629959,1.521222210845336,3.464275306735649,0.853590640454651,0.28086914473652547,0.2047759366636636,0.391323679102433,0.07949956009647291,0.306953592073091,0.25741924690733886,0.46242926470849677,0.0845563069595196,0.21827308975307627,0.16680906519094202,0.38484215435662006,0.06736719883886018,0.0032244933580449593,-0.18418551753208706,0.07956077322492172,0.15359454486973478,0.39988188928882534,0.29333557950599953,0.61724307795148,0.10654788391879663,1.1861711087249607,0.8197562854504438,2.411265590230113,0.5595638820305635,0.1,0.0,0.3923611111111111,0.1,0.15555555555555556,0.08333333333333333,0.2,0.04444444444444445,0.8895782043052392,0.653856498912611,1.6172927596088569,0.3003677636594303,37.04010484883205,0.0,100.0,37.04010484883205,0.002411444294664576,-0.19453098870982377,0.08084262989633328,0.16040041550132847,0.561062749493515,0.3313545457076589,0.6826735755141811,0.21797062522377966,0.5986105659739054,0.0,0.8513138273797268,0.5577823045579676,0.0,0.0,0.25,0.6415993377004957,0.25,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,207,207,1036.0,1055.0,1045.5,2223.3585219707056,2254.9766977363515,2239.1676098535286,1045.5,2239.1676098535286,16,2.2912614758055483,1.5797405390363473,3.4704678700967846,0.8059554295899813,0.3549335989459597,0.2758899717003886,0.48295844245003117,0.08096264219043409,0.31776987783480226,0.27080741014436815,0.46714552904136486,0.07538099237150553,0.22084056122709655,0.17441983134876093,0.39094402814677137,0.06619624799210154,-0.08607553038307383,-0.23355796733875508,0.020654398113421034,0.16152373180793358,0.49283036332191266,0.3849786742147938,0.723352533891315,0.10859112643803762,1.168039962351459,0.8130984320136294,2.4076699167309066,0.5559548040251878,0.2,0.0,0.5138888888888888,0.2,0.15555555555555556,0.08333333333333333,0.2,0.04444444444444445,0.9412767360690615,0.67918585893637,1.7048462925682804,0.3553242902737526,39.36095583446502,0.0,100.0,39.36095583446502,-0.0971581570140084,-0.2497372127254969,0.020696736649905872,0.17209921168530132,0.8964564525690786,0.5393574269058659,1.1114117047471561,0.3419146679949871,0.6222722328241075,0.0,0.888906013285266,0.5734469193055793,0.0,0.0,0.25,0.8964564525690786,0.25,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,208,208,1041.0,1060.0,1050.5,2231.679094540613,2263.2972703062583,2247.4881824234353,1050.5,2247.4881824234353,16,2.1206084685516684,1.44399016769486,3.3893803202111554,0.8651992360243671,0.5370432699153396,0.4618306570956582,0.9105506360914831,0.10679249290467294,0.3036145170604245,0.2571310593560369,0.4662307141585693,0.08762484799937106,0.21505628249586964,0.16425153923793617,0.3779688703623589,0.06627466574492012,-0.17158204955049305,-0.28125836741888655,-0.05435955505443087,0.1482195809714958,0.6671695615427825,0.6444566554263887,1.0909986472829267,0.11607816972270857,1.1484950497063617,0.8039268331867025,2.4011911564978097,0.5523629129718886,0.1,0.0,0.3923611111111111,0.1,0.15555555555555556,0.08333333333333333,0.2,0.04444444444444445,0.7665462135495378,0.561169556546246,1.395472924295237,0.2629715540409937,40.6764234314239,0.0,100.0,40.6764234314239,-0.19233448469429681,-0.3026367073302084,-0.05441471038684996,0.15385772456109267,2.022202470344922,1.3164489303964855,3.1095519719791644,0.9316052193716657,0.5145504299742405,0.0,0.735429271929612,0.4758173649803379,0.0,0.25,0.1875,2.022202470344922,0.25,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,209,209,1046.0,1065.0,1055.5,2239.999667110519,2271.617842876165,2255.8087549933425,1055.5,2255.8087549933425,16,2.023037547892688,1.3680047472310743,3.354583029047734,0.8307980944324774,0.6424781073582162,0.5401480471620109,1.087547145945514,0.14324055733775617,0.29454047754261775,0.24163939139079718,0.452474277703407,0.09044652326498197,0.20898659010546536,0.15835937064434497,0.36549643180692837,0.06716986147017046,-0.15961702800673833,-0.27766285163171317,-0.05179280872556141,0.14018413828354204,0.7578115437373267,0.7084397941896289,1.2560575366405478,0.13169219476403293,1.1274722721768824,0.7929636256017347,2.392244803237431,0.5484219194160498,0.1,0.0,0.2708333333333333,0.1,0.15555555555555556,0.08333333333333333,0.2,0.04444444444444445,0.6657443396441916,0.5103841347600775,1.2148598924810965,0.2314987964978162,41.47756980511453,0.0,100.0,41.47756980511453,-0.17923636229912815,-0.29847897292248987,-0.051844628118204915,0.1573489219353037,2.8638639470480554,1.7511946129124896,4.302320393698861,1.2765722708895666,0.4568743955600736,0.0,0.6627622814340837,0.4106480894953545,0.0,0.25,0.1875,2.8638639470480554,0.25,0.0,0.0,0
