direction,source_dataset,target_dataset,source_exp2_variant,target_exp2_variant,exp2_variant,seed,source_model_state_sha256,event_id,dataset,setting,start_cycle,peak_cycle,end_cycle,peak_score,adapter_frozen_fraction,event_status,fast_score,slow_score,residual_persistent,start_actual_cycle,peak_actual_cycle,end_actual_cycle
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3402,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,1,Exp2,V35_SlowResidual_CalibrationOnly,1520.5,1530.5,1530.5,0.7752688221211566,1.0,unmatched_candidate_event,5.355103645084522,1.1434621795168187,21.96029701071113,3029.622003994674,3046.2631491344873,3046.2631491344873
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3402,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,2,Exp2,V35_SlowResidual_CalibrationOnly,3020.5,3045.5,3105.5,3.0566497492265468,1.0,unmatched_candidate_event,12.984378002766029,5.699259976043654,22.71750184593337,5525.833333333333,5567.5,5667.5
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3402,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,3,Exp2,V35_SlowResidual_CalibrationOnly,6915.5,7005.5,7005.5,3.959562606313604,1.0,unmatched_candidate_event,1.860631056569782,7.567475272613322,22.78338361168838,12017.5,12167.5,12167.5
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3402,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,4,Exp2,V35_SlowResidual_CalibrationOnly,7225.5,7230.5,7300.5,1.474334373519513,1.0,unmatched_candidate_event,8.107823868601113,2.5565730024291926,16.342975746091373,12534.166666666666,12542.5,12659.166666666666
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3402,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,5,Exp2,V35_SlowResidual_CalibrationOnly,8715.5,8715.5,8800.5,3.336813799337849,1.0,unmatched_candidate_event,11.84471007394916,6.2564728693093965,16.83412973355353,15017.5,15017.5,15159.166666666666
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3402,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,6,Exp2,V35_SlowResidual_CalibrationOnly,9315.5,9315.5,9405.5,7.36577183823014,1.0,unmatched_candidate_event,15.43368400092938,14.321635977828992,21.29901872542019,16017.5,16017.5,16167.5
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3402,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,7,Exp2,V35_SlowResidual_CalibrationOnly,9615.5,9615.5,9705.5,4.120079942494867,1.0,unmatched_candidate_event,7.846739996778739,7.862044409811968,21.130035304164103,16517.5,16517.5,16667.5
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3402,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,8,Exp2,V35_SlowResidual_CalibrationOnly,9910.5,9910.5,10010.5,10.22296985672454,1.0,unmatched_candidate_event,27.438717928449467,20.10447257134398,19.625616473022628,17009.166666666668,17009.166666666668,17175.833333333332
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3402,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,9,Exp2,V35_SlowResidual_CalibrationOnly,10210.5,10230.5,10310.5,5.50911681290637,1.0,unmatched_candidate_event,19.521533594842303,10.671447782440396,40.90655079829605,17509.166666666668,17542.5,17675.833333333332
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3402,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,10,Exp2,V35_SlowResidual_CalibrationOnly,10510.5,10530.5,10610.5,13.830805042869988,1.0,unmatched_candidate_event,33.883539781884195,27.36333655215729,49.72125561990317,18009.166666666668,18042.5,18175.833333333332
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3402,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,11,Exp2,V35_SlowResidual_CalibrationOnly,10815.5,10830.5,10905.5,7.59640099891973,1.0,unmatched_candidate_event,22.93142282269229,14.815174476086147,27.674940311795105,18517.5,18542.5,18667.5
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3402,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,12,Exp2,V35_SlowResidual_CalibrationOnly,11120.5,11130.5,11205.5,7.008189122188013,1.0,unmatched_candidate_event,19.08320171670328,13.65049599668964,22.559762804199536,19025.833333333332,19042.5,19167.5
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3402,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,13,Exp2,V35_SlowResidual_CalibrationOnly,11420.5,11430.5,11500.5,10.35466369378504,1.0,unmatched_candidate_event,13.873122212182547,20.276258307455716,20.60599243081869,19525.833333333332,19542.5,19659.166666666668
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3402,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,14,Exp2,V35_SlowResidual_CalibrationOnly,11720.5,11750.5,11800.5,6.042981813262327,1.0,unmatched_candidate_event,13.656332064888298,11.68352483691856,18.83036107901932,20025.887265135698,20075.991649269312,20159.498956158663
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3402,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,15,Exp2,V35_SlowResidual_CalibrationOnly,12685.5,12685.5,12700.5,3.0543782161571045,1.0,unmatched_candidate_event,4.361438913156936,5.747061947365097,16.293793253990955,21637.57828810021,21637.57828810021,21662.630480167016
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3402,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,1,Exp2,V35_SlowResidual_OnlineAdaptation,1515.5,1530.5,1605.5,3.035446731442464,1.0,unmatched_candidate_event,10.818759329305852,5.714235928047205,31.95818672312094,3021.301431424767,3046.2631491344873,3171.0717376830894
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3402,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,2,Exp2,V35_SlowResidual_OnlineAdaptation,1845.5,1895.5,1905.5,0.7355557174626545,1.0,unmatched_candidate_event,0.0,1.0661353948004155,21.805127536834355,3570.4592210386154,3653.6649467376833,3670.306091877497
