direction,setting,seed,dataset,from_stage,to_stage,boundary_actual_cycle,boundary_peak_score,boundary_score_percentile,boundary_event_rank
Exp1_to_Exp2,V341_CalibrationOnly,3401,Exp2,1,2,5500.0,3.471571207586251,0.947192264782447,4.0
Exp1_to_Exp2,V341_CalibrationOnly,3401,Exp2,2,3,10500.0,3.1018395521513478,0.929341762737077,5.0
Exp1_to_Exp2,V341_CalibrationOnly,3401,Exp2,3,4,15000.0,5.6282095305345745,0.9940498326515433,6.0
Exp1_to_Exp2,V341_CalibrationOnly,3401,Exp2,4,5,20000.0,3.5981861196010474,0.952026775753068,
Exp1_to_Exp2,V341_OnlineAdaptation,3401,Exp2,1,2,5500.0,3.802277753596403,0.9947936035701004,2.0
Exp1_to_Exp2,V341_OnlineAdaptation,3401,Exp2,2,3,10500.0,0.9508685669018597,0.7556712532539978,18.0
Exp1_to_Exp2,V341_OnlineAdaptation,3401,Exp2,3,4,15000.0,1.8414368826448935,0.9367794719226479,7.0
Exp1_to_Exp2,V341_OnlineAdaptation,3401,Exp2,4,5,20000.0,1.429325453952252,0.8958720714020082,13.0
Exp1_to_Exp2,V35_SlowOnly_CalibrationOnly,3401,Exp2,1,2,5500.0,2.706753901248593,0.9847526961695797,5.0
Exp1_to_Exp2,V35_SlowOnly_CalibrationOnly,3401,Exp2,2,3,10500.0,2.6226018337092656,0.9814057270360729,6.0
Exp1_to_Exp2,V35_SlowOnly_CalibrationOnly,3401,Exp2,3,4,15000.0,3.515619686797799,0.9966530308664932,2.0
Exp1_to_Exp2,V35_SlowOnly_CalibrationOnly,3401,Exp2,4,5,20000.0,2.852676898716544,0.9869840089252511,
Exp1_to_Exp2,V35_SlowOnly_OnlineAdaptation,3401,Exp2,1,2,5500.0,3.288606678340404,1.0,1.0
Exp1_to_Exp2,V35_SlowOnly_OnlineAdaptation,3401,Exp2,2,3,10500.0,0.2592727541923523,0.809966530308665,
Exp1_to_Exp2,V35_SlowOnly_OnlineAdaptation,3401,Exp2,3,4,15000.0,0.24039754271507263,0.572703607288955,
Exp1_to_Exp2,V35_SlowOnly_OnlineAdaptation,3401,Exp2,4,5,20000.0,0.25121158361434937,0.7136481963555225,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,Exp2,1,2,5500.0,2.706753901248593,0.9847526961695797,10.0
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,Exp2,2,3,10500.0,2.6226018337092656,0.9814057270360729,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,Exp2,3,4,15000.0,3.515619686797799,0.9966530308664932,2.0
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,Exp2,4,5,20000.0,2.852676898716544,0.9869840089252511,4.0
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,Exp2,1,2,5500.0,3.288606678340404,1.0,1.0
