direction,source_dataset,target_dataset,seed,event_id,dataset,setting,start_cycle,peak_cycle,end_cycle,peak_score,adapter_frozen_fraction,event_status,fast_score,slow_score,residual_persistent,start_actual_cycle,peak_actual_cycle,end_actual_cycle
Exp1_to_Exp2,Exp1,Exp2,3401,14,Exp2,V341_OnlineAdaptation,9310.5,9650.5,10075.5,2.754062856043947,0.9025974025974026,unmatched_candidate_event,,,,16009.166666666666,16575.833333333332,17284.166666666668
Exp1_to_Exp2,Exp1,Exp2,3401,15,Exp2,V341_OnlineAdaptation,10195.5,10230.5,10350.5,1.9305620042716727,1.0,unmatched_candidate_event,,,,17484.166666666668,17542.5,17742.5
Exp1_to_Exp2,Exp1,Exp2,3401,16,Exp2,V341_OnlineAdaptation,10500.5,10540.5,10615.5,1.7723450042012572,1.0,unmatched_candidate_event,,,,17992.5,18059.166666666668,18184.166666666668
Exp1_to_Exp2,Exp1,Exp2,3401,17,Exp2,V341_OnlineAdaptation,10795.5,10860.5,11195.5,1.9907246150864581,1.0,unmatched_candidate_event,,,,18484.166666666668,18592.5,19150.833333333332
Exp1_to_Exp2,Exp1,Exp2,3401,18,Exp2,V341_OnlineAdaptation,11400.5,11430.5,11475.5,1.429325453952252,1.0,unmatched_candidate_event,,,,19492.5,19542.5,19617.5
Exp1_to_Exp2,Exp1,Exp2,3401,19,Exp2,V341_OnlineAdaptation,11725.5,11750.5,11775.5,0.915261464239885,1.0,unmatched_candidate_event,,,,20034.237995824635,20075.991649269312,20117.74530271399
Exp1_to_Exp2,Exp1,Exp2,3401,20,Exp2,V341_OnlineAdaptation,13205.5,13210.5,13240.5,1.025197221575377,1.0,unmatched_candidate_event,,,,22506.054279749478,22514.405010438415,22564.509394572025
Exp1_to_Exp2,Exp1,Exp2,3401,1,Exp2,V35_SlowOnly_CalibrationOnly,1510.5,1555.5,1600.5,0.8659726246191,1.0,unmatched_candidate_event,7.851491000183382,1.3367123631622264,17.689982327903138,3012.9808588548603,3087.8660119840215,3162.751165113182
Exp1_to_Exp2,Exp1,Exp2,3401,2,Exp2,V35_SlowOnly_CalibrationOnly,1830.5,1830.5,1915.5,0.8135733096634026,1.0,unmatched_candidate_event,3.2675588033965197,1.1455139992305985,11.867985586245695,3545.4975033288947,3545.4975033288947,3686.9472370173103
Exp1_to_Exp2,Exp1,Exp2,3401,3,Exp2,V35_SlowOnly_CalibrationOnly,3010.5,3320.5,3650.5,2.706753901248593,1.0,unmatched_candidate_event,2.9496687055426993,5.219354061495103,3.451570964641414,5509.166666666667,6025.833333333333,6575.833333333333
Exp1_to_Exp2,Exp1,Exp2,3401,4,Exp2,V35_SlowOnly_CalibrationOnly,3895.5,3910.5,3920.5,1.6150814248506242,1.0,unmatched_candidate_event,6.384194214460034,3.105472026444279,2.1216153368322312,6984.166666666667,7009.166666666667,7025.833333333333
Exp1_to_Exp2,Exp1,Exp2,3401,5,Exp2,V35_SlowOnly_CalibrationOnly,4175.5,4230.5,4240.5,0.9029931062000609,1.0,unmatched_candidate_event,1.6510301860341554,1.5957656817709638,0.6662724118933351,7450.833333333333,7542.5,7559.166666666666
Exp1_to_Exp2,Exp1,Exp2,3401,6,Exp2,V35_SlowOnly_CalibrationOnly,5260.5,5270.5,5270.5,0.6898820252412932,1.0,unmatched_candidate_event,1.1654306233825633,1.1832010897386822,0.0,9259.166666666666,9275.833333333334,9275.833333333334
Exp1_to_Exp2,Exp1,Exp2,3401,7,Exp2,V35_SlowOnly_CalibrationOnly,5710.5,5730.5,5805.5,1.2568939625359725,1.0,unmatched_candidate_event,7.985047289566614,2.355890348382225,8.943070699067015,10009.166666666668,10042.5,10167.5
Exp1_to_Exp2,Exp1,Exp2,3401,8,Exp2,V35_SlowOnly_CalibrationOnly,6025.5,6360.5,6710.5,2.6226018337092656,1.0,unmatched_candidate_event,1.860443933618956,4.781385921971372,1.5200829255796557,10534.166666666666,11092.5,11675.833333333334
Exp1_to_Exp2,Exp1,Exp2,3401,9,Exp2,V35_SlowOnly_CalibrationOnly,6905.5,6990.5,7210.5,1.5828154268366883,1.0,unmatched_candidate_event,2.935062771118441,2.826911604901709,27.26376192235228,12000.833333333334,12142.5,12509.166666666666
Exp1_to_Exp2,Exp1,Exp2,3401,10,Exp2,V35_SlowOnly_CalibrationOnly,8405.5,8410.5,8415.5,1.109621475085679,1.0,unmatched_candidate_event,6.022882989893354,1.881658603638536,3.547905322215553,14500.833333333334,14509.166666666666,14517.5
Exp1_to_Exp2,Exp1,Exp2,3401,11,Exp2,V35_SlowOnly_CalibrationOnly,8695.5,8710.5,9140.5,3.515619686797799,1.0,unmatched_candidate_event,14.37543755352078,6.837540922672632,8.060020080495391,14984.166666666668,15009.166666666666,15725.833333333334
Exp1_to_Exp2,Exp1,Exp2,3401,12,Exp2,V35_SlowOnly_CalibrationOnly,9305.5,9310.5,9795.5,2.7207477623715084,1.0,unmatched_candidate_event,14.478771243428904,5.314367102482732,10.606111669250108,16000.833333333334,16009.166666666666,16817.5
Exp1_to_Exp2,Exp1,Exp2,3401,13,Exp2,V35_SlowOnly_CalibrationOnly,9905.5,10530.5,12010.5,3.2431013293198285,1.0,unmatched_candidate_event,21.428306676427425,6.420275026486623,41.508661561734215,17000.833333333332,18042.5,20510.229645093947
Exp1_to_Exp2,Exp1,Exp2,3401,14,Exp2,V35_SlowOnly_CalibrationOnly,12605.5,13190.5,13575.5,3.9793011757721484,1.0,unmatched_candidate_event,3.5169781915546547,7.906235442904627,0.7849226634186544,21503.966597077244,22481.00208768267,23124.008350730688
Exp1_to_Exp2,Exp1,Exp2,3401,15,Exp2,V35_SlowOnly_CalibrationOnly,13755.5,13830.5,13855.5,0.9334208589272283,1.0,unmatched_candidate_event,0.0,1.734049617544131,0.0,23424.634655532358,23549.89561586639,23591.649269311063
Exp1_to_Exp2,Exp1,Exp2,3401,1,Exp2,V35_SlowOnly_OnlineAdaptation,740.5,845.5,855.5,0.6854311853179507,0.875,unmatched_candidate_event,0.0,0.8843761741179571,0.0,1731.6126830892144,1906.344707057257,1922.9858521970705
Exp1_to_Exp2,Exp1,Exp2,3401,2,Exp2,V35_SlowOnly_OnlineAdaptation,1510.5,1540.5,1680.5,1.1478344288028408,1.0,unmatched_candidate_event,10.188432041316988,1.9176300638034203,22.812251503437118,3012.9808588548603,3062.904294274301,3295.880326231691
Exp1_to_Exp2,Exp1,Exp2,3401,3,Exp2,V35_SlowOnly_OnlineAdaptation,1830.5,1840.5,1930.5,0.7881098811387539,1.0,unmatched_candidate_event,4.5625878113308636,1.090925181817913,12.516032037538974,3545.4975033288947,3562.138648468708,3711.9089547270305
Exp1_to_Exp2,Exp1,Exp2,3401,4,Exp2,V35_SlowOnly_OnlineAdaptation,3010.5,3315.5,3650.5,3.288606678340404,1.0,unmatched_candidate_event,3.3103608553813064,6.378099168128905,2.7487371031130277,5509.166666666667,6017.5,6575.833333333333
Exp1_to_Exp2,Exp1,Exp2,3401,5,Exp2,V35_SlowOnly_OnlineAdaptation,6910.5,6955.5,7195.5,1.1560435077469917,1.0,unmatched_candidate_event,9.701381114018377,1.9035154741846267,14.584134549511823,12009.166666666666,12084.166666666666,12484.166666666666
Exp1_to_Exp2,Exp1,Exp2,3401,1,Exp2,V35_SlowResidual_CalibrationOnly,1515.5,1555.5,1600.5,0.8659726246191,1.0,unmatched_candidate_event,7.851491000183382,1.3367123631622264,17.689982327903138,3021.301431424767,3087.8660119840215,3162.751165113182
Exp1_to_Exp2,Exp1,Exp2,3401,2,Exp2,V35_SlowResidual_CalibrationOnly,3020.5,3080.5,3105.5,1.7615518943151816,1.0,unmatched_candidate_event,10.504854306728252,3.267512068287727,19.296248091871732,5525.833333333333,5625.833333333333,5667.5
Exp1_to_Exp2,Exp1,Exp2,3401,3,Exp2,V35_SlowResidual_CalibrationOnly,6915.5,6990.5,7005.5,1.5828154268366883,1.0,unmatched_candidate_event,2.935062771118441,2.826911604901709,27.26376192235228,12017.5,12142.5,12167.5
Exp1_to_Exp2,Exp1,Exp2,3401,4,Exp2,V35_SlowResidual_CalibrationOnly,8715.5,8715.5,8800.5,3.1431516947975675,1.0,unmatched_candidate_event,13.80266405823089,6.087329689190968,14.020349373722274,15017.5,15017.5,15159.166666666666
Exp1_to_Exp2,Exp1,Exp2,3401,5,Exp2,V35_SlowResidual_CalibrationOnly,9315.5,9315.5,9405.5,2.628764802828494,1.0,unmatched_candidate_event,14.22795899648675,5.129188541799909,17.352476567031545,16017.5,16017.5,16167.5
Exp1_to_Exp2,Exp1,Exp2,3401,6,Exp2,V35_SlowResidual_CalibrationOnly,9615.5,9615.5,9705.5,1.889831490287222,1.0,unmatched_candidate_event,9.31902978661414,3.6240049143017083,18.8350346233147,16517.5,16517.5,16667.5
Exp1_to_Exp2,Exp1,Exp2,3401,7,Exp2,V35_SlowResidual_CalibrationOnly,9910.5,9910.5,10010.5,3.1022664383196545,1.0,unmatched_candidate_event,20.089055429242823,6.139158077566567,15.570771999638783,17009.166666666668,17009.166666666668,17175.833333333332
Exp1_to_Exp2,Exp1,Exp2,3401,8,Exp2,V35_SlowResidual_CalibrationOnly,10220.5,10230.5,10310.5,2.3203436614340025,1.0,unmatched_candidate_event,11.438924852672143,4.479085898650781,35.864419211080225,17525.833333333332,17542.5,17675.833333333332
Exp1_to_Exp2,Exp1,Exp2,3401,9,Exp2,V35_SlowResidual_CalibrationOnly,10510.5,10530.5,10610.5,3.2431013293198285,1.0,unmatched_candidate_event,21.428306676427425,6.420275026486623,41.508661561734215,18009.166666666668,18042.5,18175.833333333332
Exp1_to_Exp2,Exp1,Exp2,3401,10,Exp2,V35_SlowResidual_CalibrationOnly,10825.5,10830.5,10905.5,2.6925887176367476,1.0,unmatched_candidate_event,12.026668767154655,5.198628129357663,24.60910060434596,18534.166666666668,18542.5,18667.5
Exp1_to_Exp2,Exp1,Exp2,3401,11,Exp2,V35_SlowResidual_CalibrationOnly,11125.5,11180.5,11205.5,2.2018134851695703,1.0,unmatched_candidate_event,3.4682234615123866,4.185568667340598,18.659168314076172,19034.166666666668,19125.833333333332,19167.5
Exp1_to_Exp2,Exp1,Exp2,3401,12,Exp2,V35_SlowResidual_CalibrationOnly,11420.5,11430.5,11500.5,2.852676898716544,1.0,unmatched_candidate_event,5.622161418916695,5.383855075595091,18.147833852702853,19525.833333333332,19542.5,19659.166666666668
Exp1_to_Exp2,Exp1,Exp2,3401,13,Exp2,V35_SlowResidual_CalibrationOnly,11745.5,11800.5,11800.5,1.2738034598858747,1.0,unmatched_candidate_event,2.629319130064858,2.3213994250360317,14.805401416677993,20067.640918580375,20159.498956158663,20159.498956158663
Exp1_to_Exp2,Exp1,Exp2,3401,1,Exp2,V35_SlowResidual_OnlineAdaptation,1515.5,1540.5,1605.5,1.1478344288028408,1.0,unmatched_candidate_event,10.188432041316988,1.9176300638034203,22.812251503437118,3021.301431424767,3062.904294274301,3171.0717376830894
