direction,setting,seed,boundary_hit_rate_250,boundary_hit_rate_500,mean_absolute_detection_delay,median_absolute_detection_delay,candidate_event_count,unmatched_candidate_count,event_level_precision,event_level_f1,adapter_update_fraction,adapter_frozen_fraction,Top_4_event_recall,Top_8_event_recall
Exp1_to_Exp2,V341_CalibrationOnly,3401,0.5,0.5,121.66666666666652,121.66666666666652,15,13,0.13333333333333333,0.2105263157894737,0.0,0.7772406098921533,0.25,0.75
Exp1_to_Exp2,V341_OnlineAdaptation,3401,0.5,1.0,100.91249130132246,100.91249130132246,20,18,0.1,0.16666666666666669,0.5831164001487542,0.4168835998512458,0.25,0.5
Exp1_to_Exp2,V35_SlowOnly_CalibrationOnly,3401,0.25,0.5,9.16666666666606,9.16666666666606,15,14,0.06666666666666667,0.10526315789473685,0.0,1.0,0.25,0.75
Exp1_to_Exp2,V35_SlowOnly_OnlineAdaptation,3401,0.0,0.0,,,5,5,0.0,0.0,0.801785050204537,0.198214949795463,0.25,0.25
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,0.75,0.75,100.94409649733188,125.83333333333303,13,10,0.23076923076923078,0.3529411764705882,0.0,1.0,0.5,0.5
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,0.25,0.25,159.16666666666697,159.16666666666697,3,2,0.3333333333333333,0.28571428571428575,0.801785050204537,0.198214949795463,0.25,0.25
Exp1_to_Exp2,V341_CalibrationOnly,3402,1.0,1.0,75.87291231732797,71.74582463465595,16,12,0.25,0.4,0.0,0.4748977314986984,0.0,0.75
Exp1_to_Exp2,V341_OnlineAdaptation,3402,0.0,0.0,,,6,6,0.0,0.0,0.757902566009669,0.24209743399033098,0.25,0.25
Exp1_to_Exp2,V35_SlowOnly_CalibrationOnly,3402,0.0,0.25,,,14,14,0.0,0.0,0.0,1.0,0.5,0.5
Exp1_to_Exp2,V35_SlowOnly_OnlineAdaptation,3402,0.0,0.0,,,5,5,0.0,0.0,0.7910003718854592,0.20899962811454073,0.25,0.25
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,0.75,0.75,53.66388308977063,67.5,15,12,0.2,0.31578947368421056,0.0,1.0,0.25,0.25
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3402,0.25,0.25,59.16666666666697,59.16666666666697,4,3,0.25,0.25,0.7910003718854592,0.20899962811454073,0.25,0.25
Exp1_to_Exp2,V341_CalibrationOnly,3403,0.25,0.25,34.16666666666697,34.16666666666697,9,8,0.1111111111111111,0.15384615384615383,0.0,0.8062476757158795,0.5,0.5
Exp1_to_Exp2,V341_OnlineAdaptation,3403,0.5,0.75,55.09655532359102,55.09655532359102,12,10,0.16666666666666666,0.25,0.5533655634064708,0.4466344365935292,0.25,0.5
Exp1_to_Exp2,V35_SlowOnly_CalibrationOnly,3403,0.0,0.5,,,10,10,0.0,0.0,0.0,1.0,0.5,0.5
Exp1_to_Exp2,V35_SlowOnly_OnlineAdaptation,3403,0.25,0.5,50.83333333333394,50.83333333333394,12,11,0.08333333333333333,0.125,0.5061361100780959,0.49386388992190405,0.25,0.5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,0.75,0.75,42.55277197865962,34.16666666666697,14,11,0.21428571428571427,0.3333333333333333,0.0,1.0,0.0,0.5
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3403,0.25,0.25,109.16666666666697,109.16666666666697,4,3,0.25,0.25,0.5061361100780959,0.49386388992190405,0.25,0.25
Exp1_to_Exp2,V341_CalibrationOnly,3404,0.25,0.5,75.83333333333394,75.83333333333394,11,10,0.09090909090909091,0.13333333333333333,0.0,0.34882856080327257,0.0,0.25
