dataset,metric,common_windows,full_spearman,segmented_trend_agreement,major_high_value_overlap
Exp1,D_state,8717,0.8973115315937489,1.0,0.3657008613938919
Exp1,V1000_norm,8717,0.8416653583422465,0.8,0.5557537912578056
Exp1,multi_scale_rate_divergence,8717,0.6793214140638529,0.6,0.32422171602126043
Exp1,state_volatility,8717,0.6360068616421957,0.6,0.7014634146341463
Exp2,D_state,2419,0.9598601488464124,1.0,0.5921052631578947
Exp2,V1000_norm,2419,0.9433785113658162,0.8,0.5973597359735974
Exp2,multi_scale_rate_divergence,2419,0.9689150424834083,0.6,0.7794117647058824
Exp2,state_volatility,2419,0.7991684349347716,0.8,0.4578313253012048
