training_setting,source_dataset,target_dataset,model,horizon,training_examples,prediction_start_index,evaluated_windows,MAE,stable_interval_MAE,transition_interval_MAE,evaluation_region,relative_improvement_vs_Persistence
within_Exp2,Exp2,Exp2,GRU,100,999,1126,1591,0.0376463541659495,0.0382995812716561,0.032525779465105,complete_predeclared_suffix,0.012720773901968673
within_Exp2,Exp2,Exp2,GRU,300,999,1126,1391,0.0543439615232349,0.0544542816056534,0.0536017525242974,complete_predeclared_suffix,-0.009377460444776924
within_Exp2,Exp2,Exp2,Persistence,20,999,1126,1671,0.0184983418213283,0.0185084749828024,0.0184144054671178,complete_predeclared_suffix,0.0
within_Exp2,Exp2,Exp2,Persistence,100,999,1126,1591,0.0381314152782664,0.0390959989221397,0.0305701512699037,complete_predeclared_suffix,0.0
within_Exp2,Exp2,Exp2,Persistence,300,999,1126,1391,0.0538390876088005,0.0539571960719196,0.0530444801152599,complete_predeclared_suffix,0.0
within_Exp2,Exp2,Exp2,RBF_Ridge,20,999,1126,1671,0.019736838606874,0.01977995112279,0.0193797232667029,complete_predeclared_suffix,-0.06695177316475645
within_Exp2,Exp2,Exp2,RBF_Ridge,100,999,1126,1591,0.0394407850089095,0.0402226571115734,0.0333117764708052,complete_predeclared_suffix,-0.03433834598290914
within_Exp2,Exp2,Exp2,RBF_Ridge,300,999,1126,1391,0.053974932148282,0.054031894493815,0.0535917021458346,complete_predeclared_suffix,-0.0025231582761684676
within_Exp2,Exp2,Exp2,Ridge,20,999,1126,1671,0.1134744481129308,0.1158578328521901,0.0937320778560664,complete_predeclared_suffix,-5.134303777547052
within_Exp2,Exp2,Exp2,Ridge,100,999,1126,1591,0.1652384701813584,0.1712353515825363,0.1182295831976806,complete_predeclared_suffix,-3.3333946294812367
within_Exp2,Exp2,Exp2,Ridge,300,999,1126,1391,0.3549069397951137,0.3720224378019194,0.2397576726493266,complete_predeclared_suffix,-5.591993950081369
within_Exp2,Exp2,Exp2,TCN,20,999,1126,1671,0.0199571463838676,0.0199530343373543,0.0199912078358194,complete_predeclared_suffix,-0.07886136912322174
within_Exp2,Exp2,Exp2,TCN,100,999,1126,1591,0.0376620138729818,0.0387621813240918,0.0290379234645584,complete_predeclared_suffix,0.012310096592510731
within_Exp2,Exp2,Exp2,TCN,300,999,1126,1391,0.0557991257412139,0.0553658367855321,0.0587141975486065,complete_predeclared_suffix,-0.03640548566972776
