window_index,ablation,state,support,drift,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,direction_id
2816,B3_DYNAMIC_PROTOTYPE,1,0,0.0,-0.14497093856334686,-0.3552960157394409,-0.3902245759963989,-0.17658603191375732,0.09361255168914795,0.0277764480561018,0.1395118087530136,-0.16619601845741272,-0.025686051696538925,0.26629266142845154,0.045154232531785965,0.3383398950099945,0.34886860847473145,-0.21366310119628906,0.2672155201435089,-0.4241199791431427,Exp1_to_Exp2
2816,B3_DYNAMIC_PROTOTYPE,2,22,0.25469058752059937,-0.20829997956752777,-0.26340049505233765,-0.0913524180650711,-0.18533331155776978,0.24616818130016327,-0.19596144556999207,0.015211031772196293,-0.04567139968276024,0.09184662997722626,0.16274583339691162,-0.08333489298820496,0.12250541895627975,0.1289733648300171,-0.1373363882303238,0.039426758885383606,-0.07236632704734802,Exp1_to_Exp2
2816,B3_DYNAMIC_PROTOTYPE,3,0,0.0,-0.3755265176296234,-0.28008759021759033,0.15770243108272552,-0.28102174401283264,0.3986971974372864,-0.3592517673969269,-0.03929555416107178,-0.01038270816206932,0.37068796157836914,0.04144485667347908,-0.13920404016971588,0.05165214091539383,0.09116103500127792,0.11792148649692535,0.049626488238573074,0.22168302536010742,Exp1_to_Exp2
2816,B3_DYNAMIC_PROTOTYPE,4,0,0.0,-0.1073823869228363,0.19331805408000946,0.3932846486568451,0.09190381318330765,0.1472800374031067,-0.21793004870414734,-0.1277584731578827,0.19399338960647583,0.11193867027759552,-0.19286878407001495,-0.1472402662038803,-0.3250020146369934,-0.4099386930465698,0.16968579590320587,-0.2646152377128601,0.4145171046257019,Exp1_to_Exp2
2816,B3_DYNAMIC_PROTOTYPE,5,0,0.0,-0.06999249011278152,0.165456160902977,0.37589526176452637,0.041760846972465515,0.13404828310012817,-0.26895028352737427,-0.16567710041999817,0.18940210342407227,0.1427188217639923,-0.1512344926595688,-0.15402786433696747,-0.3277612030506134,-0.3438723087310791,0.13671784102916718,-0.3206019699573517,0.42302823066711426,Exp1_to_Exp2
2816,B4_TEACHER_MEMORY,1,0,0.0,-0.14497093856334686,-0.3552960157394409,-0.3902245759963989,-0.17658603191375732,0.09361255168914795,0.0277764480561018,0.1395118087530136,-0.16619601845741272,-0.025686051696538925,0.26629266142845154,0.045154232531785965,0.3383398950099945,0.34886860847473145,-0.21366310119628906,0.2672155201435089,-0.4241199791431427,Exp1_to_Exp2
2816,B4_TEACHER_MEMORY,2,22,0.25469058752059937,-0.20829997956752777,-0.26340049505233765,-0.0913524180650711,-0.18533331155776978,0.24616818130016327,-0.19596144556999207,0.015211031772196293,-0.04567139968276024,0.09184662997722626,0.16274583339691162,-0.08333489298820496,0.12250541895627975,0.1289733648300171,-0.1373363882303238,0.039426758885383606,-0.07236632704734802,Exp1_to_Exp2
2816,B4_TEACHER_MEMORY,3,0,0.0,-0.3755265176296234,-0.28008759021759033,0.15770243108272552,-0.28102174401283264,0.3986971974372864,-0.3592517673969269,-0.03929555416107178,-0.01038270816206932,0.37068796157836914,0.04144485667347908,-0.13920404016971588,0.05165214091539383,0.09116103500127792,0.11792148649692535,0.049626488238573074,0.22168302536010742,Exp1_to_Exp2
2816,B4_TEACHER_MEMORY,4,0,0.0,-0.1073823869228363,0.19331805408000946,0.3932846486568451,0.09190381318330765,0.1472800374031067,-0.21793004870414734,-0.1277584731578827,0.19399338960647583,0.11193867027759552,-0.19286878407001495,-0.1472402662038803,-0.3250020146369934,-0.4099386930465698,0.16968579590320587,-0.2646152377128601,0.4145171046257019,Exp1_to_Exp2
2816,B4_TEACHER_MEMORY,5,0,0.0,-0.06999249011278152,0.165456160902977,0.37589526176452637,0.041760846972465515,0.13404828310012817,-0.26895028352737427,-0.16567710041999817,0.18940210342407227,0.1427188217639923,-0.1512344926595688,-0.15402786433696747,-0.3277612030506134,-0.3438723087310791,0.13671784102916718,-0.3206019699573517,0.42302823066711426,Exp1_to_Exp2
