ablation,memory_stage,window_index,confidence,entropy,TES,direction_id
B4_TEACHER_MEMORY,2,308,0.9929624200179216,0.04535482919455965,2.085565055457203,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,309,0.9929629080643894,0.045353363974714386,5.159706654132548,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,310,0.9929632850447765,0.04535225211424001,3.275958836426825,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,311,0.9929630830944641,0.04535287564435781,1.9094666599327812,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,312,0.992962441959875,0.04535479767758357,1.9094666599327812,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,313,0.9929617357609386,0.04535688924534687,1.7289450669783122,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,314,0.9929611126028467,0.04535872030593717,1.38266695977886,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,315,0.9929606210153308,0.04536016467885526,1.149119823212023,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,316,0.9929602274801366,0.04536131296159299,1.149119823212023,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,317,0.9929599131252289,0.04536222955428988,1.149119823212023,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,318,0.9929596885751862,0.0453628855410739,1.149119823212023,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,319,0.9929595144199029,0.04536339373373358,1.149119823212023,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,320,0.9929594289560981,0.04536363935477286,1.149119823212023,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,321,0.992959334769053,0.04536391439344319,1.2498350180451006,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,322,0.9929593213900031,0.045363947689517584,1.1498393326122915,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,423,0.9929634808253244,0.0453517013865801,0.0,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,524,0.9929645048619653,0.04534866980908922,0.4783116789890642,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,625,0.9929601601537759,0.045361453925752145,0.8803168158601002,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,726,0.9929615242338388,0.045357452148939055,2.623179268452108,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,827,0.9929585366051678,0.045366247916541376,0.0048728271005209,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,928,0.9929582621437506,0.04536704664050808,0.5042784706862941,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,1029,0.9929626080460395,0.04535426940339126,3.540663062957141,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,1130,0.9929633379608879,0.04535211939295084,0.1161343358122974,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,1231,0.9929589397874121,0.04536508189647403,0.2451525544903838,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,1332,0.9929588226038896,0.04536540393185438,0.521363460379842,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,1433,0.9929603557220609,0.04536090796000588,0.1053817799443566,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,1534,0.9929617302360589,0.04535687454592158,0.0064406301026479,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,1635,0.9929611646466344,0.04535855232868134,0.7059907936759863,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,1736,0.9929627113780299,0.045353975167712446,0.3217153955505418,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,1837,0.9929572927900566,0.04536987946974395,0.3440557315692277,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,1938,0.992912013218352,0.045496405034113015,3.661550123700129,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,1939,0.9929081885568951,0.04550630972314628,3.796644351189392,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,2040,0.992870379011039,0.04557459303029902,6.02376168160481,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,2141,0.9929563663113786,0.04537260956564298,0.5262793680193794,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,2242,0.9929572034528018,0.04537015512762715,0.5570353373863165,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,2343,0.9929281819683783,0.04545278433154896,13.17979390422992,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,2444,0.9928077017619648,0.04554034883709945,0.3196496519371391,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,2445,0.9928081285454585,0.04552679602331642,0.3774979798457179,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,2446,0.9928081753163621,0.0455217201172431,0.4003481242487663,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,2447,0.9928092822297359,0.04550317989585612,0.5671793762745456,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,2448,0.9928114480885372,0.04547184658561214,0.7478817091832213,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,2449,0.9928099463796398,0.0454867702657434,0.7561088568321195,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,2450,0.9928077270534649,0.045518874227032276,0.5506151845866637,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,2451,0.9928052389314977,0.045581861864730816,0.2652074188839939,Exp1_to_Exp2
B4_TEACHER_MEMORY,2,2552,0.9929554750083219,0.04537526871480976,1.2692320080636077,Exp1_to_Exp2
