direction_id,snapshot_fraction,Stage5_AUROC,Stage5_AUPRC,Stage45_AUROC,Stage45_AUPRC,Ordinal_MAE,ordinal_macro_F1,risk_stage_spearman,Stage5_recall,Stage1to2_false_high_rate,ECE,Brier,mean_posterior_entropy,mean_confidence,prototype_support_stage1,prototype_support_stage2,prototype_support_stage3,prototype_support_stage4,prototype_support_stage5,accepted_samples,updates_so_far
Exp1_to_Exp2,0.0,0.8915498858935957,0.4542047670361988,0.7114305555555556,0.5686363280823798,1.3400780972665958,0.07161374374567667,0.718629295411161,0.0,0.0,0.17039396263395296,0.17039400922755304,0.045946981926554865,0.9926684308657369,0,0,0,0,0,0,0
Exp1_to_Exp2,0.1,0.8915498858935957,0.4542047670361988,0.7114305555555556,0.5686363280823798,1.3400780972665958,0.07161374374567667,0.718629295411161,0.0,0.0,0.17039396263395296,0.17039400922755304,0.045946981926554865,0.9926684308657369,0,0,0,0,0,0,0
Exp1_to_Exp2,0.2,0.8921703394665526,0.454865334354336,0.7115,0.5686607667826015,1.3400780972665958,0.07161374374567667,0.7181598660960377,0.0,0.0,0.17039363005251495,0.17039400926876447,0.04636433174306765,0.9925758572270809,0,14,0,0,0,17,0
Exp1_to_Exp2,0.3,0.8897874768221367,0.45038255932973575,0.7037604166666667,0.5634494442778587,1.3400780972665958,0.07161374374567667,0.7197554360788806,0.0,0.0,0.17039382906923184,0.17039400929635595,0.04629642372351456,0.992591416162312,0,14,0,0,0,20,1
Exp1_to_Exp2,0.4,0.8897874768221367,0.45038255932973575,0.7037604166666667,0.5634494442778587,1.3400780972665958,0.07161374374567667,0.7197554360788806,0.0,0.0,0.17039382906923184,0.17039400929635595,0.04629642372351456,0.992591416162312,0,14,0,0,0,22,1
Exp1_to_Exp2,0.5,0.8897874768221367,0.45038255932973575,0.7037604166666667,0.5634494442778587,1.3400780972665958,0.07161374374567667,0.7197554360788806,0.0,0.0,0.17039382906923184,0.17039400929635595,0.04629642372351456,0.992591416162312,0,14,0,0,0,25,1
Exp1_to_Exp2,0.6,0.8897874768221367,0.45038255932973575,0.7037604166666667,0.5634494442778587,1.3400780972665958,0.07161374374567667,0.7197554360788806,0.0,0.0,0.17039382906923184,0.17039400929635595,0.04629642372351456,0.992591416162312,0,14,0,0,0,28,1
Exp1_to_Exp2,0.7,0.8897741049778919,0.4503157133614126,0.7037604166666667,0.5634494442778587,1.3400780972665958,0.07161374374567667,0.7197011987114688,0.0,0.0,0.1703937074106202,0.1703940093199422,0.04637561561626982,0.9925720151767863,0,15,0,0,0,32,1
Exp1_to_Exp2,0.8,0.8897741049778919,0.4503157133614126,0.7037604166666667,0.5634494442778587,1.3400780972665958,0.07161374374567667,0.7197011987114688,0.0,0.0,0.1703937074106202,0.1703940093199422,0.04637561561626982,0.9925720151767863,0,15,0,0,0,35,1
Exp1_to_Exp2,0.9,0.8862590928540864,0.444232012773846,0.6951944444444444,0.5574173410483194,1.3400780972665958,0.07161374374567667,0.7185298424237395,0.0,0.0,0.1703936938804043,0.17039400939486504,0.04627846402265601,0.9925934778155275,0,22,0,0,0,44,2
Exp1_to_Exp2,1.0,0.8862590928540864,0.444232012773846,0.6951944444444444,0.5574173410483194,1.3400780972665958,0.07161374374567667,0.7185298424237395,0.0,0.0,0.1703936938804043,0.17039400939486504,0.04627846402265601,0.9925934778155275,0,22,0,0,0,47,2
Exp2_to_Exp1,0.0,0.5467430776542573,0.4986633227395648,0.7490773778290831,0.8452077544763811,1.356335710367526,0.13274728340390346,-0.26559335376128623,0.3506139154160982,0.002606017531390666,0.24054995413606,0.240001583460497,0.08608920409617062,0.976407158168498,0,0,0,0,0,0,0
Exp2_to_Exp1,0.1,0.5623858681229257,0.5000304375490516,0.6846071775497738,0.8186975135646013,1.3296763576522217,0.12274285229323585,-0.22510039816499244,0.35243292405638926,0.0035536602700781805,0.2405381584067219,0.23999541420242715,0.06341005472039712,0.9856728387625538,0,0,25,0,0,276,13
Exp2_to_Exp1,0.2,0.5681234648169379,0.5084976087489614,0.6925148870788497,0.8217233943709754,1.3297860669226549,0.12412204904164473,-0.2099595442013515,0.36061846293769895,0.0037905709547500594,0.24051075924150103,0.23995475384609577,0.06627359986228024,0.9844975648485382,0,3,49,0,0,614,30
Exp2_to_Exp1,0.3,0.5640778407346944,0.5105433171500996,0.7078567180886417,0.8274330776224634,1.3328579264947888,0.12217698943078796,-0.22696092156467804,0.37198726693951795,0.0037905709547500594,0.24047301440731417,0.23988399730425497,0.06766962048151436,0.9842616747228732,0,3,49,0,0,907,45
Exp2_to_Exp1,0.4,0.569127194100268,0.5126362410402182,0.7397714399498427,0.8391998075101654,1.3481075150850246,0.11435833574100433,-0.214201364039926,0.3842655752614825,0.0037905709547500594,0.24047330855186505,0.23988662074410427,0.06876765402920725,0.98331194284394,0,4,132,0,0,1260,63
Exp2_to_Exp1,0.5,0.5730513054595772,0.5141116411117611,0.7271345770401285,0.8352874109798261,1.3226549643444871,0.11546737059391361,-0.2025558128129897,0.38472032742155526,0.0037905709547500594,0.24047658042863904,0.23989254753337586,0.07040700922891072,0.9829919486987155,0,4,180,0,0,1316,65
Exp2_to_Exp1,0.6,0.578938688940843,0.515940431531505,0.7277353073344258,0.8355982616311617,1.3208996160175535,0.1180697922214536,-0.19655187224903573,0.38472032742155526,0.0037905709547500594,0.2404782856205132,0.23989561124140368,0.06657558434447249,0.9845231629410083,0,4,180,0,0,1324,66
Exp2_to_Exp1,0.7,0.578938688940843,0.515940431531505,0.7277353073344258,0.8355982616311617,1.3208996160175535,0.1180697922214536,-0.19655187224903573,0.38472032742155526,0.0037905709547500594,0.2404782856205132,0.23989561124140368,0.06657558434447249,0.9845231629410083,0,4,180,0,0,1333,66
Exp2_to_Exp1,0.8,0.5832319412236121,0.5159041032719953,0.7274272060188736,0.8348813179716514,1.324849149753154,0.12014446153184885,-0.19628212275714582,0.3656207366984993,0.003316749585406302,0.24050993064600512,0.23993071070740418,0.06566351928536884,0.9849975729203764,0,4,180,12,0,1353,67
Exp2_to_Exp1,0.9,0.5872943982371712,0.5173871303806601,0.7272889640530527,0.8348555734917859,1.3218869994514537,0.1211518301108139,-0.18743702734282394,0.36607548885857205,0.003316749585406302,0.24050773371007192,0.23992680827697033,0.06376865872683772,0.9856678997826794,0,4,180,12,0,1360,68
Exp2_to_Exp1,1.0,0.5845159125118915,0.5146942025179854,0.7349766973153478,0.8375383877362731,1.3185957213384532,0.12016756190446712,-0.19447813990429422,0.38108231014097316,0.0035536602700781805,0.24052254126288802,0.23996796439894136,0.06201114890330358,0.9865728025961106,0,4,180,19,0,1707,85
