protocol_id,target_dataset,output_name,horizon_cycles,model,n_predictions,MAE,RMSE,evaluation_unit,forecast_issue_stride_cycles,rolling_window_cycles
A_Exp1_to_Exp2,Exp2,A_state,100,Zero_Delta,224,17.410617734022043,30.50619995893048,cycles,50,5000
A_Exp1_to_Exp2,Exp2,A_state,100,Local_Linear,224,21.99108883827904,34.70350738596461,cycles,50,5000
A_Exp1_to_Exp2,Exp2,A_state,100,Kalman,224,23.935563409018226,40.45650934589553,cycles,50,5000
A_Exp1_to_Exp2,Exp2,A_state,100,Frozen_Ridge,224,17.069765847027472,27.226223878548726,cycles,50,5000
A_Exp1_to_Exp2,Exp2,A_state,100,Online_RLS,224,15.404902659508082,25.36152188056768,cycles,50,5000
A_Exp1_to_Exp2,Exp2,A_state,100,Safe_Gate,224,15.582230299018944,26.16615541065198,cycles,50,5000
A_Exp1_to_Exp2,Exp2,A_state,500,Zero_Delta,216,18.171845190856647,30.593684580358733,cycles,50,5000
A_Exp1_to_Exp2,Exp2,A_state,500,Local_Linear,216,53.44828002942546,76.40567827111262,cycles,50,5000
A_Exp1_to_Exp2,Exp2,A_state,500,Kalman,216,64.55312468407298,116.15383546960744,cycles,50,5000
A_Exp1_to_Exp2,Exp2,A_state,500,Frozen_Ridge,216,15.596791145725375,24.342609028283327,cycles,50,5000
A_Exp1_to_Exp2,Exp2,A_state,500,Online_RLS,216,21.94838462169428,30.469132780659574,cycles,50,5000
A_Exp1_to_Exp2,Exp2,A_state,500,Safe_Gate,216,17.8875576575515,29.13199052529869,cycles,50,5000
A_Exp1_to_Exp2,Exp2,A_state,1000,Zero_Delta,208,18.43184929012401,30.78061900261345,cycles,50,5000
A_Exp1_to_Exp2,Exp2,A_state,1000,Local_Linear,208,89.39015844947372,121.72077777823016,cycles,50,5000
A_Exp1_to_Exp2,Exp2,A_state,1000,Kalman,208,114.6537917388755,210.14565397718619,cycles,50,5000
A_Exp1_to_Exp2,Exp2,A_state,1000,Frozen_Ridge,208,21.330768171925026,32.809598593856755,cycles,50,5000
A_Exp1_to_Exp2,Exp2,A_state,1000,Online_RLS,208,26.768769023324424,38.27161741218538,cycles,50,5000
A_Exp1_to_Exp2,Exp2,A_state,1000,Safe_Gate,208,18.360801328724804,30.555152544926347,cycles,50,5000
