direction,segment_id,start_index,end_index,start_cycle,end_cycle,window_count,mean_innovation_energy,mean_activity_energy,mean_rx_mean,mean_rx_absmean,mean_rx_q05,mean_ry_mean,mean_ry_absmean,mean_ry_q05,mean_ry_p2p,mean_rs_mean,mean_rs_rms,slope_rx_mean,slope_rx_absmean,slope_rx_q05,slope_ry_mean,slope_ry_absmean,slope_ry_q05,slope_ry_p2p,slope_rs_mean,slope_rs_rms
Exp1_to_Exp2,0,0,2816,10.5,14090.5,2817,1.3540737653860533e-05,0.0013278327310746042,0.2108656684691553,0.2108656684691553,0.12973857244256776,-0.20516349277248228,0.20516349277248228,-0.24940515962900234,0.09873630492592424,0.30017623867784154,0.3064557366214056,3.297487652629814e-05,3.297487652629814e-05,2.6292057288561253e-05,-1.5904029732077805e-05,1.5904029732077805e-05,-3.748616735578638e-05,4.324161679192544e-05,3.660769823636569e-05,3.992854690751676e-05
Exp2_to_Exp1,0,0,9114,10.5,45580.5,9115,5.323266394187028e-07,0.00041139908497487074,0.150099441015398,0.1501017997534136,0.06285292413063154,-0.05983261270965196,0.06012772527475159,-0.10903753216821463,0.10675602530112314,0.16520315909514635,0.17600779521476076,2.7245095298631122e-06,2.7247375158505504e-06,1.881561645004925e-06,-6.3069682366810944e-06,6.2175226540115506e-06,-8.296795362615545e-06,2.889872884201209e-06,5.534580938252294e-06,4.429396519872028e-06
