direction,dataset,entry_cycle,window_index,center_cycle,cumulative_progression,progression_increment,activity,initial_prior,multi_horizon_residual_dispersion,adapter_support_deficit,bocpd_run_length_entropy,uncertainty,state_id_input_count,rolling_z_used
Exp1_to_Exp2,Exp2,0.0,0,10.5,0.0,0.0,0.0,0.0003639420310793881,0.0,1.0,0.03795026427747182,1.0379502642774718,0,False
Exp1_to_Exp2,Exp2,0.0,1,15.5,0.6635823684201555,0.6635823684201555,0.0020595002138474416,0.0003639420310793881,0.0,0.9921875,0.07566333940320948,1.0678508394032096,0,False
Exp1_to_Exp2,Exp2,0.0,2,20.5,1.2757787755086638,0.6121964070885084,0.0017285838930546774,0.0003639420310793881,0.0,0.984375,0.1067989139853823,1.0911739139853822,0,False
Exp1_to_Exp2,Exp2,0.0,3,25.5,1.815137620024256,0.5393588445155922,0.0013354398587712758,0.0003639420310793881,0.0,0.9765625,0.130201960233091,1.106764460233091,0,False
Exp1_to_Exp2,Exp2,0.0,4,30.5,2.290751055872667,0.4756134358484112,0.001052481212852286,0.0003639420310793881,0.0,0.96875,0.14650606986681516,1.1152560698668152,0,False
Exp1_to_Exp2,Exp2,0.0,5,35.5,2.707180528787334,0.41642947291466675,0.0008321239411542799,0.0003639420310793881,0.0,0.9609375,0.15691484508970638,1.1178523450897064,0,False
Exp1_to_Exp2,Exp2,0.0,6,40.5,3.071543729804598,0.36436320101726427,0.0006667980173691457,0.0003639420310793881,0.0,0.953125,0.1627108634046623,1.1158358634046623,0,False
Exp1_to_Exp2,Exp2,0.0,7,45.5,3.431608069688145,0.36006433988354664,0.0006542154243426039,0.0003639420310793881,0.0,0.9453125,0.16505840651651588,1.110370906516516,0,False
Exp1_to_Exp2,Exp2,0.0,8,50.5,3.696551970699609,0.26494390101146403,0.0004119219122084516,0.0003639420310793881,0.0,0.9375,0.16493539136963606,1.102435391369636,0,False
Exp1_to_Exp2,Exp2,0.0,9,55.5,4.032315515006479,0.3357635443068701,0.0005859221546488957,0.0003639420310793881,0.0,0.9296875,0.16312395303213756,1.0928114530321376,0,False
