model_name,direction_id,source_dataset,target_dataset,target_AUROC,target_AUPRC,target_AUPRC_baseline,target_Spearman_stage_AWR,Stage1_median_AWR,Stage5_median_AWR,ScoreGap,Stage5_high_AWR_rate,Stage5_high_AWR_high_BD_occupancy,notes
M0,Exp1_to_Exp2,Exp1,Exp2,0.990486378547996,0.9435419744168758,0.1703940362087327,0.8091766679215999,-0.8833586148810889,4.494374923513792,5.377733538394881,0.09375,0.09375,Stage5 is used only as a late-state proxy label for evaluation.
M1,Exp1_to_Exp2,Exp1,Exp2,0.9221598202824134,0.6228506960596519,0.1703940362087327,0.7511244702833908,-0.36537222444116957,1.2312552357820348,1.5966274602232042,0.0,0.0,Stage5 is used only as a late-state proxy label for evaluation.
M2,Exp1_to_Exp2,Exp1,Exp2,0.9031209884467266,0.5388346862527543,0.1703940362087327,0.6637837201523191,-0.30764092416743694,0.988821058224119,1.296461982391556,0.0,0.0,Stage5 is used only as a late-state proxy label for evaluation.
M3_equal,Exp1_to_Exp2,Exp1,Exp2,0.9513897803451719,0.779640712748971,0.1703940362087327,0.7610515060095125,-0.3386511872902057,1.7204721347521361,2.0591233220423417,0.0,0.0,Stage5 is used only as a late-state proxy label for evaluation.
M3_weighted,Exp1_to_Exp2,Exp1,Exp2,0.9713227428326915,0.8419331885271109,0.1703940362087327,0.8010683286632084,-0.34861915345388955,2.0874764946977695,2.436095648151659,0.0,0.0,Stage5 is used only as a late-state proxy label for evaluation.
M0,Exp2_to_Exp1,Exp2,Exp1,0.8965718946332144,0.707905536127455,0.2412506856829402,0.8184696002986284,-4.177328533436433,2.564179138573537,6.74150767200997,0.284674852205548,0.2837653478854025,Stage5 is used only as a late-state proxy label for evaluation.
M1,Exp2_to_Exp1,Exp2,Exp1,0.7149594260601656,0.4340764770482605,0.2412506856829402,0.5709347720356853,-1.9301907463418722,0.11524959703978446,2.0454403433816566,0.0,0.0,Stage5 is used only as a late-state proxy label for evaluation.
M2,Exp2_to_Exp1,Exp2,Exp1,0.6734579654088522,0.31049195503332716,0.2412506856829402,0.5900394617254662,-1.6815868895976043,0.4638451553296688,2.145432044927273,0.0,0.0,Stage5 is used only as a late-state proxy label for evaluation.
M3_equal,Exp2_to_Exp1,Exp2,Exp1,0.7311992595614337,0.5087274062359872,0.2412506856829402,0.7125959477897925,-1.708651112852647,1.691984844258106,3.4006359571107527,0.0,0.0,Stage5 is used only as a late-state proxy label for evaluation.
M3_weighted,Exp2_to_Exp1,Exp2,Exp1,0.47034247913834326,0.20931741874032747,0.2412506856829402,0.15765384849402694,-2.7564237913489174,-2.2285044048841764,0.5279193864647409,0.0,0.0,Stage5 is used only as a late-state proxy label for evaluation.
