direction_id,dataset,group_type,group_value,state_region,count,rate,cycle_start,cycle_end
Exp2_to_Exp1,Exp2,stage,1,low_AWR_high_BD,8,0.01340033500837521,1.0,3000.0
Exp2_to_Exp1,Exp2,stage,1,high_AWR_high_BD,0,0.0,1.0,3000.0
Exp2_to_Exp1,Exp2,stage,1,high_AWR_low_BD,0,0.0,1.0,3000.0
Exp2_to_Exp1,Exp2,stage,2,low_AWR_low_BD,77,0.12833333333333333,2986.0,6000.0
Exp2_to_Exp1,Exp2,stage,2,low_AWR_high_BD,523,0.8716666666666667,2986.0,6000.0
Exp2_to_Exp1,Exp2,stage,2,high_AWR_high_BD,0,0.0,2986.0,6000.0
Exp2_to_Exp1,Exp2,stage,2,high_AWR_low_BD,0,0.0,2986.0,6000.0
Exp2_to_Exp1,Exp2,stage,3,low_AWR_low_BD,518,0.9592592592592593,5986.0,8700.0
Exp2_to_Exp1,Exp2,stage,3,low_AWR_high_BD,22,0.040740740740740744,5986.0,8700.0
Exp2_to_Exp1,Exp2,stage,3,high_AWR_high_BD,0,0.0,5986.0,8700.0
Exp2_to_Exp1,Exp2,stage,3,high_AWR_low_BD,0,0.0,5986.0,8700.0
Exp2_to_Exp1,Exp2,stage,4,low_AWR_low_BD,28,0.04666666666666667,8686.0,11700.0
Exp2_to_Exp1,Exp2,stage,4,low_AWR_high_BD,550,0.9166666666666666,8686.0,11700.0
Exp2_to_Exp1,Exp2,stage,4,high_AWR_high_BD,22,0.03666666666666667,8686.0,11700.0
Exp2_to_Exp1,Exp2,stage,4,high_AWR_low_BD,0,0.0,8686.0,11700.0
Exp2_to_Exp1,Exp2,stage,5,low_AWR_low_BD,0,0.0,11686.0,14100.0
Exp2_to_Exp1,Exp2,stage,5,low_AWR_high_BD,198,0.4125,11686.0,14100.0
Exp2_to_Exp1,Exp2,stage,5,high_AWR_high_BD,282,0.5875,11686.0,14100.0
Exp2_to_Exp1,Exp2,stage,5,high_AWR_low_BD,0,0.0,11686.0,14100.0
