protocol_id,output_name,horizon_cycles,model,prediction_count,MAE,RMSE,direction_accuracy
A_Exp1_to_Exp2,D_state,100,Frozen_Ridge,2778,5.8126322073513625,9.465725690785536,0.5028797696184305
A_Exp1_to_Exp2,D_state,100,Robust_Online_RLS,2778,6.630459644061762,10.488862938883589,0.4791216702663787
A_Exp1_to_Exp2,D_state,100,Safe_Ensemble,2778,5.819220762097886,9.46237611520585,0.5010799136069114
A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,2698,12.984037144375058,16.177210047908567,0.6334321719792438
A_Exp1_to_Exp2,D_state,500,Robust_Online_RLS,2698,20.928913924364693,35.1054184547675,0.5941438102297999
A_Exp1_to_Exp2,D_state,500,Safe_Ensemble,2698,13.15766011689341,16.327007635420795,0.6208302446256486
A_Exp1_to_Exp2,D_state,1000,Frozen_Ridge,2598,14.17449978872415,17.514132036696083,0.6732101616628176
A_Exp1_to_Exp2,D_state,1000,Robust_Online_RLS,2598,28.13520463657619,50.33525581222724,0.6443418013856813
A_Exp1_to_Exp2,D_state,1000,Safe_Ensemble,2598,14.17449978872415,17.514132036696083,0.6732101616628176
A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,2778,2.8947625380201267,4.293312401242128,0.652267818574514
A_Exp1_to_Exp2,V50_norm,100,Robust_Online_RLS,2778,2.239274543246881,3.575714517895385,0.7134629229661628
A_Exp1_to_Exp2,V50_norm,100,Safe_Ensemble,2778,1.9746255125429155,2.8908368052645383,0.714902807775378
A_Exp1_to_Exp2,V50_norm,500,Frozen_Ridge,2698,2.104691039969344,3.19714086147667,0.7194217939214232
A_Exp1_to_Exp2,V50_norm,500,Robust_Online_RLS,2698,2.6851883057098376,4.600037505138082,0.7045959970348407
A_Exp1_to_Exp2,V50_norm,500,Safe_Ensemble,2698,1.9546519949446088,2.879980235033412,0.7260934025203855
A_Exp1_to_Exp2,V50_norm,1000,Frozen_Ridge,2598,2.465794180671095,3.756248628643792,0.5973826020015397
A_Exp1_to_Exp2,V50_norm,1000,Robust_Online_RLS,2598,2.226198842273883,3.1975659533694087,0.6982294072363356
A_Exp1_to_Exp2,V50_norm,1000,Safe_Ensemble,2598,2.1684658884957333,3.177682213725616,0.6978444957659738
B_Exp2_to_Exp1,D_state,100,Frozen_Ridge,9076,3.700008037688662,4.05185983826828,0.4237549581313354
B_Exp2_to_Exp1,D_state,100,Robust_Online_RLS,9076,0.4663268504543428,0.944635901472078,0.4215513442044953
B_Exp2_to_Exp1,D_state,100,Safe_Ensemble,9076,0.4797832555809727,0.9609005667025048,0.4251873071837814
B_Exp2_to_Exp1,D_state,500,Frozen_Ridge,8996,7.957460531353706,8.340868049835363,0.450533570475767
B_Exp2_to_Exp1,D_state,500,Robust_Online_RLS,8996,2.4150948176268368,4.639154685974168,0.4493108048021342
B_Exp2_to_Exp1,D_state,500,Safe_Ensemble,8996,2.3882717841851187,4.27316849744274,0.4507558915073366
B_Exp2_to_Exp1,D_state,1000,Frozen_Ridge,8896,7.072218036664978,7.67453427196169,0.4462679856115107
B_Exp2_to_Exp1,D_state,1000,Robust_Online_RLS,8896,2.408370589481305,4.01749290290022,0.4648156474820143
B_Exp2_to_Exp1,D_state,1000,Safe_Ensemble,8896,2.7345858155863136,4.497198011656649,0.4676258992805755
B_Exp2_to_Exp1,V50_norm,100,Frozen_Ridge,9076,7.784724060232078,8.134467088786886,0.4038122520934332
B_Exp2_to_Exp1,V50_norm,100,Robust_Online_RLS,9076,1.344639906796558,3.529156526520483,0.4803878360511238
B_Exp2_to_Exp1,V50_norm,100,Safe_Ensemble,9076,1.4228502981185416,3.6409433134128975,0.4755398854120758
B_Exp2_to_Exp1,V50_norm,500,Frozen_Ridge,8996,3.082818433827505,3.241851915915781,0.4164072921298354
B_Exp2_to_Exp1,V50_norm,500,Robust_Online_RLS,8996,0.7218078229022153,1.6120183141770792,0.5053357047576701
B_Exp2_to_Exp1,V50_norm,500,Safe_Ensemble,8996,0.7684432926751624,1.67178983389525,0.4961093819475322
B_Exp2_to_Exp1,V50_norm,1000,Frozen_Ridge,8896,3.044353915528934,3.2086094346338827,0.4333408273381295
B_Exp2_to_Exp1,V50_norm,1000,Robust_Online_RLS,8896,0.8352865850956563,1.6872511404177997,0.5479991007194245
B_Exp2_to_Exp1,V50_norm,1000,Safe_Ensemble,8896,0.8569489531835225,1.7108751635828845,0.5318120503597122
