dataset,entry_cycle,window_id,window_index,center_cycle,elapsed_time_since_entry,progression_prior,progression_adapted,progression_score,target_local_score,elapsed_time_since_entry_score,local_distance,local_speed_1000,local_rate_divergence_100_1000,local_volatility_500,activity_score_local,activity_score,adapter_enabled,adapter_update_applied,adapter_update_reason,adapter_parameter_norm,target_pair_count,target_pair_latest_cycle,lambda_t,ood_ratio,state_uncertainty,source_frozen_hash,uncertainty_feature_config_dispersion,uncertainty_ood,uncertainty_target_pair_evidence,uncertainty_prior_adapted_disagreement,uncertainty_adapter_boundary,uncertainty_local_volatility_or_gate,direction,source_dataset,target_dataset
Exp2,0.0,0,0,10.5,10.5,0.8995376452573522,0.8995376452573522,0.8995376452573522,0.4410080154192977,0.0007451829246655548,1.4204445362793303,0.0,0.0,0.0,0.0,0.0,0,0,initialization_freeze,0.0,0,,0.0,2.315604798028651,0.3495393386323853,0623ca0ce86c94122a615dfe5804a2e9d0bd5674465c31ca73d29bee88b78d45,0.18943363277998598,0.9078023990143256,1.0,0.0,0.0,0.0,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,1,1,15.5,15.5,0.8995426304347162,0.8995426304347162,0.8995426304347162,0.4214568825968568,0.001100031936411057,1.3483867820088562,6.201697725174391,0.0,0.05168081437645326,0.9695333426077852,0.9695333426077852,0,0,initialization_freeze,0.0,0,,0.0,2.301778687267516,0.3501082898580749,0623ca0ce86c94122a615dfe5804a2e9d0bd5674465c31ca73d29bee88b78d45,0.18942423263940078,0.9008893436337579,1.0,0.0,0.0,0.010336162875290652,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,2,2,20.5,20.5,0.8995460115560091,0.8995460115560091,0.8995460115560091,0.4049303015641321,0.0014548809481565593,1.2885966512941422,5.659064311977985,0.0,0.07715796581717153,0.957259273051169,0.957259273051169,0,0,initialization_freeze,0.0,0,,0.0,2.288548671254105,0.34985396432107274,0623ca0ce86c94122a615dfe5804a2e9d0bd5674465c31ca73d29bee88b78d45,0.18941785713594944,0.8942743356270526,1.0,0.0,0.0,0.015431593163434306,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,3,3,25.5,25.5,0.8995445887195124,0.8995445887195124,0.8995445887195124,0.39226039742987273,0.0018097299599020616,1.243406078308965,5.110534733989276,0.0,0.09573784172747414,0.9396936769969956,0.9396936769969956,0,0,initialization_freeze,0.0,0,,0.0,2.2776396359360143,0.34956465439594653,0623ca0ce86c94122a615dfe5804a2e9d0bd5674465c31ca73d29bee88b78d45,0.18942054006217707,0.8888198179680071,1.0,0.0,0.0,0.019147568345494827,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,4,4,30.5,30.5,0.8995461528051248,0.8995461528051248,0.8995461528051248,0.38272580262562084,0.002164578971647564,1.2097480798575049,4.65309788332375,0.0,0.11021693349996455,0.9198069616149519,0.9198069616149519,0,0,initialization_freeze,0.0,0,,0.0,2.2716239542949817,0.34954549244025773,0623ca0ce86c94122a615dfe5804a2e9d0bd5674465c31ca73d29bee88b78d45,0.1894175907940626,0.8858119771474908,1.0,0.0,0.0,0.02204338669999291,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,5,5,35.5,35.5,0.8995549925194904,0.8995549925194904,0.8995549925194904,0.37609830254892435,0.002519427983393066,1.186521955386315,4.1022108602973635,0.0,0.11905612997453449,0.8868743697870051,0.8868743697870051,0,0,initialization_freeze,0.0,0,,0.0,2.2641869118126414,0.34921760072833874,0623ca0ce86c94122a615dfe5804a2e9d0bd5674465c31ca73d29bee88b78d45,0.1894009224688048,0.8820934559063207,1.0,0.0,0.0,0.0238112259949069,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,6,6,40.5,40.5,0.899566871394721,0.899566871394721,0.899566871394721,0.3717579781857395,0.0028742769951385686,1.171384372057689,3.641831592296522,0.0,0.12445622085688164,0.8497990938658221,0.8497990938658221,0,0,initialization_freeze,0.0,0,,0.0,2.2586507254457957,0.3489325217235227,0623ca0ce86c94122a615dfe5804a2e9d0bd5674465c31ca73d29bee88b78d45,0.18937852344686237,0.8793253627228979,1.0,0.0,0.0,0.02489124417137633,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,7,7,45.5,45.5,0.8995824260150305,0.8995824260150305,0.8995824260150305,0.3684948874960741,0.0032291260068840707,1.160041132591635,3.288947497860903,0.0,0.12817198157465046,0.8140905219124234,0.8140905219124234,0,0,initialization_freeze,0.0,0,,0.0,2.2550094776173815,0.34874805474952514,0623ca0ce86c94122a615dfe5804a2e9d0bd5674465c31ca73d29bee88b78d45,0.18934919337353012,0.8775047388086907,1.0,0.0,0.0,0.025634396314930093,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,8,8,50.5,50.5,0.8995935094704414,0.8995935094704414,0.8995935094704414,0.36719468000171873,0.0035839750186295732,1.1555301257034138,2.954834211067366,0.0,0.13005767411855512,0.7732245425944287,0.7732245425944287,0,0,initialization_freeze,0.0,0,,0.0,2.253258662216499,0.34866152669025735,0623ca0ce86c94122a615dfe5804a2e9d0bd5674465c31ca73d29bee88b78d45,0.18932829420958341,0.8766293311082496,1.0,0.0,0.0,0.026011534823711026,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,9,9,55.5,55.5,0.8995946819356545,0.8995946819356545,0.8995946819356545,0.3623943758955023,0.003938824030375075,1.1389185796135533,2.7847566387287683,0.0,0.1323339474540118,0.7497410838721118,0.7497410838721118,0,0,initialization_freeze,0.0,0,,0.0,2.246826584734022,0.3482010275409648,0623ca0ce86c94122a615dfe5804a2e9d0bd5674465c31ca73d29bee88b78d45,0.18932608338797563,0.873413292367011,1.0,0.0,0.0,0.02646678949080236,Exp1_to_Exp2,Exp1,Exp2
