direction,setting,seed,boundary_hit_rate_250,boundary_hit_rate_500,mean_absolute_detection_delay,median_absolute_detection_delay,candidate_event_count,unmatched_candidate_count,event_level_precision,event_level_f1,adapter_update_fraction,adapter_frozen_fraction,Top_4_event_recall,Top_8_event_recall
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3402,0.0,0.0,,,0,0,0.0,0.0,0.19302404334575007,0.03555706061632238,0.0,0.0
Exp2_to_Exp1,V35_HardAND_Current,3403,0.5,0.5,107.45945445813595,107.45945445813595,2,0,1.0,0.6666666666666666,0.9767441860465116,0.023255813953488372,0.5,0.5
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3403,0.5,0.75,92.56742169566496,92.56742169566496,4,2,0.5,0.5,0.9126312224856079,0.08736877751439215,0.75,0.75
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3403,0.5,0.75,107.45945445813595,107.45945445813595,4,2,0.5,0.5,0.8692854724009482,0.1307145275990518,0.75,0.75
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3403,0.0,0.0,,,1,1,0.0,0.0,0.18151032847951237,0.09199683937238966,0.25,0.25
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3403,0.0,0.0,,,1,1,0.0,0.0,0.18151032847951237,0.09199683937238966,0.25,0.25
Exp2_to_Exp1,V35_HardAND_Current,3404,0.75,0.75,75.47511742169748,77.47952684258053,4,1,0.75,0.75,0.9251140536330255,0.07488594636697452,0.75,0.75
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3404,0.25,0.25,148.1918819188195,148.1918819188195,3,2,0.3333333333333333,0.28571428571428575,0.8963765662038605,0.10362343379613952,0.25,0.25
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3404,0.25,0.25,148.1918819188195,148.1918819188195,3,2,0.3333333333333333,0.28571428571428575,0.853256575234225,0.14674342476577493,0.25,0.25
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3404,0.0,0.25,,,2,2,0.0,0.0,0.1878315837001919,0.06095496105655266,0.25,0.25
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3404,0.0,0.25,,,2,2,0.0,0.0,0.1878315837001919,0.06095496105655266,0.25,0.25
Exp2_to_Exp1,V35_HardAND_Current,3405,0.75,0.75,75.44221849818798,71.59763313609437,5,2,0.6,0.6666666666666665,0.8313118949593857,0.1686881050406142,0.5,0.75
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3405,0.0,0.25,,,3,3,0.0,0.0,0.9125183429280957,0.08748165707190428,0.25,0.25
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3405,0.0,0.25,,,3,3,0.0,0.0,0.866576363020657,0.13342363697934304,0.25,0.25
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3405,0.0,0.25,,,2,2,0.0,0.0,0.18963765662038604,0.05181171689806976,0.25,0.25
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3405,0.0,0.25,,,2,2,0.0,0.0,0.18963765662038604,0.05181171689806976,0.25,0.25
