direction,source_dataset,target_dataset,seed,event_id,dataset,setting,start_cycle,peak_cycle,end_cycle,peak_score,fast_score,slow_score,residual_persistent,adapter_frozen_fraction,event_status,emit_cycle,event_rank_score,residual_event_peak,residual_high_count,residual_high_fraction,slow_excess_area,event_duration,peak_slow_high,start_actual_cycle,peak_actual_cycle,end_actual_cycle
Exp1_to_Exp2,Exp1,Exp2,3401,1,Exp2,V35_HardAND_Current,1515.5,1540.5,1605.5,1.1478344288028408,10.188432041316988,1.9176300638034203,22.812251503437118,1.0,unmatched_candidate_event,1605.5,1.1478344288028408,,,,,,1,3021.301431424767,3062.904294274301,3171.0717376830894
Exp1_to_Exp2,Exp1,Exp2,3401,2,Exp2,V35_HardAND_Current,3030.5,3100.5,3100.5,2.4168442635717033,3.123573618754655,4.575199484622884,14.060005885636262,1.0,unmatched_candidate_event,3100.5,2.4168442635717033,,,,,,1,5542.5,5659.166666666667,5659.166666666667
Exp1_to_Exp2,Exp1,Exp2,3401,3,Exp2,V35_HardAND_Current,6920.5,6955.5,7000.5,1.1560435077469917,9.701381114018377,1.9035154741846267,14.584134549511823,1.0,unmatched_candidate_event,7000.5,1.1560435077469917,,,,,,1,12025.833333333334,12084.166666666666,12159.166666666666
Exp1_to_Exp2,Exp1,Exp2,3401,1,Exp2,V351_EventGate_CurrentAdapt,1505.5,1540.5,2435.5,5.125471529547619,,,,0.9390862944162437,unmatched_candidate_event,2545.5,5.125471529547619,16.66060275348056,42,0.2131979695431472,152.42370745581033,187,1,3004.6602862849536,3062.904294274301,4552.286784287617
Exp1_to_Exp2,Exp1,Exp2,3401,2,Exp2,V351_EventGate_CurrentAdapt,2700.5,3320.5,3650.5,3.7629153696474607,,,,0.9353233830845771,unmatched_candidate_event,3760.5,3.7629153696474607,9.604336303083095,20,0.09950248756218906,149.7036035963539,191,1,4993.277130492676,6025.833333333333,6575.833333333333
Exp1_to_Exp2,Exp1,Exp2,3401,3,Exp2,V351_EventGate_CurrentAdapt,6905.5,6950.5,7510.5,4.537867981935646,,,,0.9621212121212122,unmatched_candidate_event,7620.5,4.537867981935646,10.195734383832505,37,0.2803030303030303,130.9491365516493,122,1,12000.833333333334,12075.833333333334,13009.166666666666
Exp1_to_Exp2,Exp1,Exp2,3401,4,Exp2,V351_EventGate_CurrentAdapt,9630.5,9650.5,9985.5,2.0791731385486765,,,,0.8658536585365854,unmatched_candidate_event,10095.5,2.0791731385486765,5.910434614538585,18,0.21951219512195122,13.31544595687737,72,1,16542.5,16575.833333333332,17134.166666666668
Exp1_to_Exp2,Exp1,Exp2,3401,1,Exp2,V351_EventGate_WarningFreeze,1505.5,1540.5,2300.5,5.010484083347432,,,,0.9764705882352941,unmatched_candidate_event,2410.5,5.010484083347432,16.123773241691378,42,0.24705882352941178,141.04506973115906,160,1,3004.6602862849536,3062.904294274301,4327.631324900133
Exp1_to_Exp2,Exp1,Exp2,3401,2,Exp2,V351_EventGate_WarningFreeze,2705.5,3320.5,3385.5,3.6417816156355878,,,,0.9727891156462585,unmatched_candidate_event,3495.5,3.6417816156355878,8.45676953176059,19,0.1292517006802721,106.53930095764593,137,1,5001.597703062584,6025.833333333333,6134.166666666667
Exp1_to_Exp2,Exp1,Exp2,3401,3,Exp2,V351_EventGate_WarningFreeze,6905.5,6950.5,7515.5,5.428745505787081,,,,0.9699248120300752,unmatched_candidate_event,7625.5,5.428745505787081,12.215698334758148,39,0.2932330827067669,182.56401891438432,123,1,12000.833333333334,12075.833333333334,13017.5
Exp1_to_Exp2,Exp1,Exp2,3401,4,Exp2,V351_EventGate_WarningFreeze,8820.5,8840.5,8845.5,1.554180700118996,,,,1.0,unmatched_candidate_event,8955.5,1.554180700118996,5.004326722652886,2,0.125,0.28476015822812695,6,1,15192.5,15225.833333333334,15234.166666666666
Exp1_to_Exp2,Exp1,Exp2,3401,5,Exp2,V351_EventGate_WarningFreeze,9475.5,11095.5,11705.5,4.631727201589062,,,,0.9934354485776805,unmatched_candidate_event,11815.5,4.631727201589062,15.773003350539767,140,0.3063457330415755,342.2210713228375,447,1,16284.166666666666,18984.166666666668,20000.835073068894
