direction,setting,seed,dataset,from_stage,to_stage,boundary_actual_cycle,boundary_peak_score,boundary_score_percentile,boundary_event_rank
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3403,Exp2,1,2,5500.0,4.709455695646676,0.9750097618117922,3.0
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3403,Exp2,2,3,10500.0,0.8935204943984683,0.6122608356110895,
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3403,Exp2,3,4,15000.0,2.622630715196586,0.8660679422100742,
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3403,Exp2,4,5,20000.0,4.095141328880083,0.9468957438500586,
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3403,Exp2,1,2,5500.0,7.037034481173171,0.996876220226474,2.0
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3403,Exp2,2,3,10500.0,1.8417289716283336,0.6884029675907849,
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3403,Exp2,3,4,15000.0,5.901253172398197,0.9562670831706365,
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3403,Exp2,4,5,20000.0,5.076778896553117,0.9414291292463881,3.0
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3403,Exp2,1,2,5500.0,7.037034481173171,0.996876220226474,2.0
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3403,Exp2,2,3,10500.0,1.8417289716283336,0.6884029675907849,6.0
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3403,Exp2,3,4,15000.0,5.901253172398197,0.9562670831706365,
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3403,Exp2,4,5,20000.0,5.076778896553117,0.9414291292463881,4.0
Exp1_to_Exp2,V35_HardAND_Current,3404,Exp2,1,2,5500.0,0.47756572579630396,0.9642989959092599,
Exp1_to_Exp2,V35_HardAND_Current,3404,Exp2,2,3,10500.0,0.24826757609844208,0.5429527705466716,
Exp1_to_Exp2,V35_HardAND_Current,3404,Exp2,3,4,15000.0,0.25183501839637756,0.6876162142060246,
Exp1_to_Exp2,V35_HardAND_Current,3404,Exp2,4,5,20000.0,0.25836506485939026,0.8058757902566009,
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3404,Exp2,1,2,5500.0,1.6813133802199858,0.9937524404529481,
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3404,Exp2,2,3,10500.0,0.2468651384115219,0.5431472081218274,
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3404,Exp2,3,4,15000.0,0.2537897527217865,0.7629832096837172,
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3404,Exp2,4,5,20000.0,0.2588152289390564,0.8508395158141351,
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3404,Exp2,1,2,5500.0,1.5805249247783693,0.9937524404529481,
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3404,Exp2,2,3,10500.0,0.24714507162570953,0.5411948457633737,
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3404,Exp2,3,4,15000.0,0.2528051733970642,0.725107379929715,
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3404,Exp2,4,5,20000.0,0.25925540924072266,0.8606013276064037,
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3404,Exp2,1,2,5500.0,1.033930922074383,0.9953143303397111,
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3404,Exp2,2,3,10500.0,0.25300437211990356,0.537680593518157,
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3404,Exp2,3,4,15000.0,0.40681732569044826,0.9098008590394377,
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3404,Exp2,4,5,20000.0,0.2607475221157074,0.7520499804763764,
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3404,Exp2,1,2,5500.0,1.033930922074383,0.9953143303397111,2.0
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3404,Exp2,2,3,10500.0,0.25300437211990356,0.537680593518157,
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3404,Exp2,3,4,15000.0,0.40681732569044826,0.9098008590394377,
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3404,Exp2,4,5,20000.0,0.2607475221157074,0.7520499804763764,
Exp1_to_Exp2,V35_HardAND_Current,3405,Exp2,1,2,5500.0,0.9125858785784204,0.9698772777984381,
Exp1_to_Exp2,V35_HardAND_Current,3405,Exp2,2,3,10500.0,0.27579566836357117,0.7965786537746374,
Exp1_to_Exp2,V35_HardAND_Current,3405,Exp2,3,4,15000.0,0.2731005943515829,0.7292673856452213,
Exp1_to_Exp2,V35_HardAND_Current,3405,Exp2,4,5,20000.0,0.27510324120521545,0.7831907772406099,
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3405,Exp2,1,2,5500.0,2.6688474716460098,0.9679812573213589,2.0
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3405,Exp2,2,3,10500.0,0.40950631075707633,0.7297930495900039,
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3405,Exp2,3,4,15000.0,0.6568593237258746,0.8164779383053494,
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3405,Exp2,4,5,20000.0,0.3055980450925848,0.6899648574775479,
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3405,Exp2,1,2,5500.0,2.271959774542452,0.9644670050761421,
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3405,Exp2,2,3,10500.0,0.3394955670235136,0.7469738383443967,
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3405,Exp2,3,4,15000.0,0.6907721013468602,0.8527918781725888,
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3405,Exp2,4,5,20000.0,0.35471039385372105,0.7489262007028504,
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3405,Exp2,1,2,5500.0,2.764143732356181,0.996876220226474,2.0
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3405,Exp2,2,3,10500.0,0.8652838474970778,0.8535728231159703,
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3405,Exp2,3,4,15000.0,1.373771203714384,0.935572042171027,5.0
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3405,Exp2,4,5,20000.0,0.5711839765073596,0.7415072237407263,
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3405,Exp2,1,2,5500.0,2.764143732356181,0.996876220226474,2.0
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3405,Exp2,2,3,10500.0,0.8652838474970778,0.8535728231159703,
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3405,Exp2,3,4,15000.0,1.373771203714384,0.935572042171027,8.0
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3405,Exp2,4,5,20000.0,0.5711839765073596,0.7415072237407263,
Exp2_to_Exp1,V35_HardAND_Current,3401,Exp1,1,2,8000.0,2.7012197478124715,1.0,
Exp2_to_Exp1,V35_HardAND_Current,3401,Exp1,2,3,24000.0,1.0496356064509387,0.9796372538110604,3.0
Exp2_to_Exp1,V35_HardAND_Current,3401,Exp1,3,4,32000.0,1.6049339900876234,0.9967731167241571,1.0
Exp2_to_Exp1,V35_HardAND_Current,3401,Exp1,4,5,40000.0,0.1770552098751068,0.4704573272504729,
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3401,Exp1,1,2,8000.0,4.593823327578038,1.0,1.0
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3401,Exp1,2,3,24000.0,1.9377252097249182,0.9761824133649396,4.0
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3401,Exp1,3,4,32000.0,3.2841297614668394,0.9961620950445874,3.0
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3401,Exp1,4,5,40000.0,0.18265749514102936,0.5003950784512925,
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3401,Exp1,1,2,8000.0,4.909955393210045,1.0,1.0
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3401,Exp1,2,3,24000.0,1.9971547376743055,0.9759566542499153,4.0
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3401,Exp1,3,4,32000.0,3.444171381968136,0.998306806637318,2.0
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3401,Exp1,4,5,40000.0,0.18586811423301697,0.548594649508974,
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3401,Exp1,1,2,8000.0,0.6804420914714688,0.993227226549272,
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3401,Exp1,2,3,24000.0,0.2334231436252594,0.9160176092109719,
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3401,Exp1,3,4,32000.0,0.7654163762857081,0.9950332994694661,
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3401,Exp1,4,5,40000.0,0.21148426830768585,0.513376227565188,
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3401,Exp1,1,2,8000.0,0.6804420914714688,0.993227226549272,
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3401,Exp1,2,3,24000.0,0.2334231436252594,0.9160176092109719,
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3401,Exp1,3,4,32000.0,0.7654163762857081,0.9950332994694661,
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3401,Exp1,4,5,40000.0,0.21148426830768585,0.513376227565188,
Exp2_to_Exp1,V35_HardAND_Current,3402,Exp1,1,2,8000.0,1.5909577489087146,1.0,
Exp2_to_Exp1,V35_HardAND_Current,3402,Exp1,2,3,24000.0,0.33608670496664644,0.981862690553021,
Exp2_to_Exp1,V35_HardAND_Current,3402,Exp1,3,4,32000.0,0.9069033022930308,0.9949927673305886,1.0
Exp2_to_Exp1,V35_HardAND_Current,3402,Exp1,4,5,40000.0,0.18514001369476318,0.711694670079003,
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3402,Exp1,1,2,8000.0,0.6690838483954518,0.9995484817699515,2.0
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3402,Exp1,2,3,24000.0,0.42735382232905356,0.9887120442487866,
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3402,Exp1,3,4,32000.0,0.6941183369512403,1.0,1.0
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3402,Exp1,4,5,40000.0,0.18675477802753448,0.7518907325883283,
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3402,Exp1,1,2,8000.0,0.5910103455225225,0.9936787447793205,2.0
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3402,Exp1,2,3,24000.0,0.556339723724919,0.9926628287617113,3.0
