direction,setting,seed,tolerance_actual_cycles,boundary_hit_rate,mean_absolute_detection_delay,median_absolute_detection_delay,event_level_precision,event_level_recall,event_level_f1,candidate_event_count,unmatched_candidate_count
Exp1_to_Exp2,V35_HardAND_Current,3401,250.0,0.25,159.16666666666697,159.16666666666697,0.3333333333333333,0.25,0.28571428571428575,3,2
Exp1_to_Exp2,V35_HardAND_Current,3401,500.0,0.25,159.16666666666697,159.16666666666697,0.3333333333333333,0.25,0.28571428571428575,3,2
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3401,250.0,0.0,,,0.0,0.0,0.0,4,4
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3401,500.0,0.0,,,0.0,0.0,0.0,4,4
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3401,250.0,0.25,225.83333333333394,225.83333333333394,0.2,0.25,0.22222222222222224,5,4
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3401,500.0,0.25,225.83333333333394,225.83333333333394,0.2,0.25,0.22222222222222224,5,4
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3401,250.0,0.25,9.16666666666606,9.16666666666606,0.16666666666666666,0.25,0.2,6,5
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3401,500.0,0.25,9.16666666666606,9.16666666666606,0.16666666666666666,0.25,0.2,6,5
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3401,250.0,0.25,9.16666666666606,9.16666666666606,0.1,0.25,0.14285714285714288,10,9
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3401,500.0,0.25,9.16666666666606,9.16666666666606,0.1,0.25,0.14285714285714288,10,9
Exp1_to_Exp2,V35_HardAND_Current,3402,250.0,0.25,59.16666666666697,59.16666666666697,0.25,0.25,0.25,4,3
Exp1_to_Exp2,V35_HardAND_Current,3402,500.0,0.25,59.16666666666697,59.16666666666697,0.25,0.25,0.25,4,3
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3402,250.0,0.0,,,0.0,0.0,0.0,5,5
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3402,500.0,0.0,,,0.0,0.0,0.0,5,5
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3402,250.0,0.0,,,0.0,0.0,0.0,3,3
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3402,500.0,0.0,,,0.0,0.0,0.0,3,3
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3402,250.0,0.0,,,0.0,0.0,0.0,3,3
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3402,500.0,0.0,,,0.0,0.0,0.0,3,3
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3402,250.0,0.0,,,0.0,0.0,0.0,5,5
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3402,500.0,0.0,,,0.0,0.0,0.0,5,5
Exp1_to_Exp2,V35_HardAND_Current,3403,250.0,0.25,109.16666666666697,109.16666666666697,0.25,0.25,0.25,4,3
Exp1_to_Exp2,V35_HardAND_Current,3403,500.0,0.25,109.16666666666697,109.16666666666697,0.25,0.25,0.25,4,3
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3403,250.0,0.0,,,0.0,0.0,0.0,3,3
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3403,500.0,0.0,,,0.0,0.0,0.0,3,3
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3403,250.0,0.25,17.5,17.5,0.2,0.25,0.22222222222222224,5,4
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3403,500.0,0.25,17.5,17.5,0.2,0.25,0.22222222222222224,5,4
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3403,250.0,0.0,,,0.0,0.0,0.0,4,4
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3403,500.0,0.5,466.6666666666665,466.6666666666665,0.5,0.5,0.5,4,2
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3403,250.0,0.25,42.5,42.5,0.1,0.25,0.14285714285714288,10,9
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3403,500.0,0.75,325.27777777777766,457.5,0.3,0.75,0.4285714285714285,10,7
Exp1_to_Exp2,V35_HardAND_Current,3404,250.0,0.0,,,0.0,0.0,0.0,2,2
Exp1_to_Exp2,V35_HardAND_Current,3404,500.0,0.0,,,0.0,0.0,0.0,2,2
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3404,250.0,0.0,,,0.0,0.0,0.0,2,2
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3404,500.0,0.0,,,0.0,0.0,0.0,2,2
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3404,250.0,0.0,,,0.0,0.0,0.0,2,2
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3404,500.0,0.0,,,0.0,0.0,0.0,2,2
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3404,250.0,0.0,,,0.0,0.0,0.0,2,2
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3404,500.0,0.0,,,0.0,0.0,0.0,2,2
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3404,250.0,0.0,,,0.0,0.0,0.0,6,6
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3404,500.0,0.0,,,0.0,0.0,0.0,6,6
Exp1_to_Exp2,V35_HardAND_Current,3405,250.0,0.0,,,0.0,0.0,0.0,2,2
