direction,source_dataset,target_dataset,seed,event_id,dataset,setting,start_cycle,peak_cycle,end_cycle,emit_cycle,peak_score,event_rank_score,residual_event_peak,residual_high_count,residual_high_fraction,slow_excess_area,event_duration,peak_slow_high,adapter_frozen_fraction,event_start_window,event_end_window,event_emit_window,event_status
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,4540.5,4675.5,4780.5,4890.5,2.3641750860729562,0.6559782076235023,1.2275902107397818,0.0,0.0,20.62194931737391,49.0,1.0,1.0,906.0,954.0,976.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,4890.5,5270.5,5590.5,5700.5,3.178663711426273,1.2264839294237926,3.4898002359265625,0.0,0.0,76.12331386928251,141.0,1.0,1.0,976.0,1116.0,1138.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,5700.5,6360.5,6775.5,6885.5,6.680822982770023,3.9143211824612925,6.008716615760328,18.0,0.07964601769911504,398.5167965033461,216.0,1.0,1.0,1138.0,1353.0,1375.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,6900.5,6990.5,7530.5,7640.5,6.084670635838355,5.0852244541449005,18.998913408082306,43.0,0.31386861313868614,219.4616196900176,127.0,1.0,1.0,1378.0,1504.0,1526.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,8100.5,8110.5,8115.5,8225.5,3.6336963171525385,1.5452099338046632,3.9103009197043566,0.0,0.0,2.8708761731078427,4.0,1.0,0.7142857142857143,1618.0,1621.0,1643.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,8400.5,8710.5,12150.5,12260.5,9.166090019380778,6.427745840431157,12.327093025483627,192.0,0.25229960578186594,1191.358749023869,751.0,1.0,0.9947437582128777,1678.0,2428.0,2450.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,12605.5,13190.5,13875.5,13985.5,8.095757922148259,4.766211488966596,4.8704037922489976,17.0,0.06415094339622641,420.6437581636916,255.0,1.0,0.9849056603773585,2519.0,2773.0,2795.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,1505.5,1555.5,2005.5,2115.5,3.9673402801021664,2.7605617413947963,12.116613959196203,40.0,0.36036036036036034,64.11766860192785,101.0,1.0,0.963963963963964,299.0,399.0,421.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,2150.5,2190.5,2295.5,2405.5,1.9178764159430488,0.3433698580219069,2.138273056250109,0.0,0.0,6.879835664441945,30.0,1.0,1.0,428.0,457.0,479.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,2695.5,3320.5,4305.5,4415.5,7.100349721228493,4.896482188673006,11.637518257622954,38.0,0.11411411411411411,333.14993567082365,323.0,1.0,0.984984984984985,537.0,859.0,881.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,4540.5,4675.5,4780.5,4890.5,2.3641750860729562,0.6559782076235023,1.2275902107397818,0.0,0.0,20.62194931737391,49.0,1.0,1.0,906.0,954.0,976.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,4890.5,5270.5,5590.5,5700.5,3.178663711426273,1.2264839294237926,3.4898002359265625,0.0,0.0,76.12331386928251,141.0,1.0,1.0,976.0,1116.0,1138.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,5700.5,6360.5,6775.5,6885.5,6.680822982770023,3.9143211824612925,6.008716615760328,18.0,0.07964601769911504,398.5167965033461,216.0,1.0,1.0,1138.0,1353.0,1375.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,6900.5,6990.5,7530.5,7640.5,6.084670635838355,5.0852244541449005,18.998913408082306,43.0,0.31386861313868614,219.4616196900176,127.0,1.0,1.0,1378.0,1504.0,1526.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,8100.5,8110.5,8115.5,8225.5,3.6336963171525385,1.5452099338046632,3.9103009197043566,0.0,0.0,2.8708761731078427,4.0,1.0,0.7142857142857143,1618.0,1621.0,1643.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,8400.5,8710.5,12150.5,12260.5,9.166090019380778,6.427745840431157,12.327093025483627,192.0,0.25229960578186594,1191.358749023869,751.0,1.0,0.9947437582128777,1678.0,2428.0,2450.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,12605.5,13190.5,13875.5,13985.5,8.095757922148259,4.766211488966596,4.8704037922489976,17.0,0.06415094339622641,420.6437581636916,255.0,1.0,0.9849056603773585,2519.0,2773.0,2795.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3402,0.0,Exp2,V351_EventGate_CurrentAdapt,1510.5,1530.5,1800.5,1910.5,1.1572228208735476,2.6353886305454624,18.89998399905881,25.0,0.36231884057971014,41.89553749430329,59.0,1.0,0.9565217391304348,300.0,358.0,380.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3402,0.0,Exp2,V351_EventGate_CurrentAdapt,1930.5,2110.5,2435.5,2545.5,0.8899582717089126,1.1930249480935942,9.717102656002046,2.0,0.017857142857142856,23.691473665565375,102.0,1.0,0.9821428571428571,384.0,485.0,507.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3402,0.0,Exp2,V351_EventGate_CurrentAdapt,3015.5,3310.5,3425.5,3535.5,1.5265371212765433,2.217282378081823,7.748995667472627,18.0,0.1935483870967742,35.20911694326902,83.0,1.0,0.946236559139785,601.0,683.0,705.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3402,0.0,Exp2,V351_EventGate_CurrentAdapt,3610.5,3610.5,3635.5,3745.5,0.581169114872659,0.11683203465384051,0.802433878096032,0.0,0.0,0.34232130205613176,6.0,1.0,0.625,720.0,725.0,747.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3402,0.0,Exp2,V351_EventGate_CurrentAdapt,6930.5,7155.5,7195.5,7305.5,0.7840668237052747,0.9917987823466126,9.739500307179275,19.0,0.296875,17.479855967209495,54.0,1.0,0.984375,1384.0,1437.0,1459.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3402,0.0,Exp2,V351_EventGate_CurrentAdapt,10525.5,10530.5,10535.5,10645.5,0.6376732634533604,0.37459267081504777,6.418559687124169,9.0,0.6923076923076923,0.4276137528349018,3.0,1.0,0.8461538461538461,2103.0,2105.0,2127.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3402,0.0,Exp2,V351_EventGate_WarningFreeze,1515.5,1530.5,1800.5,1910.5,1.042932529337386,2.35545306035484,18.303743979153918,25.0,0.36764705882352944,30.08757084896713,58.0,1.0,0.9705882352941176,301.0,358.0,380.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3402,0.0,Exp2,V351_EventGate_WarningFreeze,2095.5,2110.5,2435.5,2545.5,0.8295885680064778,0.5942194184480194,3.678220378313077,0.0,0.0,14.578327766716576,69.0,1.0,1.0,417.0,485.0,507.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3402,0.0,Exp2,V351_EventGate_WarningFreeze,6930.5,7155.5,7195.5,7305.5,0.8290921247370394,1.114405269970097,10.096245609811595,20.0,0.3125,21.60430940353546,54.0,1.0,1.0,1384.0,1437.0,1459.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3402,0.0,Exp2,V351_EventGate_WarningFreeze,10520.5,10530.5,10545.5,10655.5,0.8282038614179881,0.8134991583911327,7.137994665390133,11.0,0.6875,2.0084662723461153,6.0,1.0,0.875,2102.0,2107.0,2129.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3402,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,3015.5,3315.5,3380.5,3490.5,1.1557656486555583,1.55465340989561,8.242192039563136,18.0,0.21428571428571427,14.864519507796556,74.0,1.0,0.9523809523809523,601.0,674.0,696.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3402,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,3600.5,3610.5,3640.5,3750.5,0.773187119782938,0.4858328188078762,1.2694898633168377,0.0,0.0,3.059362134768255,9.0,1.0,0.7368421052631579,718.0,726.0,748.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3402,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,3905.5,3910.5,3915.5,4025.5,0.862687610882308,0.6578258119299025,2.4093700418721165,0.0,0.0,1.2363592764832791,3.0,1.0,0.6923076923076923,779.0,781.0,803.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3402,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,9310.5,9310.5,9340.5,9450.5,0.866939455374401,0.6662284333900547,4.945907857561411,3.0,0.17647058823529413,3.8541601942215857,7.0,1.0,0.7058823529411765,1860.0,1866.0,1888.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3402,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,9910.5,10530.5,11090.5,11200.5,1.4349655884180275,1.983946047979834,7.181830306422767,52.0,0.21052631578947367,49.96161974158082,237.0,1.0,0.9838056680161943,1980.0,2216.0,2238.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3402,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,3015.5,3315.5,3380.5,3490.5,1.1557656486555583,1.55465340989561,8.242192039563136,18.0,0.21428571428571427,14.864519507796556,74.0,1.0,0.9523809523809523,601.0,674.0,696.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3402,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,3600.5,3610.5,3640.5,3750.5,0.773187119782938,0.4858328188078762,1.2694898633168377,0.0,0.0,3.059362134768255,9.0,1.0,0.7368421052631579,718.0,726.0,748.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3402,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,3905.5,3910.5,3915.5,4025.5,0.862687610882308,0.6578258119299025,2.4093700418721165,0.0,0.0,1.2363592764832791,3.0,1.0,0.6923076923076923,779.0,781.0,803.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3402,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,9310.5,9310.5,9340.5,9450.5,0.866939455374401,0.6662284333900547,4.945907857561411,3.0,0.17647058823529413,3.8541601942215857,7.0,1.0,0.7058823529411765,1860.0,1866.0,1888.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3402,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,9910.5,10530.5,11090.5,11200.5,1.4349655884180275,1.983946047979834,7.181830306422767,52.0,0.21052631578947367,49.96161974158082,237.0,1.0,0.9838056680161943,1980.0,2216.0,2238.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_CurrentAdapt,3005.5,3315.5,3640.5,3750.5,4.649759192494255,3.559441537271091,8.77832327552951,19.0,0.13768115942028986,186.3260006770185,128.0,1.0,0.8913043478260869,599.0,726.0,748.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_CurrentAdapt,6905.5,6930.5,7615.5,7725.5,4.814080962018323,3.754132173527176,9.232002855451007,36.0,0.23529411764705882,179.67271905326456,143.0,1.0,0.9477124183006536,1379.0,1521.0,1543.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_CurrentAdapt,8710.5,8740.5,8860.5,8970.5,2.1450882925815673,0.8854925958244984,3.393669229868655,0.0,0.0,15.382374188631683,31.0,1.0,0.8536585365853658,1740.0,1770.0,1792.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_CurrentAdapt,9910.5,10540.5,11165.5,11275.5,3.3449671920152695,2.1919145019542308,6.786486262778752,53.0,0.20229007633587787,95.2412436468766,252.0,1.0,0.9656488549618321,1980.0,2231.0,2253.0,CONFIRMED
