direction_id,source_dataset,target_dataset,source_early_median,source_early_IQR,target_calibration_median,target_calibration_IQR,alignment_scale,alignment_offset
Exp1_to_Exp2,Exp1,Exp2,0.5575566944428414,1.373059838704968,-0.016007729738995446,0.1163311517641028,2.0,0.5895721539208323
Exp2_to_Exp1,Exp2,Exp1,-4.730998150096025e-15,1e-09,-6.349489734142878e-14,1e-09,1.0,5.876389919133275e-14
