direction_id,source_dataset,target_dataset,model,watch_logit_threshold,high_logit_threshold,Stage5_AUROC,Stage5_AUPRC,Stage5_Recall_at_high,Stage4to5_Recall_at_watch,Stage1to2_FPR_at_high,Stage1to2_FPR_at_watch,Recall_at_10pct_Stage1to2_FPR,Risk_Stage_Spearman,soft_target_brier,first_WATCH_cycle,first_HIGH_cycle,lead_cycles_relative_to_Stage5,false_HIGH_episodes_per_1000_cycles,watch_occupancy,high_occupancy,update_episode_count,update_window_count,freeze_episode_count,frozen_window_count,rollback_count,ONLINE_ADAPTATION_NOT_EXERCISED,Stage5_risk_suppression_R2_minus_R5
Exp1_to_Exp2,Exp1,Exp2,R0,2.7524722983362437,3.482090206809838,0.9905692839823135,0.9429791129277372,0.9958333333333333,0.7222222222222222,0.0,0.03341687552213868,1.0,0.823689836135718,0.1527163947935838,3610.5,9310.5,2385.0,0.0,0.291089811856585,0.2232871849485268,0,0,0,0,0,True,0.00476687818827648
Exp1_to_Exp2,Exp1,Exp2,R1,0.669333581389965,1.626673595931775,0.9938213165026387,0.9556574176509446,0.9958333333333333,0.9666666666666667,0.0,0.28654970760233917,1.0,0.8207099989285559,0.11918287065142158,3015.5,9595.5,2100.0,0.0,0.49662761803336886,0.19488817891373802,5,128,0,0,0,False,0.00476687818827648
Exp1_to_Exp2,Exp1,Exp2,R2,0.669333581389965,1.626673595931775,0.9938213165026387,0.9556574176509446,1.0,1.0,0.45614035087719296,0.5989974937343359,1.0,0.8207099989285559,0.2287012938285509,10.5,2705.5,8990.0,0.6666666666666666,0.7916222932197373,0.5963791267305645,1,2,0,0,0,False,0.00476687818827648
Exp1_to_Exp2,Exp1,Exp2,R3,0.669333581389965,1.626673595931775,0.9808247753530167,0.8642386762978892,1.0,1.0,0.39097744360902253,0.5989974937343359,1.0,0.8192680272167308,0.22059101301636783,10.5,2710.5,8985.0,1.3333333333333333,0.7724529641462549,0.5605253816116436,1,28,0,0,0,False,0.00476687818827648
Exp1_to_Exp2,Exp1,Exp2,R4,0.669333581389965,1.626673595931775,0.9808399301098274,0.8642869722396523,1.0,1.0,0.39014202172096907,0.5989974937343359,1.0,0.8192478304405595,0.22054026277872923,10.5,2710.5,8985.0,1.3333333333333333,0.7724529641462549,0.5598154064607739,1,28,0,0,0,False,0.00476687818827648
Exp1_to_Exp2,Exp1,Exp2,R5,0.669333581389965,1.626673595931775,0.9808399301098274,0.8642869722396523,1.0,1.0,0.39014202172096907,0.5989974937343359,1.0,0.8192946476612198,0.2205487385999974,10.5,2710.5,8985.0,1.3333333333333333,0.7724529641462549,0.5598154064607739,1,28,4,251,0,False,0.00476687818827648
Exp1_to_Exp2,Exp1,Exp2,V1_B4_REF,1.3862845872780365,13.145233964976518,0.9969645913564399,0.9888418053088278,0.2833333333333333,0.5916666666666667,0.0,0.0,1.0,0.5439629664541413,0.09564040136819738,9640.5,12640.5,-945.0,0.0,0.2268370607028754,0.04827831025914093,0,0,0,0,0,True,0.00476687818827648
Exp2_to_Exp1,Exp2,Exp1,R0,2.8612423439593253,4.410593596894328,0.844310508667513,0.6189795031936461,0.0,0.1931850183047029,0.0,0.0,0.7185084129149614,0.7776992069371903,0.06032987602616791,34195.5,34530.5,60.0,0.0,0.07526055951727921,0.0009873834339001646,0,0,0,0,0,True,4.3076653355456074e-14
Exp2_to_Exp1,Exp2,Exp1,R1,-2.5487932307026457e-14,7.008007381220598,0.8321863926265448,0.4714815386626909,0.0,1.0,0.0,0.7777777777777778,0.3142337426102774,0.5772225048559717,0.14558255622599278,10.5,,,0.0,0.8970927043335162,0.0,0,0,0,0,0,True,4.3076653355456074e-14
Exp2_to_Exp1,Exp2,Exp1,R2,-2.5487932307026457e-14,7.008007381220598,0.8321863926265448,0.4714815386626909,0.0,1.0,0.0,1.0,0.3142337426102774,0.5772225048559717,0.14558255622599428,10.5,,,0.0,1.0,0.0,0,0,0,0,0,True,4.3076653355456074e-14
Exp2_to_Exp1,Exp2,Exp1,R3,-2.5487932307026457e-14,7.008007381220598,0.8254263268623863,0.4639989469151601,0.0,1.0,0.0,1.0,0.2760345611641655,0.5425143462609543,0.14558255622599484,10.5,,,0.0,1.0,0.0,0,0,0,0,0,True,4.3076653355456074e-14
Exp2_to_Exp1,Exp2,Exp1,R4,-2.5487932307026457e-14,7.008007381220598,0.8470327750323442,0.49148915772939156,0.0,1.0,0.0,1.0,0.33651659845384263,0.5792926068728459,0.14558255622599447,10.5,,,0.0,1.0,0.0,0,0,0,0,0,True,4.3076653355456074e-14
Exp2_to_Exp1,Exp2,Exp1,R5,-2.5487932307026457e-14,7.008007381220598,0.8470327750323442,0.49148915772939156,0.0,1.0,0.0,1.0,0.33651659845384263,0.5792926068728459,0.14558255622599447,10.5,,,0.0,1.0,0.0,0,0,7,411,0,True,4.3076653355456074e-14
Exp2_to_Exp1,Exp2,Exp1,V1_B4_REF,1.3862943611198868,34.790890420621785,0.8646717801955829,0.7836835913586246,0.0,0.5052098000563222,0.0,0.06467661691542288,0.7767166894042746,0.4511241985575868,0.14430783114578483,7620.5,,,0.0,0.24838178826110807,0.0,0,0,0,0,0,True,4.3076653355456074e-14
