direction,experiment_role,segment_id,start_index,end_index,start_cycle,end_cycle,window_count,descriptor_duration,descriptor_start_mean,descriptor_end_mean,descriptor_net_change,descriptor_overall_slope,descriptor_first_half_slope,descriptor_second_half_slope,descriptor_volatility_start,descriptor_volatility_end,descriptor_volatility_change,descriptor_prediction_error_mean,descriptor_prediction_error_trend,descriptor_entry_jump,descriptor_exit_jump,mean_innovation_energy,mean_activity_energy,mean_rx_mean,slope_rx_mean,mean_rx_q05,slope_rx_q05,mean_ry_mean,slope_ry_mean,mean_ry_q05,slope_ry_q05,mean_ry_p2p,slope_ry_p2p,mean_rs_rms,slope_rs_rms
Exp1_to_Exp2,source,0,0,9114,10.5,45580.5,9115,45570.0,0.09628834323827233,0.037366821977367536,-0.058921521260904774,-4.4640383672587856e-07,-1.7232039974031782e-06,-1.9543270106418557e-06,0.012941975712067037,0.024193616550751144,0.011251640838684107,1.1339511308582957,9.949031681129856e-05,0.0,0.0,1.1339511308582957,1.1339511308582957,0.150099441015398,2.724509529863129e-06,0.06285292413063154,1.881561645004923e-06,-0.05983261270965196,-6.3069682366810944e-06,-0.10903753216821463,-8.296795362615545e-06,0.10675602530112314,2.889872884201209e-06,0.17600779521476076,4.429396519872028e-06
Exp1_to_Exp2,target,0,0,2816,10.5,14090.5,2817,14080.0,0.03369981983184333,0.07457141507482877,0.04087159524298545,1.4841150071072867e-05,2.1691001220903058e-05,5.054214310955656e-05,0.034505531123087275,0.04660849049844427,0.012102959375356992,0.0013676313947803232,2.4276808856695303e-07,0.0,0.0,0.0013676313947803232,3.621329006937819,0.2108656684691553,3.297487652629812e-05,0.12973857244256776,2.629205728856125e-05,-0.20516349277248228,-1.5904029732077805e-05,-0.24940515962900234,-3.748616735578641e-05,0.09873630492592424,4.324161679192544e-05,0.3064557366214056,3.992854690751676e-05
Exp2_to_Exp1,source,0,0,2816,10.5,14090.5,2817,14080.0,0.03369981983184333,0.07457141507482877,0.04087159524298545,1.4841150071072867e-05,2.1691001220903058e-05,5.054214310955656e-05,0.034505531123087275,0.04660849049844427,0.012102959375356992,3.621329006937819,0.0008650537156719038,0.0,0.0,3.621329006937819,3.621329006937819,0.2108656684691553,3.297487652629812e-05,0.12973857244256776,2.629205728856125e-05,-0.20516349277248228,-1.5904029732077805e-05,-0.24940515962900234,-3.748616735578641e-05,0.09873630492592424,4.324161679192544e-05,0.3064557366214056,3.992854690751676e-05
Exp2_to_Exp1,target,0,0,9114,10.5,45580.5,9115,45570.0,0.09628834323827233,0.037366821977367536,-0.058921521260904774,-4.4640383672587856e-07,-1.7232039974031782e-06,-1.9543270106418557e-06,0.012941975712067037,0.024193616550751144,0.011251640838684107,0.0003450534418955854,2.912486324280244e-08,0.0,0.0,0.0003450534418955854,1.1339511308582957,0.150099441015398,2.724509529863129e-06,0.06285292413063154,1.881561645004923e-06,-0.05983261270965196,-6.3069682366810944e-06,-0.10903753216821463,-8.296795362615545e-06,0.10675602530112314,2.889872884201209e-06,0.17600779521476076,4.429396519872028e-06
