direction,entry_cycle,latest_entry_cycle,common_window_rank,center_cycle,common_arrived_windows,progression_increment_abs_difference,progression_score_abs_difference,uncertainty,latest_uncertainty,uncertainty_difference_to_latest,state_match_available,state_match_quality,latest_state_match_quality,state_match_quality_difference
Exp1_to_Exp2,0.0,9000.0,1,9000.5,200,0.0,0.6065306597126334,1.4593790851553492,1.7679076996719838,-0.3085286145166346,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,2,9005.5,200,0.0,0.6065306597126334,1.4593731591728993,1.7636733994439637,-0.3043002402710644,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,3,9010.5,200,0.25,0.6065306597126334,1.4599568866566428,1.7593206361305036,-0.2993637494738608,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,4,9015.5,200,0.0,0.6065306597126334,1.4592874466708083,1.7549071177991757,-0.2956196711283674,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,5,9020.5,200,0.0,0.6065306597126334,1.4589740782891152,1.7504932253817767,-0.29151914709266147,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,6,9025.5,200,0.0,0.6065306597126334,1.4588070001087137,1.7460766198888136,-0.2872696197800999,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,7,9030.5,200,0.0,0.6065306597126334,1.4587135419929014,1.741689666302408,-0.2829761243095066,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,8,9035.5,200,0.05702782908923992,0.5000875124821337,1.4586498830398844,1.7373353190742813,-0.2786854360343969,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,9,9040.5,200,0.0,0.5000875124821337,1.4586002636862907,1.733013267442949,-0.27441300375665834,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,10,9045.5,200,0.0,0.5000875124821337,1.4585525884554076,1.7287272399969753,-0.2701746515415677,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,11,9050.5,200,0.0,0.5000875124821337,1.458512378111887,1.7244773054625475,-0.2659649273506606,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,12,9055.5,200,0.0,0.3894685463253167,1.4584798991485675,1.7202630569849842,-0.2617831578364167,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,13,9060.5,200,0.0,0.3033184088598383,1.4584380043113658,1.7160813591285173,-0.2576433548171515,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,14,9065.5,200,0.0,0.23622461434001463,1.4584093890368377,1.7119326842544353,-0.25352329521759764,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,15,9070.5,200,0.04053602980691534,0.19158261736919213,1.4583845843401775,1.7078168556654512,-0.24943227132527368,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,16,9075.5,200,0.05243324909184968,0.1646297134017094,1.4583702631721491,1.7037316701471976,-0.2453614069750485,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,17,9080.5,200,0.03758789485247857,0.14767390608871933,1.4583648216921412,1.699675231344284,-0.2413104096521428,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,18,9085.5,200,0.03095918122077175,0.13502802648201873,1.4583341455752088,1.6956474966503223,-0.23731335107511353,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,19,9090.5,200,0.015963474562781244,0.12893663069963324,1.4583329776737857,1.6916524848626893,-0.2333195071889036,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,20,9095.5,200,0.014210465327981994,0.12374572860168864,1.4583126428042343,1.6876842867171864,-0.22937164391295206,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,21,9100.5,200,0.013794266123540101,0.11890682895477189,1.4582876450581637,1.6837434901586181,-0.22545584510045447,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,22,9105.5,200,0.011552210515320696,0.11500031909194053,1.4582533324379912,1.6798302039096564,-0.22157687147166527,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,23,9110.5,200,0.016980732930768808,0.1094898665909978,1.4582334120372957,1.6759462360837987,-0.21771282404650294,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,24,9115.5,200,0.016653632544506733,0.10434210506902486,1.4582225226495542,1.6720912479122274,-0.2138687252626732,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,25,9120.5,200,0.02622366144029939,0.09672234492401999,1.4581920429656425,1.6682647861825277,-0.21007274321688518,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,26,9125.5,200,0.01868862500438212,0.09163404445242951,1.4581671859219427,1.6644676499426252,-0.20630046402068247,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,27,9130.5,200,0.025178704400134602,0.08519936916965354,1.4581344636790745,1.6606985316859992,-0.20256406800692472,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,28,9135.5,200,0.033376868239374385,0.0773606845152246,1.4581158735316164,1.6569589719203612,-0.1988430983887448,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,29,9140.5,200,0.018257512631957337,0.07338237296571748,1.4580969244855526,1.653248038061538,-0.19515111357598536,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,30,9145.5,200,0.0,0.07338237296571748,1.458495993583983,1.6586146374683033,-0.20011864388432032,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,31,9150.5,200,0.0,0.07338237296571748,1.4747802660721039,1.6526988000673164,-0.1779185339952125,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,32,9155.5,200,0.0,0.07338237296571748,1.509903530035814,1.6480860323228077,-0.1381825022869938,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,33,9160.5,200,0.3,0.07338237296571748,1.5716141044586402,1.6435300753570088,-0.07191597089836854,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,34,9165.5,200,0.3,0.07338237296571748,1.5835708943882472,1.643520797749363,-0.05994990336111594,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,35,9170.5,200,0.3,0.07338237296571748,1.5355111261762693,1.64419530983181,-0.10868418365554078,True,0.0,0.0,0.0
