direction,dataset,entry_cycle,window_index,center_cycle,activity_score,progression_increment,relative_progression_score,cumulative_progression,progression_uncertainty,prediction_ensemble_uncertainty,adapter_support_uncertainty,primitive_match_uncertainty,private_state_support_uncertainty,change_point_uncertainty,entry_prior_uncertainty,ood_uncertainty,initial_progression_prior_mean,initial_progression_prior_std,initial_match_quality,trend_evidence,persistent_prediction_anomaly_evidence,bocpd_confirmed_transition_evidence,persistent_novel_segment_evidence,state_id_input_count,cycle_used_as_model_feature,rolling_z_used
Exp1_to_Exp2,Exp2,0.0,0,10.5,0.0012500000000000002,0.0,0.3934693402873666,0.5,1.7679076996719838,0.0,1.0,1.0,1.0,0.05475065807353418,0.35,0.0,0.5,0.35,0.0,0.0,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,1,15.5,1.3508822846729365,0.0,0.3934693402873666,0.5,1.7636771788173315,0.0,0.9921875,1.0,1.0,0.06017604111946443,0.35,0.0,0.5,0.35,0.0,0.0,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,2,20.5,1.2972128958313054,0.0,0.3934693402873666,0.5,1.7593261634032986,0.0,0.984375,1.0,1.0,0.06110980780832145,0.35,0.0,0.5,0.35,0.0,0.0,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,3,25.5,0.9865028306242413,0.0,0.3934693402873666,0.5,1.7549148973168376,0.0,0.9765625,1.0,1.0,0.059598493423207236,0.35,0.0,0.5,0.35,0.0,0.0,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,4,30.5,0.793590449246553,0.25,0.5276334472589853,0.75,1.7504904609093892,0.0,0.96875,1.0,1.0,0.056923556062194035,0.35,0.0,0.5,0.35,0.0,1.0,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,5,35.5,0.6798295927762331,0.25,0.6321205588285577,1.0,1.746077665083852,0.0,0.9609375,1.0,1.0,0.05372460887178888,0.35,0.0,0.5,0.35,0.0,1.0,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,6,40.5,0.5796430832777407,0.19137925832800048,0.6961980464101081,1.1913792583280005,1.741693351084848,0.0,0.953125,1.0,1.0,0.05048230965563666,0.35,0.0,0.5,0.35,0.0,0.7655170333120019,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,7,45.5,0.5933795764136237,0.16853049153593755,0.7433160583311087,1.359909749863938,1.737340797392839,0.0,0.9453125,1.0,1.0,0.04730035548847282,0.35,0.0,0.5,0.35,0.0,0.6741219661437502,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,8,50.5,0.38268023112981764,0.12768819391118288,0.7740853359635732,1.487597943775121,1.7330270791310045,0.0,0.9375,1.0,1.0,0.04445904858789238,0.35,0.0,0.5,0.35,0.0,0.5107527756447315,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,9,55.5,0.43398272512994546,0.09684178028375111,0.7949373473920319,1.5844397240588721,1.728738529311258,0.0,0.9296875,1.0,1.0,0.04144942784890393,0.35,0.0,0.5,0.35,0.0,0.38736712113500443,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,10,60.5,0.2968011797816186,0.0944212134268535,0.8134136113982201,1.6788609374857257,1.7244905075175185,0.0,0.921875,1.0,1.0,0.03891008729145357,0.35,0.0,0.5,0.35,0.0,0.377684853707414,0.0,0.0,0.0,0,False,False
