direction_id,source_dataset,target_dataset,ablation,Stage5_AUROC,Stage5_AUPRC,Stage45_AUROC,Stage45_AUPRC,Ordinal_MAE,ordinal_macro_F1,risk_stage_spearman,Stage5_recall,Stage1to2_false_high_rate,ECE,Brier,mean_posterior_entropy,mean_confidence,exact_Stage5_recall,LateState_recall,stable_stage5_detection_cycle,lead_lag_cycles,Stage1to2_false_alarm_rate,mean_boundary_MAE,missed_transition_count,extra_transition_count,early_false_transition_count,prototype_support_stage1,prototype_support_stage2,prototype_support_stage3,prototype_support_stage4,prototype_support_stage5,highest_discovered_stage
Exp1_to_Exp2,Exp1,Exp2,A0_V12_P1_STATIC,0.993975538439595,0.9565699895962615,0.4959861111111111,0.423790363963163,1.3855165069222577,0.07125409591897527,0.1925572071752024,0.0,0.02756892230576441,0.0384057126370651,0.1431848144626086,1.5888110614839828,0.2352928582249612,0.0,0.0,2745.5,8950.0,0.556390977443609,,4,0,0,,,,,,
Exp1_to_Exp2,Exp1,Exp2,A1_TPV2_STATIC_SOURCE,0.6169501497646556,0.2528339186199819,0.4959861111111111,0.423790363963163,1.3855165069222577,0.07125409591897527,0.1925572071752024,0.0,0.02756892230576441,0.0384057126370651,0.1431848144626086,1.5888110614839828,0.2352928582249612,0.0,0.0,,,0.0,,4,0,0,,,,,,
Exp1_to_Exp2,Exp1,Exp2,A2_TPV2_B3_REFERENCE,0.891423299101412,0.45356314986853263,0.7115,0.5686607667826015,1.3400780972665958,0.07161374374567667,0.718521641208909,0.0,0.0,0.17039363004881952,0.17039400926876447,0.04636600891698724,0.9925755783353657,0.0,0.0,,,0.0,,4,0,0,,,,,,
Exp1_to_Exp2,Exp1,Exp2,A3_ORDERED_LEVEL_ONLY,0.27100315575524175,0.11097662150591685,0.5017916666666666,0.4476050452038057,1.5814696485623003,0.11883379619517168,-0.7433698678322934,0.0,0.02756892230576441,0.16450768445107558,0.16478322087677835,1.4485766173475425,0.3462968096725611,0.0,0.0,,,0.0,3767.5,2,0,2,0.0,10.0,40.0,127.0,0.0,4.0
Exp1_to_Exp2,Exp1,Exp2,A4_ORDERED_LEVEL_TRAJECTORY,0.26851822136642417,0.1108240407722946,0.5021197916666666,0.44588874940279394,1.6013489527866525,0.11818529490670185,-0.8033621926437328,0.0,0.031746031746031744,0.1638627980238669,0.16485684738584502,1.3835805850608507,0.407512984404611,0.0,0.0,,,0.0,3767.5,2,0,2,0.0,10.0,40.0,114.0,0.0,4.0
Exp1_to_Exp2,Exp1,Exp2,A5_ROBUST_MEMORY_DISCOVERY,0.26364953287690773,0.10989340607776059,0.5002118055555556,0.44934316008226755,1.5804046858359957,0.13042234389681653,-0.7672136118936935,0.0,0.034252297410192145,0.16260879736751035,0.1650190656896316,1.39503457287679,0.3989704264446424,0.0,0.0,,,0.0,3767.5,2,0,2,0.0,10.0,40.0,147.0,0.0,4.0
Exp1_to_Exp2,Exp1,Exp2,A6_ANCHOR_FUSION,0.993975538439595,0.9565699895962615,0.5002118055555556,0.44934316008226755,1.5804046858359957,0.13042234389681653,-0.7672136118936935,0.0,0.034252297410192145,0.16260879736751035,0.1650190656896316,1.39503457287679,0.3989704264446424,0.0,0.0,2745.5,8950.0,0.556390977443609,3767.5,2,0,2,0.0,10.0,40.0,147.0,0.0,4.0
Exp2_to_Exp1,Exp2,Exp1,A0_V12_P1_STATIC,0.844310508667513,0.6189795031936461,0.6765333085775944,0.8151347787362534,1.691058694459682,0.09968350813387727,0.6711784087292288,0.001364256480218281,0.0,0.10771363888689928,0.1801995519534999,1.5743278930205182,0.2605984597041328,0.001364256480218281,0.001364256480218281,55.5,34535.0,0.007818052594171997,,4,0,0,,,,,,
Exp2_to_Exp1,Exp2,Exp1,A1_TPV2_STATIC_SOURCE,0.7717459773896911,0.6342171768242607,0.6765333085775944,0.8151347787362534,1.691058694459682,0.09968350813387727,0.6711784087292288,0.001364256480218281,0.0,0.10771363888689928,0.1801995519534999,1.5743278930205182,0.2605984597041328,0.001364256480218281,0.001364256480218281,,,0.0,,4,0,0,,,,,,
Exp2_to_Exp1,Exp2,Exp1,A2_TPV2_B3_REFERENCE,0.5905040305664991,0.5142437643954073,0.756887544365244,0.8508100568508783,1.3645639056500274,0.12111559431641812,-0.1842092216081439,0.3569804456571169,0.002606017531390666,0.2405190927322672,0.23993720073217423,0.07333517107977795,0.9810304409558015,0.0,0.3569804456571169,,,0.0,,4,0,0,,,,,,
