stage,support,level_radius,trajectory_radius,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14,level_15,level_16,trajectory_1,trajectory_2,trajectory_3,trajectory_4,trajectory_5,trajectory_6,trajectory_7,trajectory_8,trajectory_9,trajectory_10,trajectory_11,trajectory_12,trajectory_13,trajectory_14,trajectory_15,trajectory_16,trajectory_17,trajectory_18,trajectory_19,trajectory_20,trajectory_21,trajectory_22,trajectory_23,trajectory_24,trajectory_25,trajectory_26,trajectory_27,trajectory_28,trajectory_29,trajectory_30,trajectory_31,trajectory_32,trajectory_33,trajectory_34,trajectory_35,trajectory_36,trajectory_37,trajectory_38,trajectory_39,trajectory_40,trajectory_41,trajectory_42,trajectory_43,trajectory_44,trajectory_45,trajectory_46,trajectory_47,trajectory_48,direction_id,ablation
3,40,0.6017003059387207,0.8268149495124817,-0.29822606,-0.07908241,0.34305063,0.031292643,0.29190585,-0.3370736,-0.07686525,0.14977388,0.25560084,-0.02100463,-0.2083676,-0.20100762,-0.21350117,0.076199435,-0.27613053,0.42768905,-0.29822606,-0.07908241,0.34305063,0.031292643,0.29190585,-0.3370736,-0.07686525,0.14977388,0.25560084,-0.02100463,-0.2083676,-0.20100762,-0.21350117,0.076199435,-0.27613053,0.42768905,-0.009259202,-0.010547146,0.038738653,0.05433609,0.023963166,-0.023932666,-0.033365637,0.010133502,0.018787747,-0.018403215,-0.024430126,-0.013190026,-0.046086866,0.019435903,-0.050698504,0.060729027,-0.004101473,0.05372378,0.14397977,0.09751034,0.018215401,-0.053186636,-0.06299076,0.059748482,0.013128187,-0.060879927,-0.030064568,-0.13697512,-0.12794922,0.08046276,-0.16227916,0.1580775,Exp1_to_Exp2,A5_ROBUST_MEMORY_DISCOVERY
4,147,7.437530484821764e-07,7.507860004807299e-07,-0.28182027,-0.29397765,-0.23286828,-0.3587491,0.21904422,-0.124327004,0.17509775,-0.08921992,0.20308827,0.22251509,-0.0881094,0.3468932,0.29829565,-0.24565136,0.3729859,-0.20462087,-0.28182027,-0.29397765,-0.23286828,-0.3587491,0.21904422,-0.124327004,0.17509775,-0.08921992,0.20308827,0.22251509,-0.0881094,0.3468932,0.29829565,-0.24565136,0.3729859,-0.20462087,2.0861626e-09,-1.2772424e-09,1.0696378e-08,-5.843593e-10,-1.4822734e-08,1.884055e-09,-8.251718e-09,-4.130213e-09,8.195639e-09,-3.649264e-09,-7.880422e-10,1.1037897e-09,-1.4467147e-10,5.4637592e-09,1.3878532e-08,-9.710869e-09,-1.3898198e-08,-7.604201e-09,1.607957e-08,-1.426707e-09,-1.1708055e-08,-5.3367923e-09,-2.5323104e-08,7.910764e-09,1.7550256e-08,-6.8096706e-09,-5.4259663e-09,5.0831064e-09,-1.0871766e-08,3.736932e-08,3.497634e-08,5.1326223e-09,Exp1_to_Exp2,A5_ROBUST_MEMORY_DISCOVERY
1,0,6.300764653133228e-06,6.301920620899182e-06,-0.28181976,-0.29397604,-0.23286736,-0.35874438,0.21904315,-0.124328226,0.17509586,-0.08922008,0.20309019,0.22251673,-0.08810979,0.34689328,0.2982971,-0.24565147,0.37298587,-0.20462038,-0.28181976,-0.29397604,-0.23286736,-0.35874438,0.21904315,-0.124328226,0.17509586,-0.08922008,0.20309019,0.22251673,-0.08810979,0.34689328,0.2982971,-0.24565147,0.37298587,-0.20462038,-5.3570876e-10,-1.5366382e-09,-1.0925638e-09,1.959566e-09,-2.6080555e-09,2.653873e-09,-1.0643687e-09,-2.4142137e-09,-3.0098373e-09,3.1014716e-10,1.9877613e-09,-1.4097598e-11,3.0027885e-09,3.334082e-09,1.085515e-09,-4.8284274e-09,1.085515e-09,-4.3350115e-09,-2.9851663e-09,2.6362508e-09,-3.915608e-09,5.4310996e-09,-1.7762973e-09,-4.386115e-09,-6.097211e-09,1.5507358e-09,4.2116572e-09,1.5507358e-10,2.1216886e-09,4.324438e-09,2.0652982e-09,-7.0875674e-09,Exp1_to_Exp2,A6_ANCHOR_FUSION
2,10,1.3903860462960438e-07,1.6128853985719616e-07,-0.28182015,-0.29397744,-0.23286861,-0.35874867,0.21904422,-0.12432698,0.17509791,-0.089220054,0.20308805,0.22251509,-0.088109314,0.34689292,0.29829583,-0.24565169,0.3729861,-0.20462106,-0.28182015,-0.29397744,-0.23286861,-0.35874867,0.21904422,-0.12432698,0.17509791,-0.089220054,0.20308805,0.22251509,-0.088109314,0.34689292,0.29829583,-0.24565169,0.3729861,-0.20462106,-9.313226e-09,4.3047798e-08,-5.7742e-08,3.8080746e-08,3.6188535e-08,3.290673e-08,6.953875e-08,2.7939677e-08,-2.341611e-08,-1.4901161e-08,7.916242e-09,4.683222e-08,3.7252903e-09,5.5879354e-09,-2.4835268e-08,1.6142925e-08,3.259629e-08,1.9557774e-08,-6.6589564e-08,2.7939677e-08,-3.3527613e-08,5.7742e-08,4.0978193e-08,-3.432589e-08,-6.3329935e-08,1.6497713e-08,9.080395e-09,2.514571e-08,2.566311e-08,-3.1664968e-08,-3.7252903e-08,-8.408512e-08,Exp1_to_Exp2,A6_ANCHOR_FUSION
3,40,0.6017003059387207,0.8268149495124817,-0.29822606,-0.07908241,0.34305063,0.031292643,0.29190585,-0.3370736,-0.07686525,0.14977388,0.25560084,-0.02100463,-0.2083676,-0.20100762,-0.21350117,0.076199435,-0.27613053,0.42768905,-0.29822606,-0.07908241,0.34305063,0.031292643,0.29190585,-0.3370736,-0.07686525,0.14977388,0.25560084,-0.02100463,-0.2083676,-0.20100762,-0.21350117,0.076199435,-0.27613053,0.42768905,-0.009259202,-0.010547146,0.038738653,0.05433609,0.023963166,-0.023932666,-0.033365637,0.010133502,0.018787747,-0.018403215,-0.024430126,-0.013190026,-0.046086866,0.019435903,-0.050698504,0.060729027,-0.004101473,0.05372378,0.14397977,0.09751034,0.018215401,-0.053186636,-0.06299076,0.059748482,0.013128187,-0.060879927,-0.030064568,-0.13697512,-0.12794922,0.08046276,-0.16227916,0.1580775,Exp1_to_Exp2,A6_ANCHOR_FUSION
4,147,7.437530484821764e-07,7.507860004807299e-07,-0.28182027,-0.29397765,-0.23286828,-0.3587491,0.21904422,-0.124327004,0.17509775,-0.08921992,0.20308827,0.22251509,-0.0881094,0.3468932,0.29829565,-0.24565136,0.3729859,-0.20462087,-0.28182027,-0.29397765,-0.23286828,-0.3587491,0.21904422,-0.124327004,0.17509775,-0.08921992,0.20308827,0.22251509,-0.0881094,0.3468932,0.29829565,-0.24565136,0.3729859,-0.20462087,2.0861626e-09,-1.2772424e-09,1.0696378e-08,-5.843593e-10,-1.4822734e-08,1.884055e-09,-8.251718e-09,-4.130213e-09,8.195639e-09,-3.649264e-09,-7.880422e-10,1.1037897e-09,-1.4467147e-10,5.4637592e-09,1.3878532e-08,-9.710869e-09,-1.3898198e-08,-7.604201e-09,1.607957e-08,-1.426707e-09,-1.1708055e-08,-5.3367923e-09,-2.5323104e-08,7.910764e-09,1.7550256e-08,-6.8096706e-09,-5.4259663e-09,5.0831064e-09,-1.0871766e-08,3.736932e-08,3.497634e-08,5.1326223e-09,Exp1_to_Exp2,A6_ANCHOR_FUSION
1,0,0.3635112941265106,0.3888874053955078,-0.07932129,-0.35360298,-0.21997292,-0.39869213,-0.11754641,-0.4341432,-0.19370937,0.3495677,0.067234084,-0.3895208,0.128399,-0.24124637,-0.04196191,-0.17511398,0.05151177,0.032787133,-0.07932129,-0.35360298,-0.21997292,-0.39869213,-0.11754641,-0.4341432,-0.19370937,0.3495677,0.067234084,-0.3895208,0.128399,-0.24124637,-0.04196191,-0.17511398,0.05151177,0.032787133,0.0008734327,0.001988211,0.0010229726,-0.0013063693,-0.0003029735,8.122573e-05,0.00072189927,0.0002322163,0.00037362293,0.00043150008,-0.0011342942,-0.0010073592,0.0017051708,0.0001065324,-0.0012690126,-0.00046233772,0.00037378227,0.00083944097,0.0015535675,-0.0017884647,-0.00012633063,0.0011901094,-0.0015361062,0.0006492806,0.0016375617,0.0030186812,-0.0022401297,-0.0004533683,0.003662443,-0.0007187424,-0.002339347,-0.0023170626,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2,0,1.0898007154464722,1.1163052320480347,0.10229,-0.17643018,-0.20667975,-0.3247885,0.052343454,-0.24891748,-0.2604678,0.32499728,0.034371696,-0.20279343,-0.11271569,-0.07306863,0.120864235,0.06366907,-0.097558945,-0.095319964,0.10229,-0.17643018,-0.20667975,-0.3247885,0.052343454,-0.24891748,-0.2604678,0.32499728,0.034371696,-0.20279343,-0.11271569,-0.07306863,0.120864235,0.06366907,-0.097558945,-0.095319964,-0.0014684328,-0.0001739134,0.0036139581,-0.001319097,-0.0035352698,-0.001492344,-0.0023955733,0.0006823077,-0.0032191598,0.0017678128,0.0030035065,-0.003093966,-0.0020330676,-0.00014263262,0.003598974,0.0017930443,-0.0029568837,0.0021434485,0.007329561,-0.002221367,-0.0045118365,0.0024537297,-0.00071013207,-0.00026810463,-0.0022440373,0.0040616686,0.0037576917,-0.0076984735,-0.00012911267,-0.0009749014,0.0062023443,0.0038896147,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
3,0,0.7912195920944214,0.8432603478431702,-0.01003097,-0.31482923,-0.25067785,-0.40883738,-0.08270586,-0.38407087,-0.25188136,0.35701087,0.061535753,-0.3467604,0.01444641,-0.19053918,0.0100448495,-0.11966672,0.0048228838,0.0142089315,-0.01003097,-0.31482923,-0.25067785,-0.40883738,-0.08270586,-0.38407087,-0.25188136,0.35701087,0.061535753,-0.3467604,0.01444641,-0.19053918,0.0100448495,-0.11966672,0.0048228838,0.0142089315,-0.0019160021,0.0021742457,-0.0017208208,-0.0019043807,-0.0026246195,-0.0012473185,0.0026015379,-0.00031178887,-0.0010551244,-0.0022566565,0.002994094,-0.0030768164,-0.0019786563,-0.00034157917,-0.00024689274,0.0012352237,-0.0019523927,-0.0015373972,-0.005164491,-0.0012325336,-0.0020607086,-0.0012609217,-0.00056568725,0.0013723479,0.0021790657,-0.001748412,0.0010543115,-0.0087639615,-0.0012089827,-0.0049120737,0.0038807204,0.002233715,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
4,0,0.9797643423080444,1.052718997001648,0.28137952,0.094381735,-0.13614075,-0.077906944,0.19286406,0.20825669,-0.29523572,0.09838491,-0.012413431,0.20799835,-0.4199272,0.20234655,0.22820225,0.24537458,-0.19221173,-0.25283712,0.28137952,0.094381735,-0.13614075,-0.077906944,0.19286406,0.20825669,-0.29523572,0.09838491,-0.012413431,0.20799835,-0.4199272,0.20234655,0.22820225,0.24537458,-0.19221173,-0.25283712,-0.00058736413,-0.0025243242,0.0008871959,-0.0032161088,-0.0027413263,-0.002297289,0.004988244,0.0005585225,-0.002968766,-0.004173582,0.004827243,-0.0063149417,0.0018597705,0.00060069596,-0.0010633421,0.0017727462,0.0011037943,0.003401476,0.0066665453,-0.0040740883,-0.0012502582,0.003415704,0.008742425,-0.001880961,-0.0035550655,-0.0016521339,0.005203314,-0.0064523946,0.0055310866,0.004743133,-0.00019797607,0.002638208,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
