direction_id,snapshot_fraction,Stage5_AUROC,Stage5_AUPRC,Stage45_AUROC,Stage45_AUPRC,Ordinal_MAE,ordinal_macro_F1,risk_stage_spearman,Stage5_recall,Stage1to2_false_high_rate,ECE,Brier,mean_posterior_entropy,mean_confidence,exact_Stage5_recall,LateState_recall,stable_stage5_detection_cycle,lead_lag_cycles,Stage1to2_false_alarm_rate,mean_boundary_MAE,missed_transition_count,extra_transition_count,early_false_transition_count,support_stage1,support_stage2,support_stage3,support_stage4,support_stage5
Exp1_to_Exp2,0.0,0.993975538439595,0.9565699895962615,0.5006475694444444,0.4383273146529343,1.3855165069222577,0.07125409591897527,0.2179426455057591,0.0,0.02756892230576441,0.03840571435777276,0.14318481434233557,1.588811054083495,0.23529285527459462,0.0,0.0,2745.5,8950.0,0.556390977443609,,4,0,0,0,0,0,0,0
Exp1_to_Exp2,0.1,0.993975538439595,0.9565699895962615,0.4996423611111111,0.46510618573442114,1.6279730209442669,0.08496634255796559,-0.6310634525830693,0.0,0.02756892230576441,0.051849954888819084,0.14437931517369065,1.5689605057678542,0.2792462177857323,0.0,0.0,2745.5,8950.0,0.556390977443609,,4,0,0,0,10,0,0,0
Exp1_to_Exp2,0.2,0.993975538439595,0.9565699895962615,0.4996423611111111,0.46510618573442114,1.6279730209442669,0.08496634255796559,-0.6310634525830693,0.0,0.02756892230576441,0.051849954888819084,0.14437931517369065,1.5689605057678542,0.2792462177857323,0.0,0.0,2745.5,8950.0,0.556390977443609,,4,0,0,0,10,0,0,0
Exp1_to_Exp2,0.30000000000000004,0.993975538439595,0.9565699895962615,0.4988263888888889,0.4501675758173195,1.635427760028399,0.07947429454967143,-0.6296845916663085,0.0,0.0,0.09135893252308916,0.1491517330951728,1.4270601797749478,0.41695063475785255,0.0,0.0,2745.5,8950.0,0.556390977443609,,4,0,0,0,10,40,0,0
Exp1_to_Exp2,0.4,0.993975538439595,0.9565699895962615,0.5001944444444445,0.44670222664003206,1.7231096911608095,0.14547484420898918,-0.5820906466797681,0.1125,0.4143692564745196,0.10315155803257396,0.15139774685935964,1.4625318078204919,0.36774474195808804,0.0,0.1125,2745.5,8950.0,0.556390977443609,,4,0,0,0,10,40,49,0
Exp1_to_Exp2,0.5,0.993975538439595,0.9565699895962615,0.5014670138888889,0.4488314412607282,1.7625133120340788,0.1358672596858687,-0.6392177246945383,0.020833333333333332,0.341687552213868,0.1348371973461276,0.15975050417512707,1.297084731090082,0.4454271255272675,0.0,0.020833333333333332,2745.5,8950.0,0.556390977443609,,4,0,0,0,10,40,82,0
Exp1_to_Exp2,0.6000000000000001,0.993975538439595,0.9565699895962615,0.5002118055555556,0.44934316008226755,1.612708555200568,0.12921815889029004,-0.6197436332986347,0.0,0.07101086048454469,0.1348371973461276,0.15975050417512707,1.290210145308098,0.46128027563456847,0.0,0.0,2745.5,8950.0,0.556390977443609,,4,0,0,0,10,40,147,0
Exp1_to_Exp2,0.7000000000000001,0.993975538439595,0.9565699895962615,0.5002118055555556,0.44934316008226755,1.612708555200568,0.12921815889029004,-0.6197436332986347,0.0,0.07101086048454469,0.1348371973461276,0.15975050417512707,1.290210145308098,0.46128027563456847,0.0,0.0,2745.5,8950.0,0.556390977443609,,4,0,0,0,10,40,147,0
Exp1_to_Exp2,0.8,0.993975538439595,0.9565699895962615,0.5002118055555556,0.44934316008226755,1.612708555200568,0.12921815889029004,-0.6197436332986347,0.0,0.07101086048454469,0.1348371973461276,0.15975050417512707,1.290210145308098,0.46128027563456847,0.0,0.0,2745.5,8950.0,0.556390977443609,,4,0,0,0,10,40,147,0
Exp1_to_Exp2,0.9,0.993975538439595,0.9565699895962615,0.5002118055555556,0.44934316008226755,1.612708555200568,0.12921815889029004,-0.6197436332986347,0.0,0.07101086048454469,0.1348371973461276,0.15975050417512707,1.290210145308098,0.46128027563456847,0.0,0.0,2745.5,8950.0,0.556390977443609,,4,0,0,0,10,40,147,0
Exp1_to_Exp2,1.0,0.993975538439595,0.9565699895962615,0.5002118055555556,0.44934316008226755,1.612708555200568,0.12921815889029004,-0.6197436332986347,0.0,0.07101086048454469,0.1348371973461276,0.15975050417512707,1.290210145308098,0.46128027563456847,0.0,0.0,2745.5,8950.0,0.556390977443609,,4,0,0,0,10,40,147,0
Exp2_to_Exp1,0.0,0.844310508667513,0.6189795031936461,0.6765333085775944,0.8151347787362534,1.691058694459682,0.09968350813387727,0.6711783798439578,0.001364256480218281,0.0,0.10771363984164004,0.180199552238,1.5743278888964596,0.26059845783682783,0.001364256480218281,0.001364256480218281,55.5,34535.0,0.007818052594171997,,4,0,0,0,0,0,0,0
Exp2_to_Exp1,0.1,0.8436850600633181,0.6238933473222011,0.7026617128280471,0.8230762360398584,1.1770707624794294,0.22444603330063512,0.20708717071785143,0.39063210550250116,0.009713338071547027,0.23607672998844678,0.22776608918573735,1.3401984952788752,0.40377383316077736,0.0,0.39063210550250116,,,0.0,,4,0,0,0,0,0,0,300
Exp2_to_Exp1,0.2,0.844134223164165,0.6241738548901844,0.6765380175496662,0.8151363180334412,1.1724629731212288,0.22451921251226253,0.5377572148387467,0.39063210550250116,0.004975124378109453,0.21758186510356936,0.22435950070708058,1.3295372506136174,0.40884015625131154,0.0,0.39063210550250116,,,0.0,,4,0,0,0,0,0,0,300
