row_type,primitive_id,selected_k,calibration_rows,descriptor_columns,centre,shared_not_state_centre
shared_dynamic_primitive,0,2,448,shared_z0|shared_z1|shared_z2|shared_z3|shared_z4|shared_z5|forecast_mae|forecast_activity,"[-0.11569798,-0.08260253,-0.26278692,-0.03414758, 0.10407598,-0.11480757,
  0.88196732, 0.83987902]",True
shared_dynamic_primitive,1,2,448,shared_z0|shared_z1|shared_z2|shared_z3|shared_z4|shared_z5|forecast_mae|forecast_activity,"[ 64.4605003 , 61.08937261, 42.67974606, 37.72092332,-17.3482772 ,
  32.10038577, 42.14191576, 27.0103221 ]",True
