dataset,scaler_mode,slow_mae,fast_mae,state_switches,transition_fraction,state_agreement_with_frozen
Exp1,frozen_descriptor_scaler,0.003904853377354226,0.023399250186690812,60,0.07624794295117937,1.0
Exp1,rolling_descriptor_scaler_v33,0.0041510645067301104,0.022218175215321927,63,0.08623148656061437,0.9541415249588591
Exp2,frozen_descriptor_scaler,0.03591580988767327,0.10058493035628031,87,0.4518991835285765,1.0
Exp2,rolling_descriptor_scaler_v33,0.031179771192610017,0.10151996414032335,69,0.5118920837770679,0.8931487397941072
