dataset,model,horizon,n,mae,stable_n,stable_mae
Exp1,Persistence,20,9095,0.0015963042067056528,8210,0.0015906486788101859
Exp1,RBF_Ridge,20,9011,0.0023201256167832227,8126,0.0022423696322386184
Exp1,Ridge,20,9011,0.009082462792322686,8126,0.004919929220813577
Exp1,Persistence,100,9015,0.004712567829480694,8130,0.004590231491994457
Exp1,RBF_Ridge,100,8851,0.006845905736476605,7966,0.006719850250931676
Exp1,Ridge,100,8851,0.019185100439867007,7966,0.014584508664590575
Exp1,Persistence,300,8815,0.009884935666235392,7930,0.009718995136015644
Exp1,RBF_Ridge,300,8451,0.015998836689608976,7566,0.016008666124707225
Exp1,Ridge,300,8451,0.04909498006761887,7566,0.045567828485562914
Exp2,Persistence,20,2797,0.015591154344322981,1270,0.020985222176643087
Exp2,RBF_Ridge,20,2713,0.022162225515762444,1201,0.025298688397341583
Exp2,Ridge,20,2713,0.053678370751922104,1201,0.041350917666329805
Exp2,Persistence,100,2717,0.034719833419081095,1190,0.0320276448535797
Exp2,RBF_Ridge,100,2553,0.04429545421202443,1082,0.03934484889176901
Exp2,Ridge,100,2553,0.07458348645949328,1082,0.06140040322414228
Exp2,Persistence,300,2517,0.045521320102942534,1055,0.04742146258586553
Exp2,RBF_Ridge,300,2153,0.06898454097843877,838,0.07463131820200712
Exp2,Ridge,300,2153,0.12377311259393191,838,0.10320630801940393
