direction,setting,seed,tolerance_actual_cycles,boundary_hit_rate,mean_absolute_detection_delay,median_absolute_detection_delay,event_level_precision,event_level_recall,event_level_f1,candidate_event_count,unmatched_candidate_count
Exp1_to_Exp2,OnlineAdaptation,3403,100.0,1.0,36.29827766179551,21.66666666666697,0.19047619047619047,1.0,0.32,21,17
Exp1_to_Exp2,OnlineAdaptation,3403,250.0,1.0,36.29827766179551,21.66666666666697,0.19047619047619047,1.0,0.32,21,17
Exp1_to_Exp2,OnlineAdaptation,3403,500.0,1.0,36.29827766179551,21.66666666666697,0.19047619047619047,1.0,0.32,21,17
Exp1_to_Exp2,OnlineAdaptation,3403,1000.0,1.0,36.29827766179551,21.66666666666697,0.19047619047619047,1.0,0.32,21,17
Exp1_to_Exp2,TargetSupervisedUpperBound,3403,100.0,0.25,34.16666666666697,34.16666666666697,0.07692307692307693,0.25,0.11764705882352941,13,12
Exp1_to_Exp2,TargetSupervisedUpperBound,3403,250.0,0.5,80.00000000000045,80.00000000000045,0.15384615384615385,0.5,0.23529411764705882,13,11
Exp1_to_Exp2,TargetSupervisedUpperBound,3403,500.0,0.75,194.7222222222223,125.83333333333394,0.23076923076923078,0.75,0.3529411764705882,13,10
Exp1_to_Exp2,TargetSupervisedUpperBound,3403,1000.0,0.75,194.7222222222223,125.83333333333394,0.23076923076923078,0.75,0.3529411764705882,13,10
Exp1_to_Exp2,DirectTransfer,3404,100.0,0.0,,,0.0,0.0,0.0,1,1
Exp1_to_Exp2,DirectTransfer,3404,250.0,0.0,,,0.0,0.0,0.0,1,1
Exp1_to_Exp2,DirectTransfer,3404,500.0,0.0,,,0.0,0.0,0.0,1,1
Exp1_to_Exp2,DirectTransfer,3404,1000.0,0.0,,,0.0,0.0,0.0,1,1
Exp1_to_Exp2,CalibrationOnly,3404,100.0,0.75,81.4416608675486,75.99164926931189,0.15789473684210525,0.75,0.2608695652173913,19,16
Exp1_to_Exp2,CalibrationOnly,3404,250.0,1.0,90.45624565066146,84.24582463465595,0.21052631578947367,1.0,0.34782608695652173,19,15
Exp1_to_Exp2,CalibrationOnly,3404,500.0,1.0,90.45624565066146,84.24582463465595,0.21052631578947367,1.0,0.34782608695652173,19,15
Exp1_to_Exp2,CalibrationOnly,3404,1000.0,1.0,90.45624565066146,84.24582463465595,0.21052631578947367,1.0,0.34782608695652173,19,15
Exp1_to_Exp2,OnlineAdaptation,3404,100.0,0.25,75.83333333333394,75.83333333333394,0.07142857142857142,0.25,0.11111111111111112,14,13
Exp1_to_Exp2,OnlineAdaptation,3404,250.0,0.25,75.83333333333394,75.83333333333394,0.07142857142857142,0.25,0.11111111111111112,14,13
Exp1_to_Exp2,OnlineAdaptation,3404,500.0,0.25,75.83333333333394,75.83333333333394,0.07142857142857142,0.25,0.11111111111111112,14,13
Exp1_to_Exp2,OnlineAdaptation,3404,1000.0,0.25,75.83333333333394,75.83333333333394,0.07142857142857142,0.25,0.11111111111111112,14,13
Exp1_to_Exp2,TargetSupervisedUpperBound,3404,100.0,0.25,75.99164926931189,75.99164926931189,0.07692307692307693,0.25,0.11764705882352941,13,12
Exp1_to_Exp2,TargetSupervisedUpperBound,3404,250.0,0.5,96.74582463465595,96.74582463465595,0.15384615384615385,0.5,0.23529411764705882,13,11
Exp1_to_Exp2,TargetSupervisedUpperBound,3404,500.0,0.75,194.77499420088134,117.5,0.23076923076923078,0.75,0.3529411764705882,13,10
Exp1_to_Exp2,TargetSupervisedUpperBound,3404,1000.0,1.0,290.03957898399426,254.16666666666606,0.3076923076923077,1.0,0.47058823529411764,13,9
Exp1_to_Exp2,DirectTransfer,3405,100.0,0.0,,,0.0,0.0,0.0,1,1
Exp1_to_Exp2,DirectTransfer,3405,250.0,0.0,,,0.0,0.0,0.0,1,1
Exp1_to_Exp2,DirectTransfer,3405,500.0,0.0,,,0.0,0.0,0.0,1,1
Exp1_to_Exp2,DirectTransfer,3405,1000.0,0.0,,,0.0,0.0,0.0,1,1
Exp1_to_Exp2,CalibrationOnly,3405,100.0,0.5,55.07915796798898,55.07915796798898,0.1,0.5,0.16666666666666669,20,18
Exp1_to_Exp2,CalibrationOnly,3405,250.0,0.75,81.44166086754831,75.99164926931189,0.15,0.75,0.24999999999999997,20,17
Exp1_to_Exp2,CalibrationOnly,3405,500.0,1.0,167.1229123173282,105.07915796798943,0.2,1.0,0.33333333333333337,20,16
Exp1_to_Exp2,CalibrationOnly,3405,1000.0,1.0,167.1229123173282,105.07915796798943,0.2,1.0,0.33333333333333337,20,16
Exp1_to_Exp2,OnlineAdaptation,3405,100.0,0.25,75.99164926931189,75.99164926931189,0.0625,0.25,0.1,16,15
Exp1_to_Exp2,OnlineAdaptation,3405,250.0,0.5,100.91249130132246,100.91249130132246,0.125,0.5,0.2,16,14
Exp1_to_Exp2,OnlineAdaptation,3405,500.0,0.75,228.10832753421496,125.83333333333303,0.1875,0.75,0.3,16,13
Exp1_to_Exp2,OnlineAdaptation,3405,1000.0,0.75,228.10832753421496,125.83333333333303,0.1875,0.75,0.3,16,13
Exp1_to_Exp2,TargetSupervisedUpperBound,3405,100.0,0.25,75.99164926931189,75.99164926931189,0.05263157894736842,0.25,0.08695652173913043,19,18
Exp1_to_Exp2,TargetSupervisedUpperBound,3405,250.0,1.0,138.3729123173282,125.83333333333348,0.21052631578947367,1.0,0.34782608695652173,19,15
Exp1_to_Exp2,TargetSupervisedUpperBound,3405,500.0,1.0,138.3729123173282,125.83333333333348,0.21052631578947367,1.0,0.34782608695652173,19,15
Exp1_to_Exp2,TargetSupervisedUpperBound,3405,1000.0,1.0,138.3729123173282,125.83333333333348,0.21052631578947367,1.0,0.34782608695652173,19,15
Exp2_to_Exp1,DirectTransfer,3401,100.0,0.0,,,0.0,0.0,0.0,1,1
Exp2_to_Exp1,DirectTransfer,3401,250.0,0.0,,,0.0,0.0,0.0,1,1
Exp2_to_Exp1,DirectTransfer,3401,500.0,0.25,361.37397634213266,361.37397634213266,1.0,0.25,0.4,1,0
Exp2_to_Exp1,DirectTransfer,3401,1000.0,0.25,361.37397634213266,361.37397634213266,1.0,0.25,0.4,1,0
Exp2_to_Exp1,CalibrationOnly,3401,100.0,0.75,50.047895459723804,36.09467455621416,0.08823529411764706,0.75,0.15789473684210525,34,31
Exp2_to_Exp1,CalibrationOnly,3401,250.0,0.75,50.047895459723804,36.09467455621416,0.08823529411764706,0.75,0.15789473684210525,34,31
Exp2_to_Exp1,CalibrationOnly,3401,500.0,0.75,50.047895459723804,36.09467455621416,0.08823529411764706,0.75,0.15789473684210525,34,31
Exp2_to_Exp1,CalibrationOnly,3401,1000.0,0.75,50.047895459723804,36.09467455621416,0.08823529411764706,0.75,0.15789473684210525,34,31
Exp2_to_Exp1,OnlineAdaptation,3401,100.0,0.75,67.72173306968277,77.47952684258053,0.05555555555555555,0.75,0.10344827586206895,54,51
Exp2_to_Exp1,OnlineAdaptation,3401,250.0,0.75,67.72173306968277,77.47952684258053,0.05555555555555555,0.75,0.10344827586206895,54,51
