dataset,horizon,model,scratch_model,n,source_init_mae,scratch_mae,relative_improvement,source_init_better
Exp2,20,SourceInit_RBF_Ridge,RBF_Ridge,512,0.013077440648493362,0.0191629335511539,0.3175658302219651,1
Exp2,20,SourceInit_Ridge,Ridge,512,0.045019971867876346,0.052534306070562045,0.14303670810065972,1
Exp2,100,SourceInit_RBF_Ridge,RBF_Ridge,512,0.033287646677396435,0.040315913758940544,0.17432984710623123,1
Exp2,100,SourceInit_Ridge,Ridge,512,0.06496109579126763,0.060535923740123336,-0.07309993434875567,0
Exp2,300,SourceInit_RBF_Ridge,RBF_Ridge,512,0.03826344759688036,0.06012932375504403,0.36364746504120504,1
Exp2,300,SourceInit_Ridge,Ridge,512,0.06608956087200446,0.056158511159133284,-0.17683961892668604,0
