dataset,seed,best_epoch,selection_score,selected,Stage5_AUROC,Stage5_AUPRC,Stage45_AUROC,Stage45_AUPRC,Ordinal_MAE,ordinal_macro_F1,risk_stage_spearman,Stage5_recall,Stage1to2_false_high_rate,ECE,Brier,mean_posterior_entropy,mean_confidence
Exp1,20260712,3,0.8089625342957434,True,0.953525328102626,0.7444665982834964,0.7617306000485378,0.7444665982834964,0.43393448656606554,0.4749779358929439,0.9371809636786004,1.0,0.0,0.2097718123953966,0.1416763207581817,1.5663658015016284,0.2693586963687173
Exp1,20260713,3,0.6941674886867527,False,0.8211581815599815,0.41954808934130156,0.0831020203858755,0.41954808934130156,0.44534412955465585,0.45946382056704194,0.8495740946051884,1.0,0.0,0.22298240451842144,0.15698024297809657,1.571948907397638,0.2618453081671175
Exp1,20260714,3,0.7491991766058191,False,0.8910049881066496,0.5620843142380424,0.44119721514379323,0.5620843142380424,0.4457121825542878,0.4587215042501264,0.9260096442930182,1.0,0.0,0.20174431379639055,0.14568823189774263,1.5489650365209067,0.2901952315998025
Exp2,20260712,5,0.8197242810953784,False,1.0,1.0,1.0,1.0,0.7602905569007264,0.33270409008113927,0.7559247861723707,1.0,0.005681818181818182,0.24303466438814167,0.10803438409035669,1.5791033327525796,0.2570405385792977
Exp2,20260713,4,0.8275585496242645,True,1.0,1.0,1.0,1.0,0.7796610169491526,0.3577763433004236,0.8032075879969723,1.0,0.0,0.20081243253612924,0.11500360438863638,1.5788651663528352,0.25728478316966324
Exp2,20260714,4,0.8182908430534032,False,1.0,1.0,1.0,1.0,0.8595641646489104,0.35253455096155406,0.7335678538056862,1.0,0.011363636363636364,0.16784740371976867,0.10797490263856085,1.5623641266855484,0.2767210517069618
