scope,direction_id,model,stage,count,median_logit,IQR_logit,p05,p25,p75,p95,median_probability,high_rate,watch_rate
source_train,Exp1_to_Exp2,P1,1,925,-1.4594859324907592,0.3313513100646186,-1.6513387075650638,-1.5722147601118412,-1.2408634500472226,-0.41902012007134715,0.1885459630909796,0.0,0.004324324324324324
source_train,Exp1_to_Exp2,P1,2,1669,0.5909225247483234,0.25775331666609513,-0.05708823083380833,0.49478467451161057,0.7525379911777057,0.9902823233697715,0.6435767877027674,0.0,0.8160575194727382
source_train,Exp1_to_Exp2,P1,3,828,0.5667633469539138,0.19350393603912158,0.409578626828949,0.4552275979366995,0.6487315339758211,1.1079055542660112,0.6380159989518615,0.0,0.9794685990338164
source_train,Exp1_to_Exp2,P1,4,824,0.7042025048502216,0.10795259119147438,0.6141616164029269,0.6552712477696184,0.7632238389610928,1.0208411322239699,0.669118861669646,0.0,0.9987864077669902
source_train,Exp1_to_Exp2,P1,5,1355,1.2868060606404943,0.4149198277973176,0.7758414730316145,1.0130168481739372,1.4279366759712548,2.465685109455636,0.7836060911912553,0.11439114391143912,1.0
source_train,Exp2_to_Exp1,P1,1,357,-0.472235563982048,0.2757600936161566,-0.6560555005046891,-0.606893862582413,-0.33113376896625635,-0.1939463981248204,0.38408725226840007,0.0,0.0
source_train,Exp2_to_Exp1,P1,2,357,0.23817743216590856,0.2906131520281914,0.01188420746061305,0.07901118857568346,0.36962434060387483,0.604815944310748,0.5592644573128853,0.0,0.28291316526610644
source_train,Exp2_to_Exp1,P1,3,327,-0.07391505366512244,0.2221483559044226,-0.34651232274412774,-0.24298602132839597,-0.020837665423973348,0.11021658612505121,0.48152964511694596,0.0,0.0
source_train,Exp2_to_Exp1,P1,4,368,0.6631455756612098,0.5198799828886078,0.33807765866678385,0.467815756017097,0.9876957389057048,1.101980382823864,0.6599666434062978,0.1766304347826087,0.9646739130434783
source_train,Exp2_to_Exp1,P1,5,296,1.1525709245671092,0.12565913517220606,1.0216573329899954,1.0850135429905006,1.2106726781627066,1.3199451522521528,0.7599801835186988,0.972972972972973,1.0
