direction_id,source_dataset,target_dataset,model,watch_logit_threshold,high_logit_threshold,Stage5_AUROC,Stage5_AUPRC,Stage5_Recall_at_high,Stage4to5_Recall_at_watch,Stage1to2_FPR_at_high,Stage1to2_FPR_at_watch,Recall_at_10pct_Stage1to2_FPR,Risk_Stage_Spearman,soft_target_brier,first_WATCH_cycle,first_HIGH_cycle,stable_HIGH_cycle,lead_cycles_relative_to_Stage5,lead_status,false_HIGH_episodes_per_1000_cycles,guard_HIGH_FPR,non_guard_HIGH_FPR,watch_occupancy,high_occupancy
Exp1_to_Exp2,Exp1,Exp2,P0,2.7524722983362437,3.482090206809838,0.9905692839823135,0.9429791129277372,0.9958333333333333,0.7222222222222222,0.0,0.03341687552213868,1.0,0.823689836135718,0.1527163947935838,3610.5,9310.5,9640.5,2055.0,VALID,0.3546099290780142,0.0,0.0,0.291089811856585,0.2232871849485268
Exp1_to_Exp2,Exp1,Exp2,P1,0.37211710547192456,2.0069206231967693,0.993975538439595,0.9565699895962615,0.9958333333333333,0.9944444444444445,0.0,0.4444444444444444,1.0,0.8206205493677851,0.09602419015918355,2710.5,9595.5,9640.5,2055.0,VALID,0.425531914893617,0.0,0.0,0.5892793752218672,0.1845935392261271
Exp1_to_Exp2,Exp1,Exp2,P2,0.37211710547192456,2.0069206231967693,0.993975538439595,0.9565699895962615,1.0,1.0,0.06850459482038429,0.7092731829573935,1.0,0.8206205493677851,0.2007490669185871,10.5,3345.5,3650.5,8045.0,VALID,0.7801418439716312,0.0,0.07765151515151515,0.8764643237486688,0.3333333333333333
Exp1_to_Exp2,Exp1,Exp2,P3,0.37211710547192456,2.0069206231967693,0.993975538439595,0.9565699895962615,0.9958333333333333,1.0,0.0,0.5513784461152882,1.0,0.8206205493677851,0.12436579786793225,1510.5,9305.5,9640.5,2055.0,VALID,0.425531914893617,0.0,0.0,0.6766063187788427,0.22541711040113596
Exp1_to_Exp2,Exp1,Exp2,V11_R1_REF,0.37211710547192456,2.0069206231967693,0.9938213165026387,0.9556574176509446,0.14583333333333334,1.0,0.0,0.5505430242272348,1.0,0.8207099989285559,0.11918287065142158,1510.5,9905.5,12640.5,-945.0,VALID,0.49645390070921985,0.0,0.0,0.6744763933262335,0.025559105431309903
Exp1_to_Exp2,Exp1,Exp2,V11_R5_REF,0.37211710547192456,2.0069206231967693,0.9808399301098274,0.8642869722396523,1.0,1.0,0.2247284878863826,0.722639933166249,1.0,0.8192946476612198,0.2205487385999974,10.5,3020.5,3315.5,,INVALID_DUE_TO_EARLY_FALSE_ALARM,0.7801418439716312,0.14184397163120568,0.23579545454545456,0.8761093361732339,0.4636137735179269
Exp2_to_Exp1,Exp2,Exp1,P0,2.8612423439593253,4.410593596894328,0.844310508667513,0.6189795031936461,0.0,0.1931850183047029,0.0,0.0,0.7185084129149614,0.7776992069371903,0.06032987602616791,34195.5,34530.5,,,VALID,0.04386926957666155,0.0,0.0,0.07526055951727921,0.0009873834339001646
Exp2_to_Exp1,Exp2,Exp1,P1,0.32955776593363356,1.00652467370542,0.844310508667513,0.6189795031936461,0.0,0.3035764573359617,0.0,0.001658374792703151,0.7185084129149614,0.7776992069371903,0.08238256743719038,10.5,34485.5,34530.5,60.0,VALID,0.021934634788330774,0.0,0.0,0.11903455842018651,0.002303894679100384
Exp2_to_Exp1,Exp2,Exp1,P2,0.32955776593363356,1.00652467370542,0.844310508667513,0.6189795031936461,0.08913142337426103,0.41762883694733877,0.0,0.002606017531390666,0.7185084129149614,0.7776992069371903,0.08087916086500384,10.5,34355.5,34400.5,190.0,VALID,0.1754770783066462,0.0,0.0,0.16818431157432803,0.026659352715304445
Exp2_to_Exp1,Exp2,Exp1,P3,0.32955776593363356,1.00652467370542,0.844310508667513,0.6189795031936461,0.00045475216007276033,0.3382145874401577,0.0,0.0018952854773750297,0.7185084129149614,0.7776992069371903,0.0813550264432823,10.5,34455.5,34500.5,90.0,VALID,0.021934634788330774,0.0,0.0,0.13274821722435545,0.003071859572133845
Exp2_to_Exp1,Exp2,Exp1,V11_R1_REF,0.32955776593363356,1.00652467370542,0.8321863926265448,0.4714815386626909,0.0,0.0,0.0,0.0,0.3142337426102774,0.5772225048559717,0.14558255622599278,,,,,VALID,0.0,0.0,0.0,0.0,0.0
Exp2_to_Exp1,Exp2,Exp1,V11_R5_REF,0.32955776593363356,1.00652467370542,0.8470327750323442,0.49148915772939156,0.0,0.0,0.0,0.0,0.33651659845384263,0.5792926068728459,0.14558255622599447,,,,,VALID,0.0,0.0,0.0,0.0,0.0
