scope,direction_id,model,stage,count,median_logit,IQR_logit,p05,p25,p75,p95,median_probability,high_rate,watch_rate
target,Exp1_to_Exp2,P0,1,597,-0.8833585280934226,1.023610796912355,-1.408482993289672,-1.257928439162172,-0.23431764224981705,0.9878428311664975,0.29248229312111407,0.0,0.0
target,Exp1_to_Exp2,P0,2,600,1.4857762823236575,0.7726514720899873,0.8311457866524183,1.149072479141755,1.9217239512317423,2.7709168160910154,0.8154434690500432,0.0,0.06666666666666667
target,Exp1_to_Exp2,P0,3,540,0.5582755771184045,0.8523993131336013,-0.3637286468996635,0.0075724982888557574,0.859971811422457,1.3333800123338428,0.6360534325975782,0.0,0.0
target,Exp1_to_Exp2,P0,4,600,2.752551645673588,1.2599432081290267,1.332968145172582,2.2312940779306976,3.4912372860597243,4.279796337915279,0.9400572926934962,0.25166666666666665,0.5
target,Exp1_to_Exp2,P0,5,480,4.494374583019804,0.4848315301224799,4.119324154420392,4.294278227535276,4.779109757657756,4.998559707500981,0.9889517572831774,0.9958333333333333,1.0
target,Exp1_to_Exp2,P1,1,597,-0.602423198680006,0.2742485529572456,-0.7666421492524464,-0.6996988484525085,-0.4254502954952629,0.30795696578795967,0.3537894999809141,0.0,0.01340033500837521
target,Exp1_to_Exp2,P1,2,600,0.6397509513682047,0.40336726541237533,0.2608519707509863,0.44415242897392737,0.8475196943863027,1.302545358261952,0.6546970685220135,0.0,0.8733333333333333
target,Exp1_to_Exp2,P1,3,540,-0.11218692268419195,0.5232153304707843,-0.4610201215733284,-0.29819834605980117,0.22501698441098306,0.46843060360592675,0.47198264902988013,0.0,0.1
target,Exp1_to_Exp2,P1,4,600,1.2868054766075958,0.7812124212590982,0.5240245976823286,0.9739855245293482,1.7551979457884463,2.118378859043468,0.7836059014258916,0.07,0.99
target,Exp1_to_Exp2,P1,5,480,2.311761788900414,0.23452377460517493,2.0922563647466013,2.21808989485327,2.452613669458445,2.6324390522668226,0.909846471423773,0.9958333333333333,1.0
target,Exp1_to_Exp2,P2,1,597,0.2922246878746926,0.2742485529572456,0.1280057373022522,0.1949490381021901,0.4691975910594357,1.2026048523426582,0.5725406859119927,0.0,0.41708542713567837
target,Exp1_to_Exp2,P2,2,600,1.5343988379229034,0.40336726541237544,1.155499857305685,1.3388003155286259,1.7421675809410013,2.1971932448166505,0.8226488813057917,0.13666666666666666,1.0
target,Exp1_to_Exp2,P2,3,540,0.7824609638705067,0.5232153304707841,0.43362776498137023,0.5964495404948975,1.1196648709656816,1.3630784901606254,0.6862102623098345,0.0,1.0
target,Exp1_to_Exp2,P2,4,600,2.1814533631622943,0.7812124212590978,1.4186724842370273,1.8686334110840468,2.6498458323431446,3.0130267455981663,0.898571540812842,0.6283333333333333,1.0
target,Exp1_to_Exp2,P2,5,480,3.206409675455113,0.23452377460517493,2.9869042513012998,3.1127377814079686,3.3472615560131436,3.527086938821521,0.9610747731592203,1.0,1.0
target,Exp1_to_Exp2,P3,1,597,-0.3290585666771814,0.2742485529572456,-0.4932775172496218,-0.4263342164496839,-0.1520856634924383,0.5813215977907843,0.41846970600354194,0.0,0.10050251256281408
target,Exp1_to_Exp2,P3,2,600,0.9131155833710293,0.4033672654123752,0.534216602753811,0.717517060976752,1.1208843263891273,1.5759099902647766,0.713637169140233,0.0,1.0
target,Exp1_to_Exp2,P3,3,540,0.16117770931863268,0.5232153304707843,-0.18765548957050376,-0.02483371405697654,0.4983816164138077,0.7417952356087514,0.5402074209871734,0.0,0.3074074074074074
target,Exp1_to_Exp2,P3,4,600,1.5601701086104205,0.7812124212590978,0.7973892296851531,1.247350156532173,2.028562577791271,2.3917434910462925,0.8263776727536123,0.26166666666666666,1.0
target,Exp1_to_Exp2,P3,5,480,2.585126420903239,0.23452377460517493,2.365620996749426,2.491454526856095,2.7259783014612697,2.9058036842696473,0.9298981848582109,0.9958333333333333,1.0
target,Exp1_to_Exp2,V11_R1_REF,1,597,-0.1577754158253708,0.20441216587789782,-0.2777776138081624,-0.229370628546388,-0.0249584626684902,0.48128394863977975,0.46063776612917784,0.0,0.09882747068676717
target,Exp1_to_Exp2,V11_R1_REF,2,600,0.7052677263015739,0.27710893261350433,0.44507895802597125,0.5728359512074852,0.8499448838209895,1.167809158977716,0.6693546515867077,0.0,1.0
target,Exp1_to_Exp2,V11_R1_REF,3,540,0.19832661316829903,0.3571679311022802,-0.05065203612147237,0.06443822335729042,0.4216061544595706,0.593439803261167,0.5494197718926851,0.0,0.29814814814814816
target,Exp1_to_Exp2,V11_R1_REF,4,600,1.1586714955903792,0.5355857571016909,0.6304725677710807,0.9444455006438872,1.480031257745578,1.7320858407424558,0.7610912295576424,0.0033333333333333335,1.0
target,Exp1_to_Exp2,V11_R1_REF,5,480,1.8614155785733144,0.16484743935361612,1.71542722364546,1.7960723951135948,1.960919834467211,2.080170869616411,0.8654618595789418,0.14583333333333334,1.0
target,Exp1_to_Exp2,V11_R5_REF,1,597,0.2740213222700907,0.4093934052799839,0.034016926304507256,0.1302618233038679,0.5396552285838518,1.110161366289369,0.5680798661057944,0.0,0.4438860971524288
target,Exp1_to_Exp2,V11_R5_REF,2,600,1.941564965804257,0.5970175257886274,1.3510424923231985,1.6407460852825717,2.237763611071199,2.7988297306297296,0.8745238991589248,0.4483333333333333,1.0
target,Exp1_to_Exp2,V11_R5_REF,3,540,0.9153800065343354,0.7633787466692776,0.3952971948381636,0.6370960647414041,1.4004748114106818,1.7261957511246295,0.7140997882124003,0.012962962962962963,0.9685185185185186
target,Exp1_to_Exp2,V11_R5_REF,4,600,2.8459451504987423,1.0472400228200849,1.7404762258581017,2.3847521855454765,3.4319922083655614,3.932568733095068,0.9451075309942738,0.9166666666666666,1.0
target,Exp1_to_Exp2,V11_R5_REF,5,480,3.953139148160135,0.39474038197404093,3.5802655912898502,3.7406519040281228,4.135392286002164,4.468330498052823,0.9811671283587035,1.0,1.0
target,Exp2_to_Exp1,P0,1,1511,-4.1773281902385,0.6691771018413792,-4.709447329812843,-4.413840911106737,-3.744663809265358,-0.3320020854694996,0.015107693411829015,0.0,0.0
target,Exp2_to_Exp1,P0,2,2710,-0.22075976690045002,1.964706447861764,-2.4299100064283112,-1.8384181995210536,0.12628824834071042,0.5810119801976347,0.44503311086841735,0.0,0.0
target,Exp2_to_Exp1,P0,3,1343,-1.1238711174295741,1.2631274056603372,-1.8206364484345625,-1.7182713113044088,-0.45514390564407164,0.5767844420725717,0.2452939372220046,0.0,0.0
target,Exp2_to_Exp1,P0,4,1352,1.0914640477816402,0.5341105615189232,0.8663693637959944,0.983596253963156,1.5177068154820792,3.087089688502905,0.7486573010059012,0.006656804733727811,0.057692307692307696
target,Exp2_to_Exp1,P0,5,2199,0.9641789769270318,2.684193263555558,-0.13847479687687092,0.2647791970672926,2.9489724606228505,3.548508663756574,0.7239577252813272,0.0,0.2764893133242383
