direction_id,bootstrap_repeat,feature_name,normalized_weight
Exp1_source,21,rx_q05,-0.0685309453877704
Exp1_source,22,rs_corrdist_base,0.0156026000861677
Exp1_source,22,rs_mean,-0.3911012993356899
Exp1_source,22,ry_p2p,0.0768592399343233
Exp1_source,22,rx_mean,0.4571588110140945
Exp1_source,22,rx_q05,-0.0592780495132056
Exp1_source,23,rs_corrdist_base,0.0278255663167227
Exp1_source,23,rs_mean,-0.426656594150007
Exp1_source,23,ry_p2p,0.0709767149281904
Exp1_source,23,rx_mean,0.452785128984785
Exp1_source,23,rx_q05,-0.0217559954226257
Exp1_source,24,rs_corrdist_base,0.02152277695304
Exp1_source,24,rs_mean,-0.3823511155551017
Exp1_source,24,ry_p2p,0.0731174949488233
Exp1_source,24,rx_mean,0.4591548314194606
Exp1_source,24,rx_q05,-0.0638537809938645
Exp1_source,25,rs_corrdist_base,0.0288128234444339
Exp1_source,25,rs_mean,-0.351618798644966
Exp1_source,25,ry_p2p,0.0925650453309758
Exp1_source,25,rx_mean,0.4415958199347747
Exp1_source,25,rx_q05,-0.0854075125004198
Exp1_source,26,rs_corrdist_base,0.0186420825292678
Exp1_source,26,rs_mean,-0.3889200768468212
Exp1_source,26,ry_p2p,0.1041660454837579
Exp1_source,26,rx_mean,0.4430772445349667
Exp1_source,26,rx_q05,-0.045194550369327
Exp1_source,27,rs_corrdist_base,0.0202168622518464
Exp1_source,27,rs_mean,-0.2573104163654215
Exp1_source,27,ry_p2p,0.1144618754815484
Exp1_source,27,rx_mean,0.453949724554841
Exp1_source,27,rx_q05,-0.1540611211684197
Exp1_source,28,rs_corrdist_base,0.0210675647182929
Exp1_source,28,rs_mean,-0.3972143448342995
Exp1_source,28,ry_p2p,0.0693777669104544
Exp1_source,28,rx_mean,0.4592381999634765
Exp1_source,28,rx_q05,-0.0531021234374556
Exp1_source,29,rs_corrdist_base,0.0288480231789584
Exp1_source,29,rs_mean,-0.3828527534294557
Exp1_source,29,ry_p2p,0.0704843752292027
Exp1_source,29,rx_mean,0.4496754725496429
Exp1_source,29,rx_q05,-0.0681393754643081
Exp1_source,30,rs_corrdist_base,0.0356346345465043
Exp1_source,30,rs_mean,-0.3001115918534269
Exp1_source,30,ry_p2p,0.0813397763050424
