direction_id,source_dataset,target_dataset,optimizer_success,optimizer_message,objective,beta0,beta_AWR_adaptive,median_AWR_adaptive,IQR_AWR_adaptive,beta_BDall_xy_v2,median_BDall_xy_v2,IQR_BDall_xy_v2,beta_RS50_positive,median_RS50_positive,IQR_RS50_positive,beta_TES,median_TES,IQR_TES,beta_high_AWR_high_BD_occupancy,median_high_AWR_high_BD_occupancy,IQR_high_AWR_high_BD_occupancy
Exp1_to_Exp2,Exp1,Exp2,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1150.4204119731312,-4.691189448906204,9.921453757644384,-0.11499745873490178,1.7944369291741082,10.389112177198767,5.688325454142721,1.8784220950764272,0.0,0.0,0.0006555661215161773,0.0,1.432846696953407,5.459226683404546,0.0,0.0,1e-09
Exp2_to_Exp1,Exp2,Exp1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.632402262695848,-26.383575043187097,20.06924725001631,0.8701681328436575,2.816217788809309,7.182214406225441,1.6883844465364968,1.7914673572073978,3.0377792351862953,0.0,0.009431728377512693,2.2266866169622346,0.49980248227378343,1.0749482007866638,0.009344102534785476,0.0,1e-09
