dataset,window_id,window_index,start_cycle,end_cycle,center_cycle,forecast_mae,persistence_mae,forecast_activity,shared_predictor_observed_updates,causal_warmup,shared_z0,shared_z1,shared_z2,shared_z3,shared_z4,shared_z5
Exp1,0,0,1.0,20.0,10.5,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
Exp1,1,1,6.0,25.0,15.5,973469.6397456098,973469.6397456098,1001825.2046677616,0,1,0.0,0.0,0.0,0.0,0.0,0.0
Exp1,2,2,11.0,30.0,20.5,1.8754067552289913,1.8754067552289913,2.2093459260837727,2,1,-0.6744907594765952,-0.6744907594765952,0.6744907594765711,-0.6744907594765995,0.6744907594766009,-0.6744907594765952
Exp1,3,3,16.0,35.0,25.5,0.9270476140447745,0.9270476140447745,1.0663460391093265,4,1,6.3277889860851255,-0.681283129280208,0.8274284175374391,-0.4265473702603806,-0.13099871547747555,-0.7237641907301998
Exp1,4,4,21.0,40.0,30.5,0.682045675812124,0.682045675812124,0.7463819520410551,6,1,0.5532842244657343,-0.2545766883488187,2.8282360996683797,7.907814697469896,-0.6493242868259498,-0.5506229155596467
Exp1,5,5,26.0,45.0,35.5,0.4749173976298585,0.4749173976298585,0.5067756982497214,8,1,1.7591560904646717,0.024004948996671382,-1.562596556515826,1.6680153284790764,4.458731459824332,-1.4841130650675223
Exp1,6,6,31.0,50.0,40.5,0.3182238233421573,0.3182238233421573,0.34230809388523387,10,1,0.6440028225000514,0.6219276324775403,-0.548104975625666,0.15066740136843515,0.8642480143682165,1.7193849687354177
Exp1,7,7,36.0,55.0,45.5,0.4529613084466717,0.4529613084466717,0.53213126154914,12,1,0.3962714806768778,0.2626380782462654,-0.47580803433270386,0.2897963720161921,-1.4319414092591431,0.612543766124156
Exp1,8,8,41.0,60.0,50.5,0.3949989386467124,0.3949989386467124,0.5709872448369147,14,1,-0.9105348823311648,0.0883630262135835,-0.30256361733698495,0.5227257614243581,0.3890319504056671,-2.6227974816491715
Exp1,9,9,46.0,65.0,55.5,0.3267623335511802,0.3267623335511802,0.4447076773119059,16,1,-0.31526183262972884,-0.48923070237265565,-0.4005428182919524,0.7469270151596996,-0.6996962035142563,3.2048736152294985
Exp1,10,10,51.0,70.0,60.5,0.5020695009930853,0.5020695009930853,0.795047461680436,18,1,-0.46270990904501635,-0.9633133534263791,0.5278228473734695,-0.07423692900828976,0.01865920693151381,-1.5863703692214595
Exp1,11,11,56.0,75.0,65.5,0.20979686336415282,0.20979686336415282,0.2508922006815516,20,1,0.029535434142423322,-1.5439851398526712,0.7776612337458052,0.8217807898941817,0.08288192267023908,0.4726189905600856
Exp1,12,12,61.0,80.0,70.5,0.31241840991267733,0.31241840991267733,0.48994790904091906,22,1,0.006402673707373102,-0.3896687485696921,-0.7721553221014126,-0.6296466277133984,0.20163792739217634,-0.5661700887760349
Exp1,13,13,66.0,85.0,75.5,0.22155774398047132,0.22155774398047132,0.28767559682774163,24,1,0.24644753665374824,-0.34436106318962734,0.7078818982587074,0.012738657183318451,-0.5118881629230012,-0.45759837099087414
Exp1,14,14,71.0,90.0,80.5,0.1194217420903748,0.1194217420903748,0.14519698979420684,26,1,0.34400302428550383,-0.21112725681530903,0.5880905854756285,-0.5649709349128869,-0.44494043341306455,-0.7118436740920517
Exp1,15,15,76.0,95.0,85.5,0.11376091700622279,0.11376091700622279,0.17535684502204418,28,1,0.08234781626142154,-0.13786830150229232,0.4712334156506311,-0.4824031106363349,-0.2765284503308619,-0.2374644198993735
Exp1,16,16,81.0,100.0,90.5,0.3188973095338879,0.3188973095338879,0.3287378528827986,30,1,0.015562695968044382,-0.22105003827306186,0.39564431768348307,-0.3822174206288655,-0.09081016940691984,-0.36809093384728536
Exp1,17,17,86.0,105.0,95.5,0.21461852359017802,0.21461852359017802,0.28737895496980637,32,1,0.10321381534099455,-0.10622650184257282,-0.35492828835730816,-0.44871580032211456,-0.20910868013320905,0.6113888455711733
Exp1,18,18,91.0,110.0,100.5,0.21160303354037138,0.21160303354037138,0.22908294661462597,34,1,0.10692785166497587,-0.008322377410929005,-0.400887955496736,-0.6380926313175833,0.05033073045235533,0.7634333873216337
Exp1,19,19,96.0,115.0,105.5,0.17750612032264967,0.17750612032264967,0.24897652767012554,36,1,0.19274727554097687,-0.03212103155652518,-0.31042128791726886,-0.5353770459762401,0.1148143605771748,0.798170398164806
Exp1,20,20,101.0,120.0,110.5,0.28378166310680014,0.28378166310680014,0.544668195258379,38,1,0.22144585353288085,-0.1270984841813962,-0.21599102695168101,0.18183348967070934,-0.1421773489306249,-0.5041434883953032
Exp1,21,21,106.0,125.0,115.5,0.24722719568618828,0.24722719568618828,0.42236398413669535,40,1,-0.16525689153648299,0.17737091916955433,-0.439965063727719,-0.6243287098697294,-0.04407597703918138,-0.4998453998226716
Exp1,22,22,111.0,130.0,120.5,0.11071275028541026,0.11071275028541026,0.1862205581417183,42,1,-0.14627773430105392,-0.08328503911633098,-0.2026848719444377,-0.04932906052729327,-0.18875220666450593,-0.056598142101136145
Exp1,23,23,116.0,135.0,125.5,0.21224351812632283,0.21224351812632283,0.24143900784519523,44,1,-0.21066299912209424,-0.0193531433743621,-0.0462894508284005,-0.12052473088675128,-0.42784363319200197,0.4060724110189433
Exp1,24,24,121.0,140.0,130.5,0.30815998247283005,0.30815998247283005,0.6219131784607891,46,1,-0.11915235195531268,-0.061334774731545305,-0.3151338709097902,0.134928778136855,-0.23699000724749664,-0.2469873999864508
Exp1,25,25,126.0,145.0,135.5,0.2507855540840287,0.2507855540840287,0.304663722562222,48,1,0.03521650048815016,0.11459220934183678,-0.05213769449769395,-0.03988098275906864,0.08358413564222048,-0.18301394936720833
Exp1,26,26,131.0,150.0,140.5,0.15835547862872051,0.15835547862872051,0.18835539368554602,50,1,0.06427044932230544,0.07382583337876358,-0.18006105243925413,0.08478520230086621,-0.08624857987497905,-0.05525064327616436
Exp1,27,27,136.0,155.0,145.5,0.06405443493117281,0.06405443493117281,0.11746709809360606,52,1,-0.008095190975850555,-0.13058251938276255,-0.13388145396436163,0.3290120548809197,-0.05530188405229364,0.06863288030970921
Exp1,28,28,141.0,160.0,150.5,0.06606874906994928,0.06606874906994928,0.06971552707430423,54,1,-0.14076595131404318,-0.039771567731250304,0.2068289503899281,-0.3923168693118362,0.08169488695171943,-0.20342252031564043
Exp1,29,29,146.0,165.0,155.5,0.09420391488107131,0.09420391488107131,0.13436363365261605,56,1,-0.1186821070025415,0.03800369215222847,-0.014553540592490519,-0.11510137165055417,0.024814447114663213,0.1055156732425597
Exp1,30,30,151.0,170.0,160.5,0.12365769393770819,0.12365769393770819,0.19659994919730378,58,1,-0.12174389144055199,-0.08686417988658138,0.09475104595856058,-0.2637843039994264,0.07523281549659548,-0.042799706580170765
Exp1,31,31,156.0,175.0,165.5,0.12783757551741018,0.12783757551741018,0.21044313322855346,60,1,-0.1426594409639982,0.03464939895416555,0.10147010753179525,-0.19600449453913515,0.15334262261499665,0.0589922809839614
Exp1,32,32,161.0,180.0,170.5,0.11507772630890524,0.19067854903419498,0.2634894181625516,62,0,-0.13892720137921746,-0.03966689971337313,-0.002247003415993168,-0.07047413435215638,0.07244003394326749,-0.19499674321265018
Exp1,33,33,166.0,185.0,175.5,0.09452026341770164,0.14048932259493097,0.2063476905398548,64,0,-0.06860292874988734,-0.00916270984545299,0.06503344520573777,-0.1484101733847932,0.06768397980532892,0.1145913704395578
Exp1,34,34,171.0,190.0,180.5,0.2896335701768595,0.2752055596991483,0.42940993894053553,66,0,-0.06185913204628425,-0.04400831486095408,-0.06609962700795345,-0.248390038471354,0.08956406610012213,0.1177957168429589
Exp1,35,35,176.0,195.0,185.5,0.145715352480012,0.2148811764190391,0.3370811842069611,68,0,-0.1511601006218522,0.05426249370100268,-0.12172012367957863,0.02008773537149744,0.058643352423885874,0.10392821098292855
Exp1,36,36,181.0,200.0,190.5,0.2053831713194089,0.13863659222061053,0.19234270891489838,70,0,-0.09386669226660749,-0.06907310183912876,-0.07689837268782834,0.09517519086195031,-0.10181417832271968,-0.23091216103540033
Exp1,37,37,186.0,205.0,195.5,0.13202984388170866,0.07425084884805805,0.0804148532808085,72,0,-0.0762391718054371,-0.0861705525408859,-0.1972209345139728,-0.11323168756811497,0.003894206515698481,0.056076790442514374
Exp1,38,38,191.0,210.0,200.5,0.3546150102912004,0.4045385099749227,0.5085964618302845,74,0,0.029110598555068534,-0.0885609920838483,0.4303303639810949,-0.18232166680330658,-0.08007577144659726,-0.3050596289733124
Exp1,39,39,196.0,215.0,205.5,0.28011591352300613,0.20117062377009343,0.2790858827450112,76,0,0.26797206064741097,0.19335783801459566,-0.4362284617603279,-0.6722781374628893,-0.05124142048048986,-0.7286647826103451
Exp1,40,40,201.0,220.0,210.5,0.3034247556114265,0.16419794878745983,0.23823572270389828,78,0,0.15438411149989256,-0.2092681010525119,-0.3281725628538303,-0.5758682009016177,-0.0989041006389067,-0.7303845368334955
Exp1,41,41,206.0,225.0,215.5,0.22944711795266398,0.23548436811186274,0.382141039804908,80,0,0.005755948106706932,-0.04193814338171699,-0.4255036789048622,-0.23779843741773887,-0.09399026062817448,-0.235335474463381
Exp1,42,42,211.0,230.0,220.5,0.45683073791775036,0.425452884518377,0.6242575195700526,82,0,-0.29763976637222095,0.13950166517465779,-0.25421682561392267,0.4184487891847276,-0.05386103043772826,0.4991838311146339
Exp1,43,43,216.0,235.0,225.5,0.5205946810590828,0.292106224819897,0.43234361608339134,84,0,-0.6440174836360624,-0.39928173282432144,-0.32156953126759114,1.2784681745286028,-0.09094776064763835,1.0156121234869415
Exp1,44,44,221.0,240.0,230.5,0.33717606189749316,0.2633193255267375,0.4436216662776134,86,0,-0.5119955664536741,-0.4965200837076884,-0.4316254014989958,-1.0816954005788093,0.02810037178402503,-1.647287160336853
Exp1,45,45,226.0,245.0,235.5,0.33391317647555646,0.40178330311916416,0.6149784162536457,88,0,-0.322938838675097,0.3285144597452865,-0.42560260186678006,-0.7067931878350792,-0.0493038506285019,0.6533236581198049
Exp1,46,46,231.0,250.0,240.5,0.15556156984267297,0.16496120180703977,0.22789054823477403,90,0,-0.06217498656312926,-0.40124784911805345,-0.7309667710660804,-0.16243816373965875,0.05424472885879017,-0.14131469410414554
Exp1,47,47,236.0,255.0,245.5,0.21113122004239143,0.3263879045962959,0.5242211085080097,92,0,0.11842567891873101,-0.17801083330604206,-0.4156733556873902,0.033241716144742736,0.030279920448503684,0.17359295790972473
Exp1,48,48,241.0,260.0,250.5,0.22208291594754495,0.19250884482918534,0.24948064979111112,94,0,0.13443205619504697,-0.4045561791897347,-0.6518018976165687,-0.29644423389907215,0.0712825661347995,0.6015083941100544
Exp1,49,49,246.0,265.0,255.5,0.33260880549116917,0.12416185374319325,0.14049605738025592,96,0,0.1873275686600217,-0.24404957960623727,-0.5278399247753935,0.2437120932408329,-0.06328499424022759,1.0738424231407473
Exp1,50,50,251.0,270.0,260.5,0.22635285511245198,0.1868051087952568,0.24566359276980715,98,0,0.08570400139478547,0.03458020818525194,-0.2630102192530267,0.19624065931399534,-0.027199434269210856,0.8176808982288424
Exp1,51,51,256.0,275.0,265.5,0.17744800294153354,0.1248094433691765,0.18379549070473836,100,0,0.006398169965552217,0.2338593374429614,0.025499312180944006,0.3357106506798072,-0.03516194423756465,0.4884417331792683
Exp1,52,52,261.0,280.0,270.5,0.2613425422911131,0.1711256678438145,0.24133249567063297,102,0,-0.09102416018218916,0.2570150297804511,0.029165374142577652,-0.2305527522888582,0.0027987383936092375,-0.5574398112588815
Exp1,53,53,266.0,285.0,275.5,0.19569461348039843,0.07955853186634212,0.11786326023559848,104,0,-0.05861245073328018,0.13957190976078865,-0.035869029829328034,0.22361304434997603,-0.08606269006502268,-0.4699826607611779
Exp1,54,54,271.0,290.0,280.5,0.10740536827861766,0.08385954849808647,0.12084246618396222,106,0,-0.10154221862978885,0.18700116485316115,-0.23532253050827728,0.03953357611642287,-0.00980601919412654,-0.4297649833191943
Exp1,55,55,276.0,295.0,285.5,0.17031465147368718,0.1567070792279627,0.21661370115623294,108,0,-0.09737831285009518,-0.25087572167337696,-0.19084194625964399,0.11843612879117746,-0.01923165060207822,-0.42357924105674605
Exp1,56,56,281.0,300.0,290.5,0.2782942899718026,0.09497115831160817,0.12868704395307948,110,0,-0.08706921738196749,-0.46337005934653863,-0.35681553779886804,-0.11646039646989932,-0.001141747530291965,0.20440956918069064
Exp1,57,57,286.0,305.0,295.5,0.3240252636089007,0.06356623006582926,0.09005548744028019,112,0,-0.1053982666292361,-0.45731310410874787,0.5690050489248216,-0.12858186356354742,0.018808245113449806,-0.2943774010825494
Exp1,58,58,291.0,310.0,300.5,0.15595527817727245,0.1815417655161272,0.24793056729453092,114,0,0.027049807200479767,-0.10534227530246294,-0.6470800060303554,0.24217907903103592,-0.021779049648115743,-0.14413784249121783
Exp1,59,59,296.0,315.0,305.5,0.2904093088716877,0.21433234057325087,0.40489583064592616,116,0,0.09944224842177371,-0.08993873405367858,-0.14085192017935483,0.6419215813066289,0.004580524498643647,-0.023464579831421764
Exp1,60,60,301.0,320.0,310.5,0.13533169145426766,0.087321736879374,0.11372009313356411,118,0,0.01861840922927105,-0.018259112410454775,-0.24987868196637747,-0.22041226868943373,0.16315723698159879,0.3526618657071331
Exp1,61,61,306.0,325.0,315.5,0.239824901267157,0.1756416106852395,0.3345799255192684,120,0,0.030844448434072295,-0.048041967140619174,-0.26110316456192306,0.11699062632142505,0.209329056559899,-0.35183953160682435
Exp1,62,62,311.0,330.0,320.5,0.2377367781079787,0.07899361133966015,0.1342977405439137,122,0,0.031633100754385024,0.09792131090487048,-0.35745501255009493,0.3172281517741312,0.4039252769586836,-0.3062281728880608
Exp1,63,63,316.0,335.0,325.5,0.23951530536300147,0.07774516617255195,0.08331162207858586,124,0,0.06387004482025369,0.2545947646433933,-0.0829517531179657,-0.09041589299097028,0.05441083058823827,-0.034939619533503684
Exp1,64,64,321.0,340.0,330.5,0.15149883903074102,0.11006902961243413,0.2349295721680998,126,0,0.03754032326325964,-0.20060755595033897,0.007771060450470768,0.14693085531361144,-0.018250823452278485,0.11429131936258387
Exp1,65,65,326.0,345.0,335.5,0.5650967705197785,0.49061098981255935,0.9253944219728291,128,0,-0.028837207628345206,0.01451785121050446,0.20212118028701817,0.2929544492984182,-0.2406056649673384,0.21858552782208313
Exp1,66,66,331.0,350.0,340.5,0.25466360072290184,0.05160985340768709,0.08291713911429878,130,0,-0.08338170977250658,-0.48144120488722775,0.565165650891811,0.3488261521035002,-0.016140053419890752,0.35082897385585055
Exp1,67,67,336.0,355.0,345.5,0.30611175722078826,0.06884992809681424,0.11456036511723297,132,0,-0.048968914833310506,0.4146198579820497,0.5501106749447148,0.2004887748641095,0.06256874218948436,0.2531248063655124
Exp1,68,68,341.0,360.0,350.5,0.26801356129468756,0.16014143888952379,0.3449425621716921,134,0,-0.029253601624470632,0.3983200820063907,0.40255334275166865,0.16584185554430558,0.0810869489977877,0.14180908235539302
Exp1,69,69,346.0,365.0,355.5,0.49424034773160247,0.4249340256719682,0.8215245955500877,136,0,0.09106437279908919,-0.013379783235704431,0.03172491679563022,0.03464694089194166,0.11471970680232704,-0.039060239171262966
Exp1,70,70,351.0,370.0,360.5,0.19090459413589883,0.17803393879297205,0.250201340541912,138,0,0.1120990996421036,0.454619779799896,-0.054551449862342144,0.08685448179486471,-0.02091142152897664,-0.12249389299519357
Exp1,71,71,356.0,375.0,365.5,0.15971110375281486,0.16481371685152643,0.2215701106480478,140,0,0.11022543791652567,-0.3453575341636233,-0.030762715862560727,0.11822926395653678,0.026735365751605365,-0.22698813950734698
Exp1,72,72,361.0,380.0,370.5,0.17903996639301478,0.20773832867349515,0.36715857987975,142,0,0.10026628909580687,-0.17324850412294823,0.015927226099133458,0.1575285997593053,-0.04327615906535798,-0.17423795500141895
Exp1,73,73,366.0,385.0,375.5,0.21990183500628988,0.12383883666980215,0.23519220328306506,144,0,0.018776008930637036,-0.259496416413548,0.08012781556572138,0.15162211397557285,-0.03535803267039698,0.10311837995762961
Exp1,74,74,371.0,390.0,380.5,0.11154350120146786,0.02492438073920769,0.027008070073058416,146,0,0.03531984845408147,0.2524191747424417,0.111399381418112,0.09807200882433287,0.01250357794070978,0.09626967195564955
Exp1,75,75,376.0,395.0,385.5,0.10246922906950118,0.1114823435318808,0.1631669891377426,148,0,0.0069478087853585835,-0.19765180009647498,0.11674035300424607,0.0582762049470822,0.021794066385401163,0.13799390378427867
Exp1,76,76,381.0,400.0,390.5,0.1389466852339757,0.10438410239379464,0.21248965175806925,150,0,-0.014800337698565771,-0.21175089769715325,0.1564255885207918,-0.025225362498477212,0.15327186798154693,0.14934819332181043
Exp1,77,77,386.0,405.0,395.5,0.09527988214920863,0.09460829951977903,0.17348310952096851,152,0,-0.0024195869624562064,0.060024882926918,0.1084635516820052,0.12067721143794985,-0.03976866609427107,0.055992142942123034
Exp1,78,78,391.0,410.0,400.5,0.12352646784816443,0.12071657532381257,0.2220732708998625,154,0,0.0009817082628104865,-0.0035098695997689867,-0.01883886627306695,0.17438108886335368,-0.025949249795497686,-0.07150605314353174
Exp1,79,79,396.0,415.0,405.5,0.11300555763652624,0.0743121925667265,0.10460009579106998,156,0,0.03608893907009118,-0.146332349983339,-0.18989567324681328,-0.16401466646026258,-0.042629471045393844,-0.20983667725244423
Exp1,80,80,401.0,420.0,410.5,0.10702967143948004,0.10344681502336245,0.17800437827255575,158,0,0.03955575680832318,-0.1453908455956428,-0.2264309745075114,-0.1640886287787982,-0.0021877249314556646,0.25024939437807026
Exp1,81,81,406.0,425.0,415.5,0.033636398358333146,0.05263518724992691,0.08738757489031711,160,0,0.01955085434416194,-0.05812680278365803,0.11009371565764424,-0.17107456279850228,0.04779249451308151,0.21873341371694888
Exp1,82,82,411.0,430.0,420.5,0.07283608628026872,0.07857123097479896,0.0896732241982247,162,0,0.02297049868934171,-0.011247187349730042,-0.01916520801857214,-0.14868993920094273,0.06237066639896667,0.1465618757692999
