protocol_id,output_name,horizon_cycles,segment,model,prediction_count,MAE,RMSE,direction_accuracy
A_Exp1_to_Exp2,D_state,100,early,Zero_Delta,87,5.377649933601551,8.194287816781102,0.0
A_Exp1_to_Exp2,D_state,100,early,Local_Linear,87,5.414192682595741,8.255346886883432,0.5057471264367817
A_Exp1_to_Exp2,D_state,100,early,Kalman_Trend,87,6.610009743873184,9.403036217548244,0.425287356321839
A_Exp1_to_Exp2,D_state,100,early,Frozen_Ridge,87,5.878420493207786,8.0811081788189,0.425287356321839
A_Exp1_to_Exp2,D_state,100,early,Robust_Online_RLS,87,10.69171314935195,13.703133879268568,0.5057471264367817
A_Exp1_to_Exp2,D_state,100,early,Safe_Ensemble,87,5.878420493207786,8.0811081788189,0.425287356321839
A_Exp1_to_Exp2,D_state,100,middle,Zero_Delta,87,8.010433480498355,13.033178786575192,0.0
A_Exp1_to_Exp2,D_state,100,middle,Local_Linear,87,7.991154286219423,13.081395438665364,0.5747126436781609
A_Exp1_to_Exp2,D_state,100,middle,Kalman_Trend,87,10.220885797734178,15.13424511700812,0.4482758620689655
A_Exp1_to_Exp2,D_state,100,middle,Frozen_Ridge,87,9.165241556127713,13.114673854441678,0.4367816091954023
A_Exp1_to_Exp2,D_state,100,middle,Robust_Online_RLS,87,14.428196169261447,19.092695636066107,0.4827586206896552
A_Exp1_to_Exp2,D_state,100,middle,Safe_Ensemble,87,9.165241556127713,13.114673854441678,0.4367816091954023
A_Exp1_to_Exp2,D_state,100,late,Zero_Delta,87,4.253273266400288,6.895469444637975,0.0
A_Exp1_to_Exp2,D_state,100,late,Local_Linear,87,4.27762227604719,6.993928086799163,0.5172413793103449
A_Exp1_to_Exp2,D_state,100,late,Kalman_Trend,87,5.322157661116575,7.734527822261636,0.4712643678160919
A_Exp1_to_Exp2,D_state,100,late,Frozen_Ridge,87,4.410896938041796,6.43709701696244,0.5287356321839081
A_Exp1_to_Exp2,D_state,100,late,Robust_Online_RLS,87,6.392786196647917,8.5547009225966,0.4827586206896552
A_Exp1_to_Exp2,D_state,100,late,Safe_Ensemble,87,4.410896938041796,6.43709701696244,0.5287356321839081
A_Exp1_to_Exp2,D_state,500,early,Zero_Delta,85,12.862272703580992,15.037701977951446,0.0
A_Exp1_to_Exp2,D_state,500,early,Local_Linear,85,13.053958794932583,15.45637674715175,0.5411764705882353
A_Exp1_to_Exp2,D_state,500,early,Kalman_Trend,85,23.60868017011848,27.50048520939128,0.3176470588235294
A_Exp1_to_Exp2,D_state,500,early,Frozen_Ridge,85,11.538651718090486,14.054778604167051,0.5529411764705883
A_Exp1_to_Exp2,D_state,500,early,Robust_Online_RLS,85,12.635181345693898,15.322482212800804,0.6941176470588235
A_Exp1_to_Exp2,D_state,500,early,Safe_Ensemble,85,11.538651718090486,14.054778604167051,0.5529411764705883
A_Exp1_to_Exp2,D_state,500,middle,Zero_Delta,84,14.19030966480406,18.9500394929033,0.0
A_Exp1_to_Exp2,D_state,500,middle,Local_Linear,84,14.262373119034732,19.3305135685966,0.5119047619047619
A_Exp1_to_Exp2,D_state,500,middle,Kalman_Trend,84,28.85924584948021,37.32828380439904,0.2738095238095238
A_Exp1_to_Exp2,D_state,500,middle,Frozen_Ridge,84,17.24214076900283,20.433355875383445,0.5
A_Exp1_to_Exp2,D_state,500,middle,Robust_Online_RLS,84,19.59826606584668,22.9141371489225,0.5119047619047619
A_Exp1_to_Exp2,D_state,500,middle,Safe_Ensemble,84,17.24214076900283,20.433355875383445,0.5
A_Exp1_to_Exp2,D_state,500,late,Zero_Delta,84,11.614963802434724,15.013836255014125,0.0
A_Exp1_to_Exp2,D_state,500,late,Local_Linear,84,12.398229190933058,16.159320689817953,0.4761904761904761
A_Exp1_to_Exp2,D_state,500,late,Kalman_Trend,84,19.15929410217369,24.18858306349628,0.4166666666666667
A_Exp1_to_Exp2,D_state,500,late,Frozen_Ridge,84,9.613531314342923,11.946060559358218,0.6666666666666666
A_Exp1_to_Exp2,D_state,500,late,Robust_Online_RLS,84,18.70356205921405,21.9562676080565,0.4761904761904761
A_Exp1_to_Exp2,D_state,500,late,Safe_Ensemble,84,9.613531314342923,11.946060559358218,0.6666666666666666
A_Exp1_to_Exp2,D_state,1000,early,Zero_Delta,81,11.418425975254651,14.291955834439454,0.0
A_Exp1_to_Exp2,D_state,1000,early,Local_Linear,81,12.805304672209902,15.842868376887788,0.4320987654320987
A_Exp1_to_Exp2,D_state,1000,early,Kalman_Trend,81,36.80211834169231,42.885560424970855,0.2592592592592592
A_Exp1_to_Exp2,D_state,1000,early,Frozen_Ridge,81,10.092805030586394,12.326127683128982,0.7037037037037037
A_Exp1_to_Exp2,D_state,1000,early,Robust_Online_RLS,81,10.515698912828109,12.209974407073842,0.6790123456790124
A_Exp1_to_Exp2,D_state,1000,early,Safe_Ensemble,81,10.092805030586394,12.326127683128982,0.7037037037037037
A_Exp1_to_Exp2,D_state,1000,middle,Zero_Delta,81,16.588865235638586,19.404786327504937,0.0
A_Exp1_to_Exp2,D_state,1000,middle,Local_Linear,81,17.67193282908363,20.617815398794047,0.4567901234567901
A_Exp1_to_Exp2,D_state,1000,middle,Kalman_Trend,81,43.97383919249825,58.5725328061843,0.345679012345679
A_Exp1_to_Exp2,D_state,1000,middle,Frozen_Ridge,81,15.766728244988206,19.228603514463437,0.6666666666666666
A_Exp1_to_Exp2,D_state,1000,middle,Robust_Online_RLS,81,14.842474411287132,19.05365672687147,0.7407407407407407
A_Exp1_to_Exp2,D_state,1000,middle,Safe_Ensemble,81,15.766728244988206,19.228603514463437,0.6666666666666666
A_Exp1_to_Exp2,D_state,1000,late,Zero_Delta,81,15.828117481314854,19.9499463578314,0.0
A_Exp1_to_Exp2,D_state,1000,late,Local_Linear,81,17.66104023098172,22.96647534187625,0.5432098765432098
A_Exp1_to_Exp2,D_state,1000,late,Kalman_Trend,81,40.62787968717903,47.55094829889176,0.2098765432098765
A_Exp1_to_Exp2,D_state,1000,late,Frozen_Ridge,81,14.009312324184943,17.39065940306731,0.7160493827160493
A_Exp1_to_Exp2,D_state,1000,late,Robust_Online_RLS,81,23.77694644169494,29.554063029123103,0.7654320987654321
A_Exp1_to_Exp2,D_state,1000,late,Safe_Ensemble,81,14.009312324184943,17.39065940306731,0.7160493827160493
A_Exp1_to_Exp2,V50_norm,100,early,Zero_Delta,87,1.691905622657656,2.5038977173135715,0.0
A_Exp1_to_Exp2,V50_norm,100,early,Local_Linear,87,1.6936443626868591,2.505772601836691,0.5172413793103449
A_Exp1_to_Exp2,V50_norm,100,early,Kalman_Trend,87,2.090479078736171,2.9946927982048464,0.2873563218390804
A_Exp1_to_Exp2,V50_norm,100,early,Frozen_Ridge,87,4.0295852301625645,4.765201602831962,0.5517241379310345
A_Exp1_to_Exp2,V50_norm,100,early,Robust_Online_RLS,87,2.3228447735923163,3.116770756597872,0.5747126436781609
A_Exp1_to_Exp2,V50_norm,100,early,Safe_Ensemble,87,4.0295852301625645,4.765201602831962,0.5517241379310345
A_Exp1_to_Exp2,V50_norm,100,middle,Zero_Delta,87,1.968833834343175,2.909500602600517,0.0
A_Exp1_to_Exp2,V50_norm,100,middle,Local_Linear,87,1.968165079428314,2.909786264014237,0.5517241379310345
A_Exp1_to_Exp2,V50_norm,100,middle,Kalman_Trend,87,2.367965160283465,3.467999303196347,0.2988505747126437
A_Exp1_to_Exp2,V50_norm,100,middle,Frozen_Ridge,87,5.3825796174935165,6.234581888407213,0.5747126436781609
A_Exp1_to_Exp2,V50_norm,100,middle,Robust_Online_RLS,87,2.3088482475352525,3.079884816816023,0.6666666666666666
A_Exp1_to_Exp2,V50_norm,100,middle,Safe_Ensemble,87,5.3825796174935165,6.234581888407213,0.5747126436781609
A_Exp1_to_Exp2,V50_norm,100,late,Zero_Delta,87,2.861283913447644,4.30734060827248,0.0
A_Exp1_to_Exp2,V50_norm,100,late,Local_Linear,87,2.8733187688599555,4.3137419689783885,0.3908045977011494
A_Exp1_to_Exp2,V50_norm,100,late,Kalman_Trend,87,3.4268190671676733,5.190932104887715,0.367816091954023
A_Exp1_to_Exp2,V50_norm,100,late,Frozen_Ridge,87,4.861078849864877,6.134732490051346,0.5747126436781609
A_Exp1_to_Exp2,V50_norm,100,late,Robust_Online_RLS,87,2.8193710707984856,4.085426173341595,0.5402298850574713
A_Exp1_to_Exp2,V50_norm,100,late,Safe_Ensemble,87,3.5108456813574014,5.099086644615887,0.5517241379310345
A_Exp1_to_Exp2,V50_norm,500,early,Zero_Delta,85,1.965529281121299,2.809416898275095,0.0
A_Exp1_to_Exp2,V50_norm,500,early,Local_Linear,85,1.966571290371817,2.8076709220609715,0.4705882352941176
A_Exp1_to_Exp2,V50_norm,500,early,Kalman_Trend,85,4.451851890725885,6.028330217967158,0.2117647058823529
A_Exp1_to_Exp2,V50_norm,500,early,Frozen_Ridge,85,4.651866196307343,5.553971143741414,0.4470588235294118
A_Exp1_to_Exp2,V50_norm,500,early,Robust_Online_RLS,85,3.503341715099124,4.626735644239576,0.4470588235294118
