due_observation_cycle,protocol_id,output_name,horizon_cycles,baseline_model,instantaneous_regret,cumulative_regret
3910.5,A_Exp1_to_Exp2,D_state,500,Local_Linear,2.230518568890221,-143.06203609563642
5160.5,A_Exp1_to_Exp2,D_state,500,Local_Linear,7.284031128069774,-182.55395667459163
6410.5,A_Exp1_to_Exp2,D_state,500,Local_Linear,9.198174459558452,-89.2877778634275
7660.5,A_Exp1_to_Exp2,D_state,500,Local_Linear,11.245292882085437,-27.413221758424427
8910.5,A_Exp1_to_Exp2,D_state,500,Local_Linear,3.3860221988830244,104.67726575399112
10160.5,A_Exp1_to_Exp2,D_state,500,Local_Linear,-5.0380920886320375,62.55382857419475
11410.5,A_Exp1_to_Exp2,D_state,500,Local_Linear,-9.17185854809942,100.93242017730962
12660.5,A_Exp1_to_Exp2,D_state,500,Local_Linear,4.403737028257338,-48.05768560576124
13910.5,A_Exp1_to_Exp2,D_state,500,Local_Linear,-3.0297676423883404,-95.59264651077332
14060.5,A_Exp1_to_Exp2,D_state,500,Local_Linear,-4.32168302410839,-112.41524056782907
2660.5,A_Exp1_to_Exp2,D_state,500,Kalman_Trend,-4.451487961774067,-236.0552696163233
3910.5,A_Exp1_to_Exp2,D_state,500,Kalman_Trend,-21.96321340013753,-751.6465425969249
5160.5,A_Exp1_to_Exp2,D_state,500,Kalman_Trend,-7.119410578060151,-1048.587266322533
6410.5,A_Exp1_to_Exp2,D_state,500,Kalman_Trend,1.8284885431056173,-1180.6817770958346
7660.5,A_Exp1_to_Exp2,D_state,500,Kalman_Trend,-25.54933359009039,-1564.9300601702164
8910.5,A_Exp1_to_Exp2,D_state,500,Kalman_Trend,-34.75874298166427,-1725.305333126713
10160.5,A_Exp1_to_Exp2,D_state,500,Kalman_Trend,-8.930256700570165,-2133.844966445854
11410.5,A_Exp1_to_Exp2,D_state,500,Kalman_Trend,-16.664622801984144,-2282.01840368629
12660.5,A_Exp1_to_Exp2,D_state,500,Kalman_Trend,-4.211050400805081,-2637.210035296299
13910.5,A_Exp1_to_Exp2,D_state,500,Kalman_Trend,-5.079166716697057,-2789.503105625773
14060.5,A_Exp1_to_Exp2,D_state,500,Kalman_Trend,0.7001836074484697,-2803.6333193602627
