dataset,window_id,window_index,start_cycle,end_cycle,center_cycle,rx_mean,rx_absmean,rx_q05,ry_mean,ry_absmean,ry_q05,ry_p2p,rs_mean,rs_rms,offline_diagnostic_only,offline_smoothing_window_rows,offline_smooth__rx_mean,offline_d1__rx_mean,offline_d2__rx_mean,offline_vol__rx_mean,offline_smooth__rx_absmean,offline_d1__rx_absmean,offline_d2__rx_absmean,offline_vol__rx_absmean,offline_smooth__rx_q05,offline_d1__rx_q05,offline_d2__rx_q05,offline_vol__rx_q05,offline_smooth__ry_mean,offline_d1__ry_mean,offline_d2__ry_mean,offline_vol__ry_mean,offline_smooth__ry_absmean,offline_d1__ry_absmean,offline_d2__ry_absmean,offline_vol__ry_absmean,offline_smooth__ry_q05,offline_d1__ry_q05,offline_d2__ry_q05,offline_vol__ry_q05,offline_smooth__ry_p2p,offline_d1__ry_p2p,offline_d2__ry_p2p,offline_vol__ry_p2p,offline_smooth__rs_mean,offline_d1__rs_mean,offline_d2__rs_mean,offline_vol__rs_mean,offline_smooth__rs_rms,offline_d1__rs_rms,offline_d2__rs_rms,offline_vol__rs_rms
Exp1,0,0,1.0,20.0,10.5,0.2269073741443898,0.2269073741443898,0.1334336328849345,-0.0354635312981645,0.0363645973966292,-0.0795324984925426,0.0898627800462637,0.2308939328535879,0.242522302144753,True,183,0.20302722062583656,-1.7492609769709234e-05,4.807470356005263e-07,0.008714232629382684,0.20302722062583656,-1.7492609769709234e-05,4.807470356005263e-07,0.008714232629382684,0.1084720530834319,-3.091758768266062e-05,1.809805994817975e-08,0.008693293539622586,-0.039653944699511404,-1.575196933885914e-05,-1.9154675948730717e-06,0.002030105671697392,0.0400088653938278,1.4221686819060331e-05,1.5715857178869027e-06,0.0017839674146240356,-0.08120809815714636,1.538293849717709e-07,5.380678189670365e-09,0.0004664479672720833,0.0904330763480741,-8.956964921438826e-06,7.06775078666011e-07,0.0014789929883551745,0.20782548819912025,-6.698225297008254e-06,-2.3858960628941883e-06,0.008361381088176708,0.21968687734810816,-7.753483718969666e-06,-6.519573774521615e-07,0.008194638590137682
Exp1,1,1,6.0,25.0,15.5,0.2258168570936411,0.2258168570936411,0.1342084654750883,-0.0365400693558108,0.0371878465991912,-0.0807646660174551,0.0903584840228536,0.230007861738399,0.2412306719555933,True,183,0.202939757576988,-1.5088874591706603e-05,4.807470356008038e-07,0.00878773030105406,0.202939757576988,-1.5088874591706603e-05,4.807470356008038e-07,0.00878773030105406,0.1083174651450186,-3.082709738291972e-05,1.8098059948040835e-08,0.008749495823824388,-0.0397327045462057,-2.5329307313224497e-05,-1.9154675948730717e-06,0.002031636418423431,0.0400799738279231,2.2079615408494845e-05,1.571585717886903e-06,0.0017857837776024332,-0.0812073290102215,1.8073277592012272e-07,5.38067818980914e-09,0.0004699313529853068,0.0903882915234669,-5.423089528108771e-06,7.067750786658722e-07,0.0014876634198533773,0.2077919970726352,-1.8627705611479195e-05,-2.3858960628941888e-06,0.00843253503926687,0.2196481099295133,-1.1013270606230474e-05,-6.519573774521615e-07,0.008263604477991664
Exp1,2,2,11.0,30.0,20.5,0.2239495111600819,0.2239495111600819,0.132812942701552,-0.0367327201619881,0.0374660208580082,-0.0812088673040712,0.0918103551860428,0.2282465359265614,0.2393031297101894,True,183,0.2028763318799195,-1.2685139413701196e-05,4.281176559028933e-07,0.008851928852841555,0.2028763318799195,-1.2685139413701196e-05,4.281176559028933e-07,0.008851928852841555,0.1081637821096027,-3.073660708318021e-05,-3.2605585995812424e-07,0.00878417021630831,-0.03990723777264365,-3.4906645287589856e-05,7.466230484989858e-08,0.0020340251392374003,0.04022966154791275,2.993754399792936e-05,-3.360071081100175e-08,0.0017885649927869248,-0.08120629082938716,2.076361668698623e-07,6.544643159300811e-08,0.0004710873338620297,0.09037884545279301,-1.8892141347801039e-06,3.9327144974427016e-07,0.001497699128238618,0.20763921114300546,-3.055718592595014e-05,5.483230852171277e-08,0.008493807408410627,0.21957674464204585,-1.4273057493491281e-05,-1.0221285031475348e-06,0.008328712647888743
Exp1,3,3,16.0,35.0,25.5,0.2222338774260805,0.2222338774260805,0.1314099876793462,-0.036758146895901,0.0375725133631107,-0.0815489770614937,0.0930702475738,0.2265980097726228,0.2375820941434027,True,183,0.202812906182851,-1.080769803267767e-05,3.7548827620414995e-07,0.008914764727661048,0.202812906182851,-1.080769803267767e-05,3.7548827620414995e-07,0.008914764727661048,0.1080100990741868,-3.4087655982500965e-05,-6.702097798638726e-07,0.00882699896640798,-0.0400817709990816,-2.458268426472551e-05,2.064792204572938e-06,0.0020379212294444737,0.0403793492679024,2.1743608300384827e-05,-1.6387871395089068e-06,0.0017928507433912272,-0.0812052526485528,8.351970918502038e-07,1.255121849960683e-07,0.00047268413313151234,0.0903693993821191,-1.490375030666069e-06,7.976782082294575e-08,0.00150333736933041,0.2074864252133757,-1.8079382526262067e-05,2.4955606799378917e-06,0.008553596096336007,0.2195053793545784,-2.1234555637705822e-05,-1.3922996288429078e-06,0.008389974655502308
Exp1,4,4,21.0,40.0,30.5,0.2204606457448059,0.2204606457448059,0.130323318690385,-0.0364518695035607,0.0373727480950227,-0.0815579416127388,0.0936094429775047,0.2248419165270721,0.2357267144840817,True,183,0.20276825489959271,-8.930256651659697e-06,-2.395535525310799e-06,0.008984582114294162,0.20276825489959271,-8.930256651659697e-06,-2.395535525310799e-06,0.008984582114294162,0.10782290554977769,-3.743870488181894e-05,1.073404101749609e-06,0.008885250259547374,-0.040153064615290904,-1.4258723241860477e-05,1.547905299630059e-06,0.002042925334300739,0.0404470976309166,1.3549672602840291e-05,-1.31601641483646e-06,0.0017981919645754815,-0.08119793885846865,1.4627580168305454e-06,1.2969255485106852e-08,0.0004745054120545124,0.09036394170248635,-1.0915359265506463e-06,-4.640154253041095e-08,0.0015111683944642143,0.20745841731774284,-5.601579126571221e-06,-2.221437782171098e-07,0.008620068988969254,0.2193643990856688,-2.819605378192036e-05,-2.850993586273054e-06,0.008455434279081256
Exp1,5,5,26.0,45.0,35.5,0.2191343667301283,0.2191343667301283,0.12895436969571,-0.0362838781920333,0.0372547633059134,-0.0811906250683845,0.0935640061061705,0.2235106273005977,0.2343742531072315,True,183,0.2027236036163344,-3.476305328578566e-05,-5.166559326825194e-06,0.009062883392401355,0.2027236036163344,-3.476305328578566e-05,-5.166559326825194e-06,0.009062883392401355,0.1076357120253686,-2.3353614965004875e-05,2.817017983362813e-06,0.008948399161330318,-0.0402243582315002,-9.103631268424922e-06,1.0310183946870415e-06,0.0020492985403143043,0.0405148459939308,8.583444152020225e-06,-9.932456901640131e-07,0.0018048325286249374,-0.0811906250683845,9.648896467012723e-07,-1.4627580168305454e-07,0.00047405312115451084,0.0903584840228536,-1.9543904559701785e-06,-1.7257090588390645e-07,0.0015229090355603923,0.20743040942211,-2.0300820308433165e-05,-2.939848236372944e-06,0.008694172689252431,0.2192234188167592,-4.974449150043636e-05,-4.309687543702922e-06,0.00853187994913628
Exp1,6,6,31.0,50.0,40.5,0.2179132659979739,0.2179132659979739,0.1276447069097665,-0.036258663707763,0.0372086356513587,-0.0809705520233206,0.0928429760014605,0.2222955929923463,0.233204103798328,True,183,0.20242062436673486,-6.059584991991163e-05,-3.6579115370877217e-06,0.009153277741156516,0.20242062436673486,-6.059584991991163e-05,-3.6579115370877217e-06,0.009153277741156516,0.10758936940012764,-9.268525048190812e-06,1.7136131098730023e-06,0.009031556475571377,-0.04024410092797515,-3.948539294990061e-06,4.355557773814967e-07,0.0020564586251897543,0.0405329320724368,3.6172157012001606e-06,-3.698406232049978e-07,0.0018122509482056688,-0.08118828996200164,0.0,-1.9297792934025446e-07,0.00047168507109686083,0.09034439779792665,-2.817244985389711e-06,-1.039224299269059e-06,0.0015308888516866255,0.2072554091146585,-3.500006149030066e-05,-3.656004518674816e-06,0.008779970128642423,0.21886695417066443,-7.129292921894958e-05,-2.0850039398082057e-06,0.008616630042135445
Exp1,7,7,36.0,55.0,45.5,0.2167766322567615,0.2167766322567615,0.1262122520398865,-0.0365185791377479,0.0373761076862785,-0.0808477841603659,0.0919406133223836,0.221192262304023,0.2321462836591389,True,183,0.2021176451171353,-7.134216865666288e-05,-2.149263747349694e-06,0.009246024922644069,0.2021176451171353,-7.134216865666288e-05,-2.149263747349694e-06,0.009246024922644069,0.1075430267748867,-6.217483866274854e-06,6.10208236383053e-07,0.009118720056615775,-0.0402638436244501,-4.748073494609955e-06,-1.599068399239789e-07,0.0020649533136666356,0.0405510181509428,4.885037919970247e-06,2.53564443753948e-07,0.0018211337654887958,-0.0811906250683845,-9.648896467012723e-07,-1.4627580168305454e-07,0.00046931628880160937,0.0903303115729997,-1.234663344866077e-05,-1.9058776926540731e-06,0.0015402214317368924,0.207080408807207,-5.686086549518132e-05,-4.372160800975855e-06,0.008867440369739021,0.2185104895245697,-7.059453089851842e-05,1.3967966408595602e-07,0.008706685981754463
Exp1,8,8,41.0,60.0,50.5,0.2161073435359965,0.2161073435359965,0.1250233534248379,-0.0368032206764031,0.0376081373735962,-0.0809591525194378,0.0917974843117808,0.2205639748081571,0.2315684984079184,True,183,0.20170720268016823,-8.208848739340857e-05,9.748449068869346e-08,0.009343202936353242,0.20170720268016823,-8.208848739340857e-05,9.748449068869346e-08,0.009343202936353242,0.1075271945614649,-3.166442684360282e-06,1.2939726819399815e-07,0.009209898953278641,-0.04029158166292125,-5.54760769422985e-06,8.340345061551286e-08,0.00207302250247065,0.0405817824516365,6.152860138739641e-06,-4.792902314559863e-08,0.0018295851096184858,-0.08119793885846865,-1.4627580168305454e-06,1.2969255485106852e-08,0.00046762942367714925,0.09022093146344004,-2.1876021911930443e-05,2.4655439115200824e-08,0.001545819902379532,0.2066868004597067,-7.872166950005921e-05,-8.423819801101079e-07,0.008959267063710879,0.21816100886167925,-6.989613257809002e-05,1.628056982282411e-06,0.00879916199645134
Exp1,9,9,46.0,65.0,55.5,0.2154964833293471,0.2154964833293471,0.1243651178142782,-0.0370603534527969,0.0378152437927413,-0.081171626166267,0.0919569559393098,0.219988244317693,0.2311003155394252,True,183,0.2012967602432012,-7.036732374977594e-05,2.3442327287259696e-06,0.00944194370882525,0.2012967602432012,-7.036732374977594e-05,2.3442327287259696e-06,0.00944194370882525,0.1075113623480431,-4.923511184334872e-06,-3.51413699994918e-07,0.009303411942205908,-0.0403193197013924,-3.914038988454827e-06,3.2671374115500476e-07,0.002079142813722491,0.0406125467523302,4.405747688514261e-06,-3.494224900449372e-07,0.0018362218539526229,-0.0812052526485528,-8.351970918502038e-07,1.255121849960683e-07,0.00046618276623327495,0.0901115513538804,-1.2100079057508762e-05,1.9551885708840586e-06,0.0015524659866266329,0.2062931921122064,-6.52846852962824e-05,2.6873968407550857e-06,0.009052998734159367,0.2178115281987888,-5.431396107569431e-05,3.1164343004791427e-06,0.008891854837108179
