direction,source_dataset,target_dataset,entry_cycle,prefix_fraction,adapter,source_model_frozen_hash,update_index,pair_earlier_cycle,pair_later_cycle,adapter_parameter_norm,adapter_step_norm,objective_loss,l2,numeric_abort
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_L2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,50,200.5,760.5,0.6055945729432194,0.0024436961468039275,0.03572669579505713,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_L2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,75,50.5,885.5,0.5712259497821877,0.0054673226124090655,0.026266239022325333,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_L2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,100,465.5,1010.5,0.7931953705338065,0.029081181261981066,0.09021535944154263,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_L2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,125,105.5,1135.5,0.8236624797093517,0.00602426532568429,0.06766962780079354,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_L2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,150,75.5,1260.5,0.8650618027886507,0.008807032915485563,0.06635400949630016,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_L2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,175,705.5,1385.5,0.8721334498976039,0.018474624525802646,0.3766448619334507,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_L2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,200,300.5,1510.5,0.927401539324687,0.01053756409604951,0.06826095955442434,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_L2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,225,535.5,1635.5,0.7589421286962981,0.009193716624188412,0.04428266567171703,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_L2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,250,60.5,1760.5,0.6502086996187638,0.0034165777139186526,0.05358302875067339,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_L2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,275,595.5,1885.5,1.0558236923530566,0.011737351430227097,0.08806252452515602,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_L2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,300,135.5,2010.5,1.0538734994611876,0.010630007350979999,0.09429450515529537,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_L2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,325,1310.5,2135.5,0.8752284295714822,0.14358936955980683,1.5021813440197316,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_L2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,350,570.5,2260.5,0.7519047367586786,0.059345114248196634,0.2320535324865362,0.15,0
