direction,source_dataset,target_dataset,entry_cycle,prefix_fraction,model,future_window_count,adapter_aborted,adapter_abort_reason,adapter_parameter_norm,source_model_frozen_hash,future_time_pair_auc,future_score_total_variation,future_score_saturation_ratio,future_score_reversal_count,prior_adapted_disagreement,future_target_local_spearman,future_ood_ratio_mean,future_ood_fraction,common_future_window_count,common_future_prefix_score_std
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Bounded_Baseline,2254,0,COMPLETED,0.55,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.535,1.2287785933827773,0.6468500443655724,633,0.7987801677660292,0.3336388812408969,2.117535045563653,0.979148181011535,282,0.46327703174020324
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_L2,2254,0,COMPLETED,0.7629424582044781,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.5025,0.21419574252703405,0.9840283939662822,620,0.8088163685045865,0.4487022374881839,2.117535045563653,0.979148181011535,282,0.3582690886398627
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_WeakL2,2254,0,COMPLETED,1.1947651515537596,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.4275,0.08925465682198662,0.984472049689441,594,0.810207587473139,0.6341654179482488,2.117535045563653,0.979148181011535,282,0.498797309577882
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Source_Static,2254,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.54375,12.28208421063183,0.0771960958296362,701,0.0,-0.40381295229188785,2.117535045563653,0.979148181011535,282,0.0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Target_Local,2254,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.45875,14.565497153306001,0.0075421472937000885,644,0.6667931225879776,1.0,2.117535045563653,0.979148181011535,282,0.3554918966141962
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Elapsed_Time_Since_Entry,2254,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,1.0,0.7994748234626167,0.012866015971606033,0,0.27955883507717477,-0.190056871256286,2.117535045563653,0.979148181011535,282,0.0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,1691,0,COMPLETED,0.55,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.6375,6.958417689585471,0.06623299822590184,585,0.7339486276996237,0.2526369989963231,2.2879518623522097,0.9929036073329391,282,0.46327703174020324
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Unbounded_L2,1691,0,COMPLETED,1.3898807774614534,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.465,6.037986815339351,0.6014192785334121,454,0.8285309460378638,0.8917034288187627,2.2879518623522097,0.9929036073329391,282,0.3582690886398627
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Unbounded_WeakL2,1691,0,COMPLETED,1.8682101550375383,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.39375,4.451465606546388,0.8876404494382022,618,0.8519613922516959,0.8989647905033198,2.2879518623522097,0.9929036073329391,282,0.498797309577882
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Source_Static,1691,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.65125,8.821573418968175,0.1028976936723832,558,0.0,-0.849918769994341,2.2879518623522097,0.9929036073329391,282,0.0
