row_type,dataset,feature,window_fraction,window_ordinal,window_start_cycle,window_end_cycle,window_count,local_spearman,local_spearman_pvalue,local_kendall,local_kendall_pvalue,robust_local_slope,slope_sign,bootstrap_sign_stability,positive_significant_fraction,negative_significant_fraction,positive_longest_span_fraction,negative_longest_span_fraction,mean_bootstrap_sign_stability,PERSISTENT_DIRECTION_REVERSAL,passed
window,Exp1,rx_mean,0.1,25.0,28510.5,33065.5,912.0,0.31076103530714855,7.194470641839454e-22,0.2100641284880698,2.150525002275003e-21,3.5167555589549033e-07,1.0,0.9333333333333333,,,,,,,
window,Exp1,rx_mean,0.1,26.0,29650.5,34205.5,912.0,0.8528011119578497,5.622635840477983e-259,0.6993230881814856,2.0914297997804114e-219,3.7976241397868198e-06,1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.1,27.0,30790.5,35345.5,912.0,0.13534397992497302,4.121256499357199e-05,0.28118801394265025,4.998647624756281e-37,3.877295094182588e-06,1.0,0.9,,,,,,,
window,Exp1,rx_mean,0.1,28.0,31930.5,36485.5,912.0,-0.5802643870826242,3.418033050363383e-83,-0.27170835981281416,1.0966266661466415e-34,-7.195863079344992e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.1,29.0,33070.5,37625.5,912.0,-0.6787244567005355,3.8461315493731075e-124,-0.39134265411057834,4.7078299209634676e-70,-9.453550169905362e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.1,30.0,34210.5,38765.5,912.0,-0.6250325331388737,5.432228699538098e-100,-0.47449303830377265,4.291211046245451e-102,-3.125124380366429e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.1,31.0,35350.5,39905.5,912.0,-0.6430336496274753,1.5064122219017462e-107,-0.4407870664586824,2.282100455390688e-88,-2.5904195870357755e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.1,32.0,36490.5,41045.5,912.0,-0.662163388399896,3.7052743891191444e-116,-0.46652512180561173,9.291808340869374e-99,-2.3394185613897786e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.1,33.0,37630.5,42185.5,912.0,0.23735831671688562,3.8066648941675527e-13,0.10967319506229901,7.101370512864786e-07,1.781596586414067e-06,1.0,0.9,,,,,,,
window,Exp1,rx_mean,0.1,34.0,38770.5,43325.5,912.0,0.8447498996558716,2.6088622287028187e-249,0.6159801259460397,1.0819386108341143e-170,9.906294460701697e-06,1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.1,35.0,39910.5,44465.5,912.0,0.6294509494550979,8.437209988014997e-102,0.33783003061990874,1.1387197901389872e-52,7.672174762845917e-06,1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.1,36.0,41025.5,45580.5,912.0,-0.1199129734975701,0.00028404861938473503,-0.1826313863693262,1.4916211031054218e-16,-9.838149128871161e-07,-1.0,0.2,,,,,,,
summary,Exp1,rx_mean,0.1,,,,,,,,,,,,0.40540540540540543,0.5945945945945946,0.1499890278692122,0.2250384024577573,0.8585585585585584,PASS,1.0
window,Exp1,rx_mean,0.2,0.0,10.5,9120.5,1823.0,-0.3681356102195493,1.311723987541232e-59,-0.4588816037062706,1.7374980632895583e-189,-2.1920315743151207e-06,-1.0,0.7,,,,,,,
window,Exp1,rx_mean,0.2,1.0,1150.5,10260.5,1823.0,0.1960052157063693,3.03890784328357e-17,-0.11689576956958682,7.466372181192734e-14,1.3556841745194681e-06,1.0,1.0,,,,,,,
