protocol_id,target_dataset,output_name,horizon_cycles,model,n_predictions,MAE,RMSE,evaluation_unit,forecast_issue_stride_cycles,rolling_window_cycles
A_Exp1_to_Exp2,Exp2,V500_norm,500,Kalman,200,0.850046631870306,1.2339528928089294,cycles,50,5000
A_Exp1_to_Exp2,Exp2,V500_norm,500,Frozen_Ridge,200,0.34508480312465023,0.44273481577360946,cycles,50,5000
A_Exp1_to_Exp2,Exp2,V500_norm,500,Online_RLS,200,0.2723824343318105,0.39209243586137016,cycles,50,5000
A_Exp1_to_Exp2,Exp2,V500_norm,500,Safe_Gate,200,0.23067847424032617,0.32621517466596456,cycles,50,5000
A_Exp1_to_Exp2,Exp2,V500_norm,1000,Zero_Delta,192,0.28693285290315745,0.39121903733867136,cycles,50,5000
A_Exp1_to_Exp2,Exp2,V500_norm,1000,Local_Linear,192,0.8346530007809362,1.078091698543215,cycles,50,5000
A_Exp1_to_Exp2,Exp2,V500_norm,1000,Kalman,192,1.571644998107729,2.3595283842248143,cycles,50,5000
A_Exp1_to_Exp2,Exp2,V500_norm,1000,Frozen_Ridge,192,0.4156447246660855,0.5227645908397792,cycles,50,5000
A_Exp1_to_Exp2,Exp2,V500_norm,1000,Online_RLS,192,0.8534737716776378,1.6019113281350548,cycles,50,5000
A_Exp1_to_Exp2,Exp2,V500_norm,1000,Safe_Gate,192,0.28693285290315745,0.39121903733867136,cycles,50,5000
A_Exp1_to_Exp2,Exp2,residual_change_score,100,Zero_Delta,208,0.5255521767717781,0.8443300225260988,cycles,50,5000
A_Exp1_to_Exp2,Exp2,residual_change_score,100,Local_Linear,208,0.6064815684254469,0.9312623515228593,cycles,50,5000
A_Exp1_to_Exp2,Exp2,residual_change_score,100,Kalman,208,0.766793079928503,1.2841180108946109,cycles,50,5000
A_Exp1_to_Exp2,Exp2,residual_change_score,100,Frozen_Ridge,208,0.6563049041322385,0.9378736954067095,cycles,50,5000
A_Exp1_to_Exp2,Exp2,residual_change_score,100,Online_RLS,208,0.6701347795424529,1.0563725059878557,cycles,50,5000
A_Exp1_to_Exp2,Exp2,residual_change_score,100,Safe_Gate,208,0.5555008591556903,0.8704877917891194,cycles,50,5000
A_Exp1_to_Exp2,Exp2,residual_change_score,500,Zero_Delta,200,0.8168913252667656,1.1320122428006336,cycles,50,5000
A_Exp1_to_Exp2,Exp2,residual_change_score,500,Local_Linear,200,2.2938534906174253,2.9358551409796103,cycles,50,5000
A_Exp1_to_Exp2,Exp2,residual_change_score,500,Kalman,200,2.5152159676649215,4.31294387866031,cycles,50,5000
A_Exp1_to_Exp2,Exp2,residual_change_score,500,Frozen_Ridge,200,1.201112615450359,1.5272109214442098,cycles,50,5000
A_Exp1_to_Exp2,Exp2,residual_change_score,500,Online_RLS,200,0.9721675316854739,1.4695083398866358,cycles,50,5000
A_Exp1_to_Exp2,Exp2,residual_change_score,500,Safe_Gate,200,0.8614210626148331,1.1818453095607648,cycles,50,5000
A_Exp1_to_Exp2,Exp2,residual_change_score,1000,Zero_Delta,192,0.8723721680919092,1.2245577773938228,cycles,50,5000
A_Exp1_to_Exp2,Exp2,residual_change_score,1000,Local_Linear,192,4.329478908358698,5.749514915572271,cycles,50,5000
A_Exp1_to_Exp2,Exp2,residual_change_score,1000,Kalman,192,4.53671942632883,8.227785032945812,cycles,50,5000
A_Exp1_to_Exp2,Exp2,residual_change_score,1000,Frozen_Ridge,192,1.273479882693257,1.6208784247186252,cycles,50,5000
A_Exp1_to_Exp2,Exp2,residual_change_score,1000,Online_RLS,192,5.05022459434197,9.605284682954672,cycles,50,5000
A_Exp1_to_Exp2,Exp2,residual_change_score,1000,Safe_Gate,192,0.8723721680919092,1.2245577773938228,cycles,50,5000
B_Exp2_to_Exp1,Exp1,A_state,100,Zero_Delta,712,0.25863703570054647,0.43018528564519115,cycles,50,5000
B_Exp2_to_Exp1,Exp1,A_state,100,Local_Linear,712,0.5477513116140308,0.828295139134998,cycles,50,5000
B_Exp2_to_Exp1,Exp1,A_state,100,Kalman,712,0.44142274167714296,0.7149954187580426,cycles,50,5000
B_Exp2_to_Exp1,Exp1,A_state,100,Frozen_Ridge,712,0.5057794234662701,0.6913730562897801,cycles,50,5000
B_Exp2_to_Exp1,Exp1,A_state,100,Online_RLS,712,0.29035740720020586,0.4830920932772593,cycles,50,5000
B_Exp2_to_Exp1,Exp1,A_state,100,Safe_Gate,712,0.25633367651640615,0.4152957438740431,cycles,50,5000
B_Exp2_to_Exp1,Exp1,A_state,500,Zero_Delta,704,0.29042899232409,0.4755127325448552,cycles,50,5000
