dataset,metric,window_count,overall_median,overall_q75,overall_mean,effective_cycle_spearman,late_20pct_mean,early_80pct_mean,late_to_early_mean_ratio,late_high_value_fraction
Exp1,D_state,8915,7.890191383748107,8.86608767960481,7.255483955859627,0.7051370945653503,8.984156830140627,6.823315737289377,1.3166849045314242,0.05215928210880538
Exp1,V500,8915,0.11691121983117825,0.24323497202690147,0.18087603943173478,0.03195765401822439,0.21460764977438868,0.17244313684607132,1.2445125604851115,0.1772293886707796
Exp1,V1000,8915,0.08374348248897918,0.18981400907080945,0.13169693712147457,0.04673877944889589,0.15586165061643645,0.1256557587477341,1.2403860528934734,0.13853056646102074
Exp1,multi_scale_rate_divergence,8915,0.30408887694857123,0.522471299373259,0.4112801743542922,0.004579877028757455,0.43224807443378327,0.4060381993344194,1.0645502692661115,0.1250701065619742
Exp1,state_volatility,8915,0.40986387227348425,0.5946867480663104,0.5105101243883753,-0.08870140775668206,0.5301437180074909,0.5056017259835963,1.048540166622554,0.16601233875490745
Exp2,D_state,2617,2.9774983233185077,5.403279854072775,3.6689092275416164,0.7341985667946463,6.815780318569232,2.881063813447747,2.365716540798463,0.43320610687022904
Exp2,V500,2617,0.314993431555524,0.483862440126933,0.38784411398330126,0.2615780972497745,0.4544423336887062,0.37117069442972644,1.224348636647944,0.16412213740458015
Exp2,V1000,2617,0.22361234245278988,0.3196562544011522,0.2463219794173258,0.434825913469382,0.33284196007763683,0.22466098091469658,1.481529897726283,0.15267175572519084
Exp2,multi_scale_rate_divergence,2617,0.5716018410636439,1.0038075607664907,0.88461450343716,0.14731285465196398,0.8071154845778993,0.9040170289422974,0.8928100453176494,0.08587786259541985
Exp2,state_volatility,2617,1.4677694279042899,2.0942004097351767,1.6304838637034744,0.19325193707058233,1.4485299576119304,1.6760375411004973,0.8642586589443672,0.03435114503816794
