protocol_id,dataset,window_id,window_index,start_cycle,end_cycle,center_cycle,is_restart_guard,crosses_stop_boundary,nominal_stride_cycles,baseline_frozen,baseline_cycles,monitoring_start_cycle,distance_form,feature_count,feature_names,D_state,V100_norm,V500_norm,V1000_norm,direction_consistency,A_state,state_volatility,baseline_outlier_fraction,source_support_oos,residual_change_score,abrupt_cusum,D_rs_subspace,D_rx_subspace,D_ry_subspace,velocity_v100_rs_corrdist_base,velocity_v100_rs_mean,velocity_v100_rs_q05,velocity_v100_rs_rms,velocity_v100_rs_subspace_distance,velocity_v100_rs_contribution,velocity_v100_rx_corrdist_base,velocity_v100_rx_mean,velocity_v100_rx_absmean,velocity_v100_rx_q05,velocity_v100_rx_subspace_distance,velocity_v100_rx_contribution,velocity_v100_ry_p2p,velocity_v100_ry_subspace_distance,velocity_v100_ry_contribution,velocity_v500_rs_corrdist_base,velocity_v500_rs_mean,velocity_v500_rs_q05,velocity_v500_rs_rms,velocity_v500_rs_subspace_distance,velocity_v500_rs_contribution,velocity_v500_rx_corrdist_base,velocity_v500_rx_mean,velocity_v500_rx_absmean,velocity_v500_rx_q05,velocity_v500_rx_subspace_distance,velocity_v500_rx_contribution,velocity_v500_ry_p2p,velocity_v500_ry_subspace_distance,velocity_v500_ry_contribution,velocity_v1000_rs_corrdist_base,velocity_v1000_rs_mean,velocity_v1000_rs_q05,velocity_v1000_rs_rms,velocity_v1000_rs_subspace_distance,velocity_v1000_rs_contribution,velocity_v1000_rx_corrdist_base,velocity_v1000_rx_mean,velocity_v1000_rx_absmean,velocity_v1000_rx_q05,velocity_v1000_rx_subspace_distance,velocity_v1000_rx_contribution,velocity_v1000_ry_p2p,velocity_v1000_ry_subspace_distance,velocity_v1000_ry_contribution,evidence_increment_cycles,low_activity_evidence_run_cycles,low_activity_evidence_false_cycles,low_activity_evidence,low_activity_evidence_condition,low_activity_score,directed_change_evidence_run_cycles,directed_change_evidence_false_cycles,directed_change_evidence,directed_change_evidence_condition,directed_change_score,acceleration_evidence_run_cycles,acceleration_evidence_false_cycles,acceleration_evidence,acceleration_evidence_condition,acceleration_score,abrupt_change_evidence_run_cycles,abrupt_change_evidence_false_cycles,abrupt_change_evidence,abrupt_change_evidence_condition,abrupt_change_score,frozen_low_velocity_max,frozen_low_volatility_max,frozen_directed_speed_min,frozen_direction_consistency_min,frozen_acceleration_min,frozen_residual_score_min,frozen_residual_center,frozen_residual_scale
A_Exp1_to_Exp2,Exp2,200,200,1001.0,1020.0,1010.5,1,0,5.0,1,1000,1001.0,mahalanobis,9,rs_corrdist_base;rs_mean;rs_q05;rx_corrdist_base;rs_rms;ry_p2p;rx_mean;rx_absmean;rx_q05,1.1786935691037708,0.8165940031497224,0.2697441395169806,0.17705012112888477,0.21666948396345254,0.8265535146243522,1.7158030669361184,0.0,0.1111111111111111,0.7261926459457527,0.0,1.677960947380768,1.3665559509289538,0.49156380900159075,1.7130814395954435,-0.040409243663809935,-0.18758632880748294,-0.01838988478729653,1.116755193637675,0.4558590067729239,2.2657542734579232,-0.327170944713082,-0.327170944713082,-0.39112920587500943,1.1345315153840942,0.4631152939355585,0.1313196356955737,0.19849530042739774,0.08102569929151751,0.31823944590546044,0.259966640279747,0.2228779832044402,0.2612537289484633,0.2766958513147273,0.34192383420599337,0.35639074028341267,-0.17276225906640683,-0.17276225906640683,-0.3104021526277706,0.2908724790235858,0.3594424449090149,-0.1598790498135394,0.24166408821262875,0.2986337208849917,0.11860477940730133,-0.14210464343073512,-0.16260304867626282,-0.1371570020606601,0.13420102520365645,0.2526610814082489,0.20401745627959242,-0.2581645269904073,-0.2581645269904073,-0.19993615936578346,0.1965159773462671,0.36998181850665895,-0.13260180905867916,0.20043336083673077,0.3773571000850921,0.0,0.0,0.0,0,1,0.22219637961143168,0.0,0.0,0,0,0.2468503679243067,0.0,0.0,0,0,2.552602408981137,0.0,0.0,0,0,0.0,1.0498716922168292,2.2603286903790836,0.40300567164660916,0.8777361191938401,1.4934743227172398,1.1374524288269354,0.6522562678680716,0.2364737594127166
A_Exp1_to_Exp2,Exp2,201,201,1006.0,1025.0,1015.5,1,0,5.0,1,1000,1001.0,mahalanobis,9,rs_corrdist_base;rs_mean;rs_q05;rx_corrdist_base;rs_rms;ry_p2p;rx_mean;rx_absmean;rx_q05,1.1447299821250827,0.7280067315163071,0.2555621662425164,0.17479417968071606,0.21120520509353477,0.7435924320045597,1.713928356202772,0.0,0.1111111111111111,0.680924643420005,0.0,1.6196290070682917,1.3168437635392645,0.4977171757676916,1.3787585125676387,-0.023332399108359825,-0.18305557791127325,-0.0016861344144356585,0.96417057950198,0.4414659635054867,1.9619658137976483,-0.20301145114473576,-0.20301145114473576,-0.395347043042772,1.04405804569416,0.4780441354434433,0.11629940253524557,0.1757915693527814,0.08048990105107004,0.2810866390451128,0.25752286777250744,0.22173871578672305,0.2584653663952793,0.25753853862554255,0.33591114367211755,0.3299527915003738,-0.17962123457192317,-0.17962123457192317,-0.3108122701355626,0.27799394355114765,0.36259141645578397,-0.15292584347169552,0.2311540165508589,0.3014974398720984,0.12411709994551011,-0.1379045832159823,-0.15643910360109367,-0.1331547993145547,0.1300882146250993,0.2480788450025855,0.2106557321911862,-0.24252161357358099,-0.24252161357358099,-0.18913346310471296,0.18784523085179394,0.3582217500890043,-0.13658167069092303,0.20644909356525482,0.39369940490841004,0.0,0.0,0.0,0,1,0.2417349018760071,0.0,0.0,0,0,0.24062494464454415,0.0,0.0,0,0,2.0736985717256062,0.0,0.0,0,0,0.0,1.0498716922168292,2.2603286903790836,0.40300567164660916,0.8777361191938401,1.4934743227172398,1.1374524288269354,0.6522562678680716,0.2364737594127166
A_Exp1_to_Exp2,Exp2,202,202,1011.0,1030.0,1020.5,1,0,5.0,1,1000,1001.0,mahalanobis,9,rs_corrdist_base;rs_mean;rs_q05;rx_corrdist_base;rs_rms;ry_p2p;rx_mean;rx_absmean;rx_q05,1.2021625426133256,0.6466115418747994,0.2695055274358433,0.17618290597564043,0.2511718813379517,0.6524692389664635,1.7113933921635447,0.0,0.1111111111111111,0.7391943859677768,0.0,1.697406225022989,1.40574895953176,0.5033324432852275,1.1843796745601969,-0.026395533247147496,-0.1576738008761981,-0.006613555503652613,0.8198584853230634,0.4226434947046919,1.7572844808315786,-0.159084230174375,-0.159084230174375,-0.3275605594412401,0.9316961044829728,0.4802966666207829,0.1245614664890281,0.18828003581836203,0.09705983867452518,0.3194268089767367,0.2563564263232077,0.22106423255463054,0.2573688745851406,0.2742593346482182,0.33921299902776775,0.37640222863988226,-0.17449369435304812,-0.17449369435304812,-0.30972129483574556,0.29654877556138937,0.36678131537516584,-0.15726211094387185,0.23770847209792226,0.29400568559706636,0.14935654085952427,-0.13309974332169278,-0.15167246610371798,-0.12819713921884443,0.1360360847509954,0.2573766242108342,0.2436624694206193,-0.2257221192059958,-0.2257221192059958,-0.18149686918157462,0.18478969535549103,0.3496171480280473,-0.13742441489274013,0.2077229378204348,0.3930062277611185,0.0,0.0,0.0,0,1,0.24285640427077715,0.0,0.0,0,0,0.2861587621216288,0.0,0.0,0,0,1.6034003152683112,0.0,0.0,0,0,0.0,1.0498716922168292,2.2603286903790836,0.40300567164660916,0.8777361191938401,1.4934743227172398,1.1374524288269354,0.6522562678680716,0.2364737594127166
A_Exp1_to_Exp2,Exp2,203,203,1016.0,1035.0,1025.5,1,0,5.0,1,1000,1001.0,mahalanobis,9,rs_corrdist_base;rs_mean;rs_q05;rx_corrdist_base;rs_rms;ry_p2p;rx_mean;rx_absmean;rx_q05,0.9976658978830958,0.267127053314081,0.22851318960325676,0.16402252858526858,0.19189424878809583,0.2795532169501469,1.7063242107120329,0.0,0.1111111111111111,0.5162429309091313,0.0,1.3785655917811077,1.1211152054942173,0.4933168963739622,0.23190898617431777,-0.06206128756572404,-0.14275397407031387,-0.05105673751995132,0.2880011219430395,0.35938094921497316,0.5700822101074334,-0.21314661037911764,-0.21314661037911764,-0.26148600858299004,0.32611425504849134,0.40694025683358337,0.12389046159976276,0.18726578295071214,0.23367879395144342,0.188495756246223,0.2505391261784862,0.2185231761204953,0.2509584699539074,0.21189588507427087,0.3090935880508885,0.22331875758707043,-0.1823527968193658,-0.1823527968193658,-0.3090582089566559,0.2405394621241239,0.3508761172484136,-0.15421605143897374,0.23310422161137556,0.3400302947006979,0.09913305460040539,-0.13236750757844665,-0.14872538867976198,-0.12784450744490097,0.11700072081660863,0.23777368029007218,0.18160415127034743,-0.2201127639182828,-0.2201127639182828,-0.1761046060486716,0.1680541163096937,0.3415264918366163,-0.13695457109479015,0.2070127486295035,0.4206998278733116,0.0,0.0,0.0,0,1,0.24509907874245385,0.0,0.0,0,0,0.21862407686303464,0.0,0.0,0,0,0.3048464239269431,0.0,0.0,0,0,0.0,1.0498716922168292,2.2603286903790836,0.40300567164660916,0.8777361191938401,1.4934743227172398,1.1374524288269354,0.6522562678680716,0.2364737594127166
A_Exp1_to_Exp2,Exp2,204,204,1021.0,1040.0,1030.5,1,0,5.0,1,1000,1001.0,mahalanobis,9,rs_corrdist_base;rs_mean;rs_q05;rx_corrdist_base;rs_rms;ry_p2p;rx_mean;rx_absmean;rx_q05,1.0324372094103842,0.18556095764224878,0.2279874359771572,0.1638574272709553,0.09692705823687586,0.198864727297693,1.7008559828834358,0.0,0.1111111111111111,0.5888611851760425,0.0,1.455915164470883,1.1973452836357525,0.4440511801245173,-0.10532802789314721,-0.07770242679812722,-0.14161583299004887,-0.06964442018333172,0.1973077629700499,0.354434764505524,0.15386111439631334,-0.2193270234225354,-0.2193270234225354,-0.2253361285757386,0.16499542525407898,0.2963903386979011,0.12859684499736873,0.19437968470261746,0.3491748967965749,0.2064164114648583,0.2522392489836556,0.21679255184998011,0.2528933244106316,0.22271041492096713,0.3256179651105587,0.2409481632527338,-0.1748143933054406,-0.1748143933054406,-0.3048573644666547,0.2462264430450328,0.3600000178221853,-0.14225557831315322,0.2150254499654717,0.314382017067256,0.11591342186642067,-0.1296257867111295,-0.14719052843912003,-0.12483557687592191,0.12257425736789074,0.24935144210298027,0.2104510016878629,-0.20884772016449413,-0.20884772016449413,-0.1715104338677217,0.16715435053802777,0.3400402274952941,-0.13353483769058525,0.20184367390694744,0.4106083304017256,0.0,0.0,0.0,0,1,0.24751829673135617,0.0,0.0,0,0,0.11042847174376152,0.0,0.0,0,0,0.15079275374039075,0.0,0.0,0,0,0.0,1.0498716922168292,2.2603286903790836,0.40300567164660916,0.8777361191938401,1.4934743227172398,1.1374524288269354,0.6522562678680716,0.2364737594127166
A_Exp1_to_Exp2,Exp2,205,205,1026.0,1045.0,1035.5,1,0,5.0,1,1000,1001.0,mahalanobis,9,rs_corrdist_base;rs_mean;rs_q05;rx_corrdist_base;rs_rms;ry_p2p;rx_mean;rx_absmean;rx_q05,1.0422418342508128,0.1570017949969511,0.23231003322677246,0.16266382173433852,0.025532993606826,0.22014846384371456,1.6952968819203484,0.0,0.1111111111111111,0.6227037741873311,0.0,1.4859355898807738,1.2241206904278386,0.4166692224438263,-0.2136734655869432,-0.0788517475221342,-0.1259590389777182,-0.07259888658072566,0.18356279329354191,0.38972546629611593,-0.00951433779584221,-0.1785907923658825,-0.1785907923658825,-0.1696222211925092,0.12243512032924225,0.2599442049513295,0.10916490708065035,0.16500747136806915,0.3503303287525545,0.22036219087714706,0.2550464388384978,0.21987657777667513,0.2558107931447769,0.22955507877674097,0.32938034801773974,0.2539765179523611,-0.16262874815372305,-0.16262874815372305,-0.2967870222013137,0.2501551179300619,0.3589386052414845,-0.14370737474836726,0.2172199029735145,0.31168104674077574,0.13244391678439138,-0.12656161008697844,-0.14385356024129678,-0.12158796540754746,0.12585399779544926,0.25790204700217684,0.23219789750210731,-0.20010949079051493,-0.20010949079051493,-0.1646640419343425,0.16786964383941239,0.3440011881551551,-0.12852284040685893,0.19426782356815392,0.39809676484266804,0.0,0.0,0.0,0,1,0.24997771822467674,0.0,0.0,0,0,0.029089601132373213,0.0,0.0,0,0,0.14227596672942797,0.0,0.0,0,0,0.0,1.0498716922168292,2.2603286903790836,0.40300567164660916,0.8777361191938401,1.4934743227172398,1.1374524288269354,0.6522562678680716,0.2364737594127166
A_Exp1_to_Exp2,Exp2,206,206,1031.0,1050.0,1040.5,1,0,5.0,1,1000,1001.0,mahalanobis,9,rs_corrdist_base;rs_mean;rs_q05;rx_corrdist_base;rs_rms;ry_p2p;rx_mean;rx_absmean;rx_q05,1.0891956007334682,0.19033057050770483,0.23788170293631197,0.1656143375971997,-0.12570364704094572,0.293558428391701,1.6893280780553341,0.0,0.1111111111111111,0.7011490267568402,0.0,1.575799463434707,1.3100708877753973,0.38171645099030005,-0.36161175089991016,-0.08727874889436138,-0.11847820485522,-0.08244333820126593,0.22781541664010493,0.39898200279021506,-0.2160338078446702,-0.16456825667362762,-0.16456825667362762,-0.12885464922485645,0.16984351513849136,0.29745355617410896,0.11467272747082863,0.1733327797445181,0.3035644410356758,0.2454400813380124,0.2606046228348539,0.2228571678636536,0.2617640520668021,0.24491155159009143,0.3431839559565475,0.30357519031766017,-0.15025643046389645,-0.15025643046389645,-0.2908874721709019,0.26902604047382844,0.3769745454051094,-0.13212160836127965,0.19970751674501605,0.27984149863834307,0.1599659512812094,-0.12398358392136469,-0.1407755840442361,-0.11880518626063447,0.13346131512322887,0.2686186817307809,0.26657923380552423,-0.19408045036664245,-0.19408045036664245,-0.1587892636599421,0.17469550451356697,0.3516110723425691,-0.12483017024847079,0.18868619315480326,0.3797702459266499,0.0,0.0,0.0,0,1,0.2526183978260197,0.0,0.0,0,0,-0.1432134832919929,0.0,0.0,0,0,0.2258954124690308,0.0,0.0,0,0,0.0,1.0498716922168292,2.2603286903790836,0.40300567164660916,0.8777361191938401,1.4934743227172398,1.1374524288269354,0.6522562678680716,0.2364737594127166
A_Exp1_to_Exp2,Exp2,207,207,1036.0,1055.0,1045.5,1,0,5.0,1,1000,1001.0,mahalanobis,9,rs_corrdist_base;rs_mean;rs_q05;rx_corrdist_base;rs_rms;ry_p2p;rx_mean;rx_absmean;rx_q05,1.1300379107627523,0.24768167640130523,0.2481509781961756,0.16787752352705587,-0.19957064376675782,0.3649138331040331,1.6836486375978559,0.0,0.1111111111111111,0.7684354190671501,0.0,1.6500826013888004,1.3883512360830566,0.3516798948164002,-0.49104383390073064,-0.09748298476390738,-0.11190891772217637,-0.09295340853289269,0.2913092708895426,0.3920479371238723,-0.36006654114033676,-0.1778120026822424,-0.1778120026822424,-0.10830127756541263,0.24845203878409597,0.33437009739541995,0.13448753665239174,0.20328371953027707,0.2735819654807077,0.2771265531350842,0.265322790657657,0.22883519320680717,0.26656833625558124,0.25969711924054384,0.348842898153237,0.3460580703010257,-0.13959002785203672,-0.13959002785203672,-0.28420971215480023,0.2851119417840443,0.3829818226744328,-0.13207950358935006,0.19964387356393862,0.26817527917233014,0.18233063851938133,-0.12195262359559837,-0.136922395390385,-0.11674312514975778,0.1382287633015129,0.2744635104556554,0.2943073804144009,-0.18929105337812532,-0.18929105337812532,-0.1520864012462042,0.18118864874056603,0.3597635644006961,-0.12187224310534082,0.18421515853908868,0.36577292514364845,0.0,0.0,0.0,0,1,0.25513105914012524,0.0,0.0,0,0,-0.22736975202758455,0.0,0.0,0,0,0.36049055551009745,0.0,0.0,0,0,0.0,1.0498716922168292,2.2603286903790836,0.40300567164660916,0.8777361191938401,1.4934743227172398,1.1374524288269354,0.6522562678680716,0.2364737594127166
A_Exp1_to_Exp2,Exp2,208,208,1041.0,1060.0,1050.5,1,0,5.0,1,1000,1001.0,mahalanobis,9,rs_corrdist_base;rs_mean;rs_q05;rx_corrdist_base;rs_rms;ry_p2p;rx_mean;rx_absmean;rx_q05,1.0264772359977363,0.4144594574818332,0.2387387556766064,0.1614886348398374,-0.2595949273428389,0.5303278881692203,1.6763749124604386,0.0,0.1111111111111111,0.6472096855665698,0.0,1.4863950280802407,1.2287560115189107,0.3642806683940577,-0.9431222563875303,-0.10583124030569291,-0.10063510776856478,-0.10407000138865441,0.5482916238392661,0.4409692463613276,-0.901260120671735,-0.2064851508974107,-0.2064851508974107,-0.10021599709989258,0.5136593583394635,0.4131158863003132,0.12002792380339106,0.18142739026677002,0.14591486733835918,0.23634615310853344,0.26386354766210374,0.23090983164700532,0.26496776830864577,0.23869443897564874,0.33327145718921636,0.30519841887129107,-0.1440868647943626,-0.1440868647943626,-0.28475146689723685,0.26808007744721846,0.37430045893673775,-0.13856153939124632,0.20944175060695205,0.29242808387404595,0.16118167477905143,-0.12223016990568604,-0.13418308453904948,-0.11725837527539781,0.12510519542553844,0.25823323015809824,0.26374009698390993,-0.19146108988899177,-0.19146108988899177,-0.14852513682658228,0.17263258722348135,0.3563358857930289,-0.1235347581799331,0.18672812187049243,0.3854308840488729,0.0,0.0,0.0,0,1,0.2583490535709252,0.0,0.0,0,0,-0.29575509275072875,0.0,0.0,0,0,0.9113533548019552,0.0,0.0,0,0,0.0,1.0498716922168292,2.2603286903790836,0.40300567164660916,0.8777361191938401,1.4934743227172398,1.1374524288269354,0.6522562678680716,0.2364737594127166
A_Exp1_to_Exp2,Exp2,209,209,1046.0,1065.0,1055.5,1,0,5.0,1,1000,1001.0,mahalanobis,9,rs_corrdist_base;rs_mean;rs_q05;rx_corrdist_base;rs_rms;ry_p2p;rx_mean;rx_absmean;rx_q05,0.9710761715535229,0.4898837945229544,0.22662787247630542,0.15724628782370706,-0.25074027184189746,0.5993299140999069,1.667400648694118,0.0,0.1111111111111111,0.5944105039953317,0.0,1.4079863138387405,1.1611093636806828,0.34413283714114484,-1.1337947535920492,-0.11297131882250677,-0.10550123222842855,-0.11272340834345762,0.6577131167281295,0.44753002248122004,-1.138204959440162,-0.2480185603876436,-0.2480185603876436,-0.13246030779162488,0.6357960893253485,0.4326169433334576,0.1165313563199743,0.17614217751538502,0.1198530341853222,0.2076493124253485,0.2610191656258104,0.22861526307580526,0.26195123382703617,0.22501346311134132,0.33095879551012586,0.27768664273899546,-0.15499536531740096,-0.15499536531740096,-0.2899353692074223,0.25639620723895973,0.37711778996611384,-0.1313055088423083,0.19847394707861515,0.29192341452376025,0.1520403770220448,-0.12167661121013439,-0.1330535208601011,-0.11687636058509694,0.12047730884998777,0.25538983149172556,0.24499159314454977,-0.19311685249479002,-0.19311685249479002,-0.14993191062313058,0.16805549160223543,0.35624686583093745,-0.12120465019100908,0.18320606301889797,0.388363302677337,0.0,0.0,0.0,0,1,0.26231938930329846,0.0,0.0,0,0,-0.2856670317637045,0.0,0.0,0,0,1.2502039486867425,0.0,0.0,0,0,0.0,1.0498716922168292,2.2603286903790836,0.40300567164660916,0.8777361191938401,1.4934743227172398,1.1374524288269354,0.6522562678680716,0.2364737594127166
